scorer,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000
bodyparts,ASIS,ASIS,ASIS,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Toe,Toe,Toe
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1014.1444702148438,288.435546875,0.9206807613372803,951.5903930664062,372.30047607421875,0.9670343399047852,1075.8665771484375,475.7716979980469,0.9847370386123657,874.98974609375,449.8976745605469,0.9690274000167847,869.2943115234375,555.2305297851562,0.9001253843307495
1,1014.1951904296875,286.0452575683594,0.9184722900390625,951.2642822265625,370.8542785644531,0.9701313972473145,1076.061767578125,474.23895263671875,0.9839189052581787,872.0425415039062,447.0240783691406,0.9541549682617188,866.6306762695312,554.7259521484375,0.908234179019928
2,1014.629150390625,284.62677001953125,0.9400911331176758,952.5349731445312,369.3758239746094,0.9676557183265686,1075.148193359375,472.8213806152344,0.9817404747009277,870.452880859375,445.6219787597656,0.969627857208252,861.7748413085938,554.642333984375,0.883521318435669
3,1015.5789184570312,283.1924743652344,0.9621114134788513,952.3648681640625,368.0499267578125,0.9657185077667236,1075.6771240234375,471.9425354003906,0.981708288192749,868.8261108398438,444.66619873046875,0.9758721590042114,855.2928466796875,550.6688842773438,0.9247927069664001
4,1016.21875,282.8297119140625,0.9555025696754456,952.803955078125,366.32952880859375,0.9616981744766235,1075.887451171875,470.4181213378906,0.9846136569976807,867.5634765625,443.2734680175781,0.978641152381897,852.517578125,550.0430297851562,0.9095937013626099
5,1016.662109375,281.31689453125,0.9541006684303284,952.2699584960938,365.4510498046875,0.9697033762931824,1075.9410400390625,469.8445739746094,0.9867711067199707,869.1451416015625,438.5572509765625,0.981960654258728,850.9133911132812,543.19482421875,0.9134488105773926
6,1017.72998046875,280.17742919921875,0.9720538258552551,952.4257202148438,363.4039306640625,0.9818942546844482,1076.969482421875,469.1767578125,0.9885823130607605,870.535400390625,432.63006591796875,0.9696098566055298,848.4932250976562,536.4228515625,0.8722867965698242
7,1018.4542846679688,279.3299255371094,0.9724520444869995,950.01904296875,360.488037109375,0.9841803312301636,1078.1553955078125,468.2724304199219,0.9866146445274353,871.9299926757812,426.5688781738281,0.9579102993011475,850.714111328125,525.0104370117188,0.9566290378570557
8,1018.3886108398438,278.8695373535156,0.9762506484985352,949.327880859375,357.7122802734375,0.9744556546211243,1079.2406005859375,467.1539611816406,0.9831872582435608,876.7793579101562,414.5880126953125,0.9702431559562683,855.659912109375,518.1934814453125,0.8982641696929932
9,1018.822509765625,278.1800537109375,0.9824178218841553,950.3250122070312,354.6192626953125,0.9686177968978882,1082.2332763671875,464.6053161621094,0.9784137010574341,881.99853515625,404.9501647949219,0.9609978199005127,866.1704711914062,511.38519287109375,0.8259025812149048
10,1018.2927856445312,277.146484375,0.983385443687439,951.973876953125,349.7175598144531,0.9629395008087158,1083.4112548828125,462.2350769042969,0.9760477542877197,886.4788818359375,396.4653015136719,0.9713543653488159,882.7314453125,505.4696960449219,0.919195294380188
11,1017.7825317382812,277.07421875,0.9830423593521118,953.5975341796875,346.01300048828125,0.9547111988067627,1084.312255859375,460.85797119140625,0.9695718884468079,891.4067993164062,395.72698974609375,0.9791390895843506,901.961669921875,500.9122009277344,0.9149987697601318
12,1017.5778198242188,274.9765625,0.9834407567977905,953.636962890625,344.1585388183594,0.9516123533248901,1088.0777587890625,458.84759521484375,0.9722379446029663,896.835205078125,394.45025634765625,0.9791935086250305,924.9632568359375,500.25653076171875,0.9132900238037109
13,1015.980224609375,273.6430969238281,0.9696201086044312,954.724365234375,341.8084411621094,0.9402927756309509,1092.088134765625,455.520751953125,0.9841387271881104,902.0263061523438,397.4115295410156,0.9776512980461121,944.6513671875,497.4372863769531,0.9158265590667725
14,1014.3587036132812,273.4073791503906,0.9723995923995972,954.88232421875,344.4334716796875,0.946527361869812,1094.033447265625,452.9333190917969,0.9888105392456055,910.1467895507812,408.92816162109375,0.9834312796592712,965.870361328125,497.6595458984375,0.9682953357696533
15,1012.6469116210938,272.9189453125,0.9675407409667969,955.7182006835938,346.4709167480469,0.9626121520996094,1099.4573974609375,448.6934509277344,0.9738868474960327,917.6478881835938,419.4233093261719,0.9897081255912781,984.9309692382812,499.35235595703125,0.9723279476165771
16,1014.2835083007812,271.2803039550781,0.9763970375061035,954.9091186523438,352.9765930175781,0.9597892761230469,1105.591552734375,444.1150207519531,0.9864420890808105,927.2769775390625,433.853271484375,0.9890927076339722,1003.803955078125,504.30780029296875,0.9416372179985046
17,1011.4148559570312,272.5206298828125,0.973886251449585,956.3319091796875,356.87518310546875,0.977046012878418,1111.732421875,440.8945617675781,0.9788659811019897,938.8726806640625,448.21832275390625,0.9825831055641174,1026.8466796875,510.6882019042969,0.9274923801422119
18,1011.0565185546875,271.76812744140625,0.9659445285797119,957.76806640625,360.65435791015625,0.976727306842804,1119.099365234375,435.7842102050781,0.9831640720367432,952.7091064453125,462.999755859375,0.9659287929534912,1045.2542724609375,515.66064453125,0.9218368530273438
19,1009.5733642578125,273.6868896484375,0.9568519592285156,961.693603515625,364.6903991699219,0.9715431928634644,1124.5413818359375,433.48114013671875,0.977908730506897,970.7433471679688,478.6676940917969,0.9781476259231567,1062.736083984375,523.2137451171875,0.844976544380188
20,1008.3623046875,275.2887268066406,0.8991062641143799,963.1812133789062,369.191162109375,0.9813256859779358,1129.7100830078125,428.3615417480469,0.9702343940734863,991.3818359375,492.6988525390625,0.974928617477417,1090.241455078125,524.8697509765625,0.8318114280700684
21,1006.6837768554688,279.4731140136719,0.8329354524612427,964.1182250976562,372.8159484863281,0.9828686714172363,1135.436279296875,426.424072265625,0.9733608961105347,1011.887451171875,503.509765625,0.9597655534744263,1110.79443359375,527.1489868164062,0.7312880754470825
22,1004.4827270507812,280.32562255859375,0.9449518918991089,965.3460693359375,376.7684631347656,0.9843003749847412,1139.9306640625,425.06707763671875,0.9859887957572937,1034.135986328125,512.7859497070312,0.9712033271789551,1132.1163330078125,528.7401733398438,0.8277314901351929
23,1001.5247192382812,282.117919921875,0.9018890857696533,967.2832641601562,379.96795654296875,0.9744290709495544,1143.9246826171875,424.1877136230469,0.9768799543380737,1057.4046630859375,521.0921630859375,0.9805989265441895,1163.0322265625,524.2568969726562,0.8881368637084961
24,1000.9295654296875,285.3648376464844,0.8573794364929199,968.9454345703125,383.7732238769531,0.9710898995399475,1148.1407470703125,423.4719543457031,0.9757601022720337,1078.716796875,525.093994140625,0.9851378202438354,1184.0538330078125,526.809814453125,0.8362435102462769
