scorer,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000
bodyparts,ASIS,ASIS,ASIS,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Toe,Toe,Toe
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1076.195556640625,290.5019836425781,0.9929297566413879,984.8745727539062,378.0853576660156,0.9764125347137451,1147.2398681640625,479.7835388183594,0.9766770601272583,940.6011352539062,489.24078369140625,0.9825257658958435,997.4552001953125,593.2957763671875,0.8421398997306824
1,1076.1622314453125,289.634521484375,0.9927167892456055,984.5509643554688,377.5178527832031,0.978705883026123,1146.718505859375,477.8064270019531,0.9769582748413086,938.2652587890625,488.3757629394531,0.9790942668914795,993.5365600585938,592.7539672851562,0.8259497284889221
2,1075.56494140625,288.78717041015625,0.9914606213569641,983.8231201171875,377.0229797363281,0.9803778529167175,1145.600830078125,476.4771728515625,0.976927638053894,934.7824096679688,487.27972412109375,0.9716742038726807,987.7450561523438,593.1909790039062,0.8519182205200195
3,1075.197021484375,288.43133544921875,0.9914240837097168,982.8783569335938,376.3812561035156,0.9829210042953491,1143.7386474609375,475.5460510253906,0.9800997376441956,932.0595092773438,486.8299255371094,0.9731284379959106,985.7810668945312,593.374755859375,0.8801637291908264
4,1075.9833984375,287.7797546386719,0.9908841848373413,981.8006591796875,375.8275146484375,0.9820603132247925,1142.73095703125,474.3741455078125,0.9813598394393921,928.6714477539062,487.1109924316406,0.9615640640258789,980.2279663085938,593.4147338867188,0.858553946018219
5,1075.30419921875,287.59942626953125,0.9915808439254761,981.2761840820312,375.1324768066406,0.9846583008766174,1140.8665771484375,473.84393310546875,0.9848377704620361,926.0848388671875,487.7803039550781,0.9772113561630249,973.7158813476562,593.372314453125,0.790897011756897
6,1074.8267822265625,287.6694641113281,0.991426408290863,980.6551513671875,374.8228454589844,0.9862005710601807,1140.4398193359375,472.2472229003906,0.9836448431015015,923.4652709960938,486.70880126953125,0.9765889644622803,971.1763916015625,592.8843383789062,0.848115086555481
7,1074.378662109375,287.3634033203125,0.9904656410217285,980.268798828125,374.6948547363281,0.9868208765983582,1138.534423828125,471.7278747558594,0.9838812351226807,921.8703002929688,485.0284118652344,0.9723926782608032,969.2947998046875,592.974609375,0.8695536851882935
8,1073.981201171875,287.5420227050781,0.9904565811157227,980.23876953125,374.870849609375,0.9850379824638367,1137.4569091796875,470.5601501464844,0.9829747676849365,920.234375,483.72296142578125,0.971463680267334,964.1834106445312,592.791259765625,0.8575053811073303
9,1073.2384033203125,287.4107666015625,0.9892092943191528,980.2266845703125,375.04730224609375,0.9865368604660034,1135.5191650390625,470.0332946777344,0.9743267297744751,918.759033203125,482.7514953613281,0.9744197130203247,958.3605346679688,592.6341552734375,0.8202424049377441
10,1072.331787109375,288.20343017578125,0.9889612197875977,980.3086547851562,375.3785400390625,0.98418790102005,1133.6156005859375,469.74755859375,0.9780063629150391,917.053955078125,482.03900146484375,0.9778194427490234,954.2598876953125,588.8740844726562,0.8151007890701294
11,1072.0225830078125,288.21917724609375,0.9868406653404236,980.6754760742188,375.0618591308594,0.9883887767791748,1130.681884765625,468.6939392089844,0.9838875532150269,915.6787109375,480.7590026855469,0.9731225371360779,950.3240356445312,589.4525146484375,0.8015456199645996
12,1072.1353759765625,288.21124267578125,0.9861639738082886,981.1177368164062,374.876953125,0.9897570610046387,1128.333984375,468.2328186035156,0.9758421182632446,914.7208862304688,480.3855895996094,0.9680643081665039,947.7158203125,588.89794921875,0.8110330104827881
13,1072.6815185546875,287.99749755859375,0.9874613285064697,981.9120483398438,374.5986022949219,0.9907805919647217,1126.5020751953125,467.7144775390625,0.9804810881614685,911.939697265625,479.546630859375,0.9692877531051636,945.2306518554688,588.3714599609375,0.7544151544570923
14,1072.945068359375,287.9734191894531,0.987510621547699,982.7837524414062,374.5472412109375,0.9889366626739502,1124.9085693359375,466.4762268066406,0.9795078039169312,911.472900390625,479.1316833496094,0.9684861302375793,940.3103637695312,588.1964111328125,0.6723117232322693
15,1073.2681884765625,287.8992614746094,0.9888842105865479,983.4867553710938,374.14080810546875,0.9876886010169983,1123.8564453125,463.41265869140625,0.985406756401062,910.68359375,478.9966735839844,0.9699807167053223,933.295166015625,584.2964477539062,0.783502459526062
16,1074.1075439453125,288.12310791015625,0.9900875091552734,984.215576171875,373.5540466308594,0.9827283024787903,1123.01611328125,461.3333435058594,0.9851892590522766,910.1992797851562,479.1335144042969,0.9713110327720642,929.449462890625,582.9382934570312,0.7654672861099243
17,1074.9327392578125,288.63519287109375,0.9924105405807495,984.5966796875,373.71917724609375,0.9859882593154907,1121.7703857421875,460.13470458984375,0.9816213846206665,909.084228515625,480.14605712890625,0.9680866003036499,919.9197387695312,582.6885986328125,0.7905796766281128
18,1075.6014404296875,289.29986572265625,0.9931762218475342,985.76123046875,373.9617614746094,0.9875185489654541,1120.757080078125,459.2478332519531,0.9790959358215332,907.9190063476562,480.8484191894531,0.9611567854881287,916.9152221679688,583.7421264648438,0.7727745175361633
19,1076.2744140625,289.6669921875,0.9927685260772705,987.5204467773438,374.1905212402344,0.9893434047698975,1119.6043701171875,458.6903076171875,0.9735320806503296,905.9815673828125,480.92138671875,0.9532323479652405,915.7432861328125,584.5257568359375,0.7493700981140137
20,1076.7816162109375,289.3643493652344,0.9916501045227051,988.5711059570312,374.6244812011719,0.9865280389785767,1119.3282470703125,457.68804931640625,0.9613220691680908,903.3065795898438,480.94183349609375,0.9702967405319214,914.7020874023438,587.1987915039062,0.7839897871017456
21,1077.8399658203125,289.0643005371094,0.9892033338546753,989.405517578125,374.56158447265625,0.987322211265564,1119.3975830078125,457.1061096191406,0.9608290195465088,901.9328002929688,480.87921142578125,0.9762735366821289,907.6837768554688,584.0264282226562,0.792948842048645
22,1078.393798828125,288.7085266113281,0.9861834049224854,990.0521240234375,374.2743225097656,0.9875023365020752,1119.195068359375,455.1572570800781,0.9567208886146545,901.1500854492188,480.674072265625,0.9788107872009277,901.82763671875,582.1243286132812,0.8160158395767212
23,1078.615234375,287.91302490234375,0.9795787334442139,991.2509765625,373.3249206542969,0.9870766401290894,1119.3123779296875,454.49261474609375,0.9639759063720703,899.6398315429688,480.6465148925781,0.9743977189064026,900.3501586914062,583.1848754882812,0.706733226776123
24,1079.95458984375,287.1370849609375,0.9809565544128418,992.0767211914062,371.9920654296875,0.9875909090042114,1119.57177734375,453.96563720703125,0.9756569862365723,895.5694580078125,480.68109130859375,0.9761967062950134,898.0462036132812,583.3687744140625,0.7626471519470215
