,P3.1,P3.2,P3.3,P3.4,P3.5,P3.6,P3.7,P3.8,P3.9,pos3.1,pos3.2,pos3.3,pos3.4,pos3.5,pos3.6,pos3.7,pos3.8,pos3.9,pos3.10,neg3.1,neg3.2,neg3.3,neg3.4,neg3.5,neg3.6
P3.1,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P3.2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P3.3,1,1,10,0,3,1,1,0,0,1,4,0,0,0,0,0,0,0,0,5,4,3,2,1,0
P3.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P3.5,0,0,3,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,2,4,0,1
P3.6,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P3.7,1,1,1,0,0,1,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
P3.8,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P3.9,1,1,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
pos3.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pos3.2,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,0,0,0,0
pos3.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
pos3.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
pos3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
pos3.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
pos3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pos3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0
pos3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0
pos3.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
neg3.1,0,0,5,0,5,0,0,0,1,1,2,0,0,0,0,0,0,0,0,10,5,2,2,0,1
neg3.2,0,0,4,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,6,1,2,0,0
neg3.3,0,0,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,9,3,0,0
neg3.4,0,0,2,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,2,3,6,0,0
neg3.5,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
neg3.6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4
