scorer,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000
bodyparts,scapula,scapula,scapula,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1237.7926025390625,249.53042602539062,0.9981988668441772,1184.88427734375,403.3563232421875,0.9918367266654968,1259.9224853515625,549.7230224609375,0.9992861747741699,1198.6121826171875,598.5098876953125,0.9992717504501343
1,1238.8818359375,248.73590087890625,0.9979509711265564,1183.586181640625,404.4848327636719,0.9972100257873535,1259.269775390625,550.6057739257812,0.999215841293335,1198.670654296875,598.5029296875,0.9992152452468872
2,1237.3704833984375,246.6383514404297,0.9987611770629883,1183.959228515625,404.1098937988281,0.9953739643096924,1259.3095703125,550.6038208007812,0.999085545539856,1197.8209228515625,597.806640625,0.9992448091506958
3,1238.1878662109375,247.00436401367188,0.9986165761947632,1182.7928466796875,402.9974060058594,0.984754741191864,1258.4776611328125,551.9097900390625,0.9989651441574097,1198.7158203125,596.909423828125,0.9993699789047241
4,1239.400634765625,247.19638061523438,0.9988440275192261,1182.180419921875,403.6231689453125,0.994817852973938,1257.752685546875,551.7356567382812,0.9987227916717529,1198.4805908203125,596.88232421875,0.9993702173233032
5,1237.640869140625,246.4473419189453,0.9979184865951538,1179.75390625,404.1772766113281,0.9534754753112793,1257.6207275390625,553.0640869140625,0.9983615875244141,1198.1055908203125,596.3342895507812,0.9995565414428711
6,1237.5347900390625,245.91830444335938,0.9994161128997803,1178.58837890625,404.8661804199219,0.9391391277313232,1256.92822265625,552.2689208984375,0.9978210926055908,1198.5357666015625,596.0364379882812,0.9995448589324951
7,1237.175537109375,246.41075134277344,0.9991118311882019,1172.3382568359375,404.7686462402344,0.9658490419387817,1257.188720703125,553.0039672851562,0.9978885650634766,1198.09716796875,595.8867797851562,0.9995286464691162
