scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,251.9562530517578,421.00665283203125,0.9998986721038818,247.53807067871094,420.6204833984375,0.023016957566142082,190.5005340576172,510.66949462890625,0.9986149072647095,599.735107421875,526.4806518554688,0.9890708923339844,548.7864990234375,537.7066650390625,0.9989885687828064,605.2479858398438,525.7886962890625,0.04292837902903557,547.5742797851562,540.5159301757812,0.023302247747778893,661.8631591796875,535.0643920898438,0.9940243363380432,664.6061401367188,533.5444946289062,0.02045479789376259,601.0171508789062,513.3597412109375,0.01967349648475647,698.3185424804688,511.2879333496094,0.7940990328788757,603.4993286132812,524.9376831054688,0.016441019251942635
1,251.9562530517578,421.26910400390625,0.9999171495437622,247.5919189453125,420.62615966796875,0.023474926128983498,190.56239318847656,510.66949462890625,0.9983415603637695,600.3412475585938,526.4806518554688,0.9867462515830994,549.5446166992188,537.8898315429688,0.9988250136375427,605.6314697265625,525.7886962890625,0.041443608701229095,548.2643432617188,540.6983032226562,0.025788117200136185,662.2907104492188,535.2288208007812,0.9950330257415771,664.749267578125,533.5444946289062,0.022351283580064774,601.0171508789062,519.917236328125,0.017862744629383087,698.31884765625,511.2879333496094,0.8077421188354492,603.4993286132812,524.9989013671875,0.015406460501253605
2,252.04930114746094,421.26910400390625,0.9999167919158936,247.67918395996094,420.7342529296875,0.022163137793540955,190.58685302734375,510.68048095703125,0.998516857624054,600.3412475585938,526.5355224609375,0.9908753633499146,549.5446166992188,538.0855712890625,0.9991034865379333,605.6932983398438,525.8212890625,0.04111207649111748,548.2838745117188,540.7378540039062,0.02448543906211853,662.4622802734375,535.2288208007812,0.9945422410964966,664.8969116210938,533.5444946289062,0.017289193347096443,601.0171508789062,520.0385131835938,0.019186900928616524,698.31884765625,511.67510986328125,0.8826499581336975,603.5696411132812,525.1097412109375,0.014818227849900723
3,251.9562530517578,421.26910400390625,0.999911904335022,247.5919189453125,420.87152099609375,0.02590094693005085,190.77403259277344,510.66949462890625,0.9986074566841125,600.3663940429688,526.4806518554688,0.9888961315155029,549.5446166992188,538.1533813476562,0.9989848732948303,605.7686767578125,525.7886962890625,0.040064163506031036,548.3761596679688,540.7378540039062,0.02441432699561119,662.4622802734375,535.2288208007812,0.995643138885498,664.8969116210938,533.5444946289062,0.01969670131802559,543.707275390625,524.7726440429688,0.020001370459794998,698.329345703125,511.4003601074219,0.770709216594696,603.5283203125,525.1097412109375,0.015529856085777283
4,251.95277404785156,421.26910400390625,0.9999054670333862,247.5919189453125,420.89080810546875,0.022924665361642838,190.77403259277344,510.7745666503906,0.9981579184532166,600.3088989257812,526.4786376953125,0.9903023838996887,549.5464477539062,538.0855712890625,0.9988020658493042,605.6932983398438,525.75390625,0.04032379761338234,548.3761596679688,540.7378540039062,0.033527299761772156,662.4769897460938,535.2288208007812,0.9962316155433655,665.0162353515625,533.4985961914062,0.027201572433114052,543.707275390625,524.7726440429688,0.021808665245771408,698.623291015625,511.2879333496094,0.8765425682067871,603.5696411132812,525.028076171875,0.015366352163255215
5,251.890869140625,421.26910400390625,0.9998785257339478,247.57977294921875,420.945068359375,0.03889122232794762,190.82620239257812,510.4856872558594,0.9986839890480042,600.3663940429688,526.4786376953125,0.9896476864814758,549.4598388671875,538.0202026367188,0.9988656044006348,605.7686767578125,525.75390625,0.04154801368713379,548.2838745117188,540.6983032226562,0.03176725283265114,662.7941284179688,535.2288208007812,0.9943550825119019,665.3300170898438,533.3660888671875,0.022635919973254204,543.707275390625,524.7726440429688,0.020786287263035774,698.623291015625,511.4003601074219,0.7074769139289856,603.5696411132812,525.0448608398438,0.01512949075549841
6,251.78958129882812,421.04925537109375,0.9999047517776489,247.55438232421875,420.945068359375,0.029210666194558144,190.82620239257812,510.48565673828125,0.9980011582374573,600.3088989257812,526.5045166015625,0.990066409111023,549.447265625,538.0202026367188,0.9991151690483093,605.6932983398438,525.8982543945312,0.04024477303028107,548.2838745117188,540.6650390625,0.023210395127534866,662.92529296875,535.23583984375,0.9954454898834229,665.4742431640625,533.4985961914062,0.019821280613541603,543.7811279296875,524.7352294921875,0.01779794506728649,698.5674438476562,511.44268798828125,0.7977981567382812,603.58837890625,525.028076171875,0.014722227118909359
7,251.78958129882812,421.2926025390625,0.9999203681945801,247.55438232421875,420.945068359375,0.028996789827942848,190.5709228515625,510.48565673828125,0.9985816478729248,600.3663940429688,526.5045166015625,0.9875168204307556,549.408447265625,537.93017578125,0.9989888072013855,605.7686767578125,525.75390625,0.04146796092391014,548.4244995117188,540.6209106445312,0.021471448242664337,663.042724609375,535.23583984375,0.9955174326896667,665.4742431640625,533.530517578125,0.02510489709675312,543.7854614257812,524.7179565429688,0.01901555061340332,698.6648559570312,511.4003601074219,0.8826687932014465,603.58837890625,525.028076171875,0.014853236265480518
8,251.890869140625,421.0966796875,0.9999269247055054,247.57977294921875,420.8081970214844,0.027286188676953316,190.50244140625,510.48565673828125,0.998344898223877,600.0995483398438,526.5045166015625,0.9897144436836243,549.2212524414062,537.93017578125,0.9990023970603943,605.6624145507812,525.7337036132812,0.04322342947125435,548.2658081054688,540.5872802734375,0.025465872138738632,663.042724609375,535.1761474609375,0.994878888130188,665.4742431640625,533.530517578125,0.0221385657787323,543.7854614257812,524.7179565429688,0.020939728245139122,698.6648559570312,511.44268798828125,0.7947211861610413,603.592041015625,525.024658203125,0.015463843010365963
9,252.03817749023438,421.0966796875,0.9999133348464966,247.6128387451172,420.8081970214844,0.01978353224694729,190.50244140625,510.3049011230469,0.9979987740516663,600.0995483398438,526.5045166015625,0.9898625612258911,549.2212524414062,537.9729614257812,0.9991451501846313,605.867431640625,525.7337036132812,0.03627977520227432,548.2051391601562,540.5872802734375,0.01880766451358795,662.91943359375,535.1761474609375,0.9956719875335693,665.455078125,533.530517578125,0.021497396752238274,600.6300048828125,520.0003662109375,0.02123066782951355,698.5674438476562,511.4850158691406,0.7893603444099426,603.592041015625,525.024658203125,0.016533061861991882
