scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,849.3582153320312,445.897705078125,0.08054821938276291,847.5353393554688,447.38702392578125,0.9990622401237488,908.99658203125,537.22900390625,0.9982830286026001,500.7825622558594,526.0155639648438,0.3626459538936615,548.864990234375,541.7736206054688,0.09014242142438889,503.8550720214844,524.69580078125,0.9742594957351685,549.0892944335938,538.839599609375,0.9974954724311829,454.95587158203125,538.2777709960938,0.14227236807346344,458.76470947265625,532.793212890625,0.9958738684654236,422.52911376953125,515.9524536132812,0.996436595916748,419.51934814453125,517.2614135742188,0.07533451169729233,556.7506103515625,542.3406982421875,0.009748290292918682
1,849.3738403320312,445.97900390625,0.05965730920433998,847.5779418945312,447.5703125,0.9988880753517151,909.12939453125,538.00830078125,0.9969456791877747,501.4403381347656,526.0682373046875,0.37872084975242615,548.8875732421875,541.830810546875,0.09223859757184982,504.7177429199219,525.6729736328125,0.9688704013824463,549.1829223632812,539.0433959960938,0.9978306889533997,454.95587158203125,538.2777709960938,0.10915657132863998,458.76470947265625,532.793212890625,0.9963816404342651,422.59893798828125,515.9524536132812,0.9966599941253662,419.5499572753906,517.2614135742188,0.0710243508219719,556.7584838867188,542.3551025390625,0.009880290366709232
2,849.3738403320312,445.97900390625,0.08669722825288773,847.5779418945312,447.6258850097656,0.9990172386169434,909.12939453125,538.3871459960938,0.9979329109191895,501.55743408203125,526.0682373046875,0.38186898827552795,548.8875732421875,541.8624877929688,0.09176788479089737,504.7177429199219,525.6729736328125,0.968110203742981,549.1829223632812,539.0433959960938,0.997873067855835,454.95587158203125,538.2970581054688,0.11495136469602585,458.76470947265625,532.793212890625,0.9951091408729553,422.59893798828125,515.9524536132812,0.996711254119873,419.5499572753906,517.2614135742188,0.12288239598274231,556.7584838867188,542.3551025390625,0.009613804519176483
3,849.4730834960938,445.9669189453125,0.07483827322721481,847.5779418945312,447.6258850097656,0.9990524649620056,909.1478271484375,538.1195068359375,0.9968110918998718,502.3482971191406,526.0682373046875,0.34528717398643494,548.864990234375,541.8624877929688,0.07952570915222168,504.92510986328125,525.6729736328125,0.977233350276947,549.1829223632812,539.0250244140625,0.9979721903800964,454.7869873046875,538.2970581054688,0.08371086418628693,458.5401306152344,532.6951293945312,0.9968900084495544,422.52911376953125,515.9524536132812,0.995663583278656,419.5499572753906,517.259765625,0.11354997754096985,556.7584838867188,542.3406982421875,0.009188227355480194
4,849.4730834960938,445.97900390625,0.07930154353380203,847.5779418945312,447.70098876953125,0.9990424513816833,909.1478271484375,538.1195068359375,0.9983789920806885,502.3482971191406,526.045654296875,0.4484492838382721,548.8875732421875,541.8624877929688,0.09545672684907913,504.7177429199219,525.1141967773438,0.9699838757514954,549.1847534179688,538.839599609375,0.9976523518562317,454.7869873046875,538.1331176757812,0.1184668317437172,458.5401306152344,532.4357299804688,0.9949369430541992,422.52911376953125,515.9524536132812,0.996057391166687,419.5499572753906,517.259765625,0.12055899947881699,556.7600708007812,542.3406982421875,0.010699586942791939
5,849.4730834960938,445.9669189453125,0.06353502720594406,847.5779418945312,447.6258850097656,0.9990546107292175,909.12939453125,538.00830078125,0.9973383545875549,501.7947998046875,525.8984985351562,0.374967098236084,548.72705078125,541.8738403320312,0.08527015894651413,504.65167236328125,525.1141967773438,0.9757636785507202,549.151123046875,539.0250244140625,0.9975186586380005,454.5379638671875,538.1331176757812,0.14395177364349365,458.30743408203125,532.4356689453125,0.9955496788024902,422.6568603515625,515.8152465820312,0.9969043135643005,419.5499572753906,517.1160888671875,0.07927388697862625,556.7600708007812,542.3095703125,0.010702443309128284
6,849.4241943359375,445.8139343261719,0.08890766650438309,847.8474731445312,447.483642578125,0.9989670515060425,909.1478271484375,538.1195068359375,0.997601330280304,501.7947998046875,525.8984985351562,0.39681029319763184,548.5829467773438,541.8738403320312,0.09427536278963089,504.6300964355469,525.1141967773438,0.957854151725769,549.07275390625,539.0250244140625,0.9975448250770569,454.7869873046875,538.2970581054688,0.11076183617115021,458.5401306152344,532.4357299804688,0.9949197173118591,422.64971923828125,515.8152465820312,0.9961663484573364,419.507568359375,517.1010131835938,0.10183029621839523,556.7888793945312,542.3008422851562,0.009286363609135151
7,849.4418334960938,445.69268798828125,0.07602257281541824,847.8474731445312,447.483642578125,0.9989381432533264,909.1478271484375,538.1195068359375,0.9982652068138123,501.7879638671875,526.045654296875,0.4544825553894043,548.535888671875,541.822509765625,0.08877476304769516,504.4546813964844,525.1009521484375,0.972212016582489,549.07275390625,538.9425659179688,0.9977564215660095,454.7869873046875,538.3618774414062,0.08189985156059265,458.57415771484375,532.6951293945312,0.9969717264175415,422.6568603515625,515.81787109375,0.9954085946083069,419.5302734375,517.0054931640625,0.076727956533432,556.8231201171875,542.3095703125,0.010264154523611069
8,849.4418334960938,445.69268798828125,0.052584461867809296,847.5794677734375,447.483642578125,0.999193012714386,909.078125,537.9990234375,0.9979819059371948,501.7879638671875,526.2984619140625,0.35837462544441223,548.5829467773438,541.8150634765625,0.07876467704772949,504.4546813964844,525.1635131835938,0.9780879020690918,549.07275390625,538.9425659179688,0.998197615146637,455.16351318359375,538.4500732421875,0.09999435395002365,458.9411926269531,532.7627563476562,0.996595561504364,422.6867980957031,515.81787109375,0.9950805902481079,419.507568359375,517.0054931640625,0.07866732776165009,556.8231201171875,542.311279296875,0.011208630166947842
9,849.4241943359375,445.69268798828125,0.05783594027161598,847.5620727539062,447.483642578125,0.9991883635520935,908.93359375,538.3135375976562,0.9974491000175476,501.7879638671875,526.4995727539062,0.4158071279525757,548.535888671875,541.8987426757812,0.08297470211982727,504.6300964355469,525.2017211914062,0.9674939513206482,549.0609741210938,539.0691528320312,0.9979602098464966,455.16351318359375,538.4500732421875,0.12134414166212082,458.97216796875,532.9513549804688,0.9954641461372375,422.6867980957031,515.5379638671875,0.9953183531761169,419.4814147949219,516.9618530273438,0.09729143232107162,556.8231201171875,542.3095703125,0.010315955616533756
