scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,826.6434936523438,425.6166687011719,0.09839693456888199,825.1034545898438,426.5752258300781,0.9980910420417786,863.3184204101562,509.3379211425781,0.99817955493927,366.52947998046875,523.6928100585938,0.1982252299785614,324.2823486328125,526.62109375,0.02653527818620205,371.8946228027344,524.9799194335938,0.9954883456230164,446.67388916015625,540.6517944335938,0.9971388578414917,330.5950012207031,531.7706909179688,0.06315674632787704,326.4284973144531,526.4362182617188,0.9969732761383057,308.078857421875,511.85162353515625,0.05694843828678131,820.3985595703125,426.37310791015625,0.023350568488240242,445.5510559082031,541.0587158203125,0.011633026413619518
1,826.6434936523438,425.6871643066406,0.0836445763707161,825.1034545898438,426.61846923828125,0.9984906911849976,863.4783935546875,509.4804992675781,0.9973830580711365,366.52947998046875,523.89404296875,0.18266865611076355,324.2823486328125,526.62109375,0.023298101499676704,371.8946228027344,525.1106567382812,0.9955859184265137,446.67388916015625,540.7278442382812,0.9974266886711121,330.5950012207031,531.7706909179688,0.0631934329867363,326.4284973144531,526.5170288085938,0.9975197911262512,308.12652587890625,511.85162353515625,0.08265803009271622,820.4083251953125,426.4169921875,0.025818360969424248,445.55224609375,541.1088256835938,0.011320198886096478
2,826.6434936523438,425.6871643066406,0.08027001470327377,825.1034545898438,426.61846923828125,0.9985713958740234,863.487548828125,509.93487548828125,0.9980530738830566,366.52947998046875,524.0631103515625,0.17793570458889008,324.3539123535156,526.6549682617188,0.03297620639204979,371.98553466796875,525.15673828125,0.9957438111305237,446.67388916015625,540.8595581054688,0.9979301691055298,330.6068115234375,531.7776489257812,0.04813371226191521,326.4286193847656,526.5242919921875,0.996834933757782,308.4718933105469,511.85162353515625,0.07128582894802094,820.4175415039062,426.4169921875,0.024783577769994736,445.64385986328125,541.1442260742188,0.01040735188871622
3,826.5841674804688,425.6871643066406,0.08106017857789993,824.9929809570312,426.61846923828125,0.9985712766647339,863.4783935546875,509.93487548828125,0.9969748258590698,366.6210632324219,524.1976928710938,0.14029330015182495,324.3539123535156,526.62109375,0.03177609294652939,372.212158203125,525.15673828125,0.9960947632789612,446.56707763671875,540.7278442382812,0.9976155757904053,330.6068115234375,532.0148315429688,0.05272136628627777,326.4286193847656,526.5170288085938,0.9964710474014282,308.12652587890625,511.8414611816406,0.05059061199426651,820.4083251953125,426.4169921875,0.024320032447576523,445.6826171875,541.1580200195312,0.011605503968894482
4,826.5128173828125,425.566162109375,0.08849531412124634,824.9848022460938,426.5495300292969,0.9984862208366394,863.487548828125,509.9427795410156,0.9973638653755188,366.49676513671875,524.1976928710938,0.1667279452085495,324.26190185546875,526.5739135742188,0.03175557777285576,371.98553466796875,525.15673828125,0.995375394821167,446.56707763671875,540.7278442382812,0.9974302649497986,330.58221435546875,531.7706909179688,0.04738858714699745,326.36199951171875,526.4362182617188,0.9972533583641052,308.2644958496094,511.71563720703125,0.07607975602149963,820.3985595703125,426.500732421875,0.02385123260319233,445.6826171875,541.1580200195312,0.0113843884319067
5,826.32470703125,425.4556884765625,0.11531069874763489,824.7471313476562,426.4502258300781,0.9982752799987793,863.487548828125,509.9427795410156,0.9970979690551758,366.3921203613281,524.1976928710938,0.17785929143428802,324.26190185546875,526.5739135742188,0.025876907631754875,371.8808898925781,525.1106567382812,0.9953604340553284,446.56707763671875,540.9693603515625,0.9972503781318665,330.58221435546875,531.9993896484375,0.04998094215989113,326.36199951171875,526.5170288085938,0.997378945350647,308.207763671875,511.71563720703125,0.0696963369846344,820.1629028320312,426.691650390625,0.024350421503186226,445.64385986328125,541.1580200195312,0.010853847488760948
6,826.32470703125,425.4556884765625,0.08325908333063126,824.7471313476562,426.4502258300781,0.9987666606903076,863.659912109375,509.6924743652344,0.9976760745048523,366.49676513671875,524.3067626953125,0.16655761003494263,324.2893981933594,526.6549682617188,0.029367785900831223,372.212158203125,525.218994140625,0.9953458905220032,446.5552673339844,540.9693603515625,0.997397780418396,330.58221435546875,532.0678100585938,0.042260296642780304,326.4286193847656,526.6803588867188,0.9965910911560059,308.207763671875,511.71563720703125,0.05410889908671379,820.1629028320312,426.7154541015625,0.023594213649630547,445.5762023925781,541.1829833984375,0.010915720835328102
7,826.315185546875,425.3995361328125,0.1368095725774765,824.6867065429688,426.39788818359375,0.9981441497802734,864.4019775390625,509.2878112792969,0.9983318448066711,367.1770324707031,524.3067626953125,0.18607892096042633,324.2893981933594,526.5400390625,0.02732129767537117,372.49224853515625,525.218994140625,0.9942376613616943,446.27215576171875,540.8529052734375,0.9976018071174622,330.58221435546875,531.9993896484375,0.05341622978448868,326.5745849609375,526.43408203125,0.9973821043968201,308.207763671875,511.700927734375,0.07200190424919128,820.159912109375,426.7154541015625,0.023324940353631973,445.5762023925781,541.185791015625,0.01128581166267395
8,826.210205078125,425.3015441894531,0.1111799106001854,824.6463012695312,426.2837219238281,0.9981234669685364,864.4660034179688,509.195556640625,0.9982435703277588,366.8475341796875,524.3067626953125,0.1957717090845108,324.68170166015625,526.5400390625,0.025824863463640213,372.49224853515625,525.218994140625,0.995357096195221,446.33160400390625,540.8529052734375,0.9966423511505127,330.77734375,531.9993896484375,0.07535261660814285,326.9171447753906,526.6803588867188,0.9976213574409485,308.2513732910156,511.6506042480469,0.09709446877241135,820.1285400390625,426.7154541015625,0.02655716799199581,445.5762023925781,541.185791015625,0.010172990150749683
9,826.210205078125,425.0308837890625,0.09550750255584717,824.542236328125,426.0078125,0.9981456995010376,864.4996337890625,508.91986083984375,0.9989694356918335,367.0798034667969,524.3131713867188,0.25121697783470154,324.717529296875,526.556884765625,0.041006412357091904,372.49224853515625,525.218994140625,0.9934142827987671,446.33160400390625,540.8529052734375,0.9967922568321228,330.7981262207031,532.1935424804688,0.07342954725027084,327.22955322265625,526.6990356445312,0.996588945388794,308.2513732910156,511.6506042480469,0.0748099535703659,819.8873291015625,426.71209716796875,0.025950884446501732,445.58050537109375,541.185791015625,0.011991667561233044
