scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,813.593994140625,425.845703125,0.04991884157061577,812.5227661132812,427.9317932128906,0.9968605041503906,867.447509765625,493.3304138183594,0.9983606934547424,539.122314453125,513.822509765625,0.20586422085762024,595.6790771484375,491.1448669433594,0.04495720937848091,545.69970703125,512.1964111328125,0.997448742389679,596.764404296875,530.5272216796875,0.9999443292617798,487.9909362792969,529.38916015625,0.07420162111520767,490.5744323730469,524.7432861328125,0.9954009652137756,446.8265075683594,507.6875915527344,0.9946880340576172,445.623046875,507.989990234375,0.027810733765363693,876.7991943359375,490.79583740234375,0.010007885284721851
1,813.61962890625,426.0783386230469,0.06000319495797157,812.5391845703125,428.0096740722656,0.9970235228538513,867.5953979492188,493.38037109375,0.9986521601676941,539.8878784179688,514.1178588867188,0.1822761595249176,595.7562255859375,532.3424682617188,0.031536903232336044,545.763671875,512.3875732421875,0.9973243474960327,596.8856811523438,530.55322265625,0.9999310970306396,487.9909362792969,529.38916015625,0.09450114518404007,490.5744323730469,524.7796020507812,0.9944701194763184,447.2626037597656,507.8475341796875,0.993441104888916,445.62750244140625,507.989990234375,0.03875158354640007,876.9251708984375,490.8079833984375,0.008572153747081757
2,813.6347045898438,426.10791015625,0.09137099981307983,812.5391845703125,428.0096740722656,0.9960208535194397,867.8221435546875,493.67572021484375,0.9981476068496704,539.8878784179688,514.1178588867188,0.214832603931427,596.0289306640625,532.3424682617188,0.03361751139163971,545.763671875,512.5398559570312,0.9973558187484741,596.8856811523438,530.5699462890625,0.9999270439147949,487.9909362792969,529.38916015625,0.08606167882680893,490.5744323730469,524.7833862304688,0.9952300786972046,447.2626037597656,507.8475341796875,0.9914996027946472,445.6837463378906,508.4682922363281,0.02890119142830372,876.9251708984375,490.86346435546875,0.008211937732994556
3,813.7144775390625,426.2507019042969,0.055623944848775864,812.5227661132812,428.0894470214844,0.9969428181648254,867.5953979492188,494.1195983886719,0.9983886480331421,539.431884765625,514.1178588867188,0.17284996807575226,595.76806640625,532.3662109375,0.03194621577858925,545.69970703125,512.5398559570312,0.9979762434959412,596.8856811523438,530.55322265625,0.9999399185180664,487.9909362792969,529.38916015625,0.07541320472955704,490.5744323730469,525.2476806640625,0.9955815672874451,447.2626037597656,507.8475341796875,0.9946117401123047,445.855712890625,508.13836669921875,0.03054426982998848,876.8770751953125,490.9228210449219,0.007605549413710833
4,813.6347045898438,426.10791015625,0.11849028617143631,812.516845703125,428.0096740722656,0.995586633682251,867.447509765625,494.25750732421875,0.9980446100234985,539.9024658203125,514.3750610351562,0.2153504639863968,595.76806640625,532.3424682617188,0.03356943652033806,545.85546875,512.5684814453125,0.997057318687439,596.7848510742188,530.55322265625,0.9999353885650635,487.9909362792969,529.38916015625,0.09023158252239227,490.5744323730469,525.2476806640625,0.9934214949607849,447.3840637207031,508.0243225097656,0.9928429126739502,445.913818359375,508.13836669921875,0.03364144265651703,876.7991943359375,490.9265441894531,0.009019913151860237
5,813.6607666015625,426.3101501464844,0.0761047825217247,812.39697265625,428.0096740722656,0.9965733289718628,867.1284790039062,494.4652404785156,0.9980227947235107,539.431884765625,514.3750610351562,0.21260616183280945,595.7835693359375,532.2938842773438,0.031029112637043,545.85546875,512.8072509765625,0.9972924590110779,596.7848510742188,530.55322265625,0.9999352693557739,488.2592468261719,529.4983520507812,0.1105494499206543,490.6637268066406,525.2476806640625,0.9947535991668701,447.2626037597656,507.8475341796875,0.9929574728012085,445.86566162109375,507.9846496582031,0.033956825733184814,876.7315063476562,490.9525451660156,0.007168800104409456
6,813.6607666015625,426.318115234375,0.0747077688574791,812.39697265625,428.0076599121094,0.9964765906333923,867.1284790039062,494.4652404785156,0.9982346296310425,539.431884765625,514.3750610351562,0.2183244526386261,595.798828125,532.2239990234375,0.03313009813427925,545.8151245117188,512.8072509765625,0.9971039891242981,596.7848510742188,530.5426025390625,0.9999260902404785,488.3744201660156,529.5335083007812,0.0985526517033577,490.962646484375,525.09619140625,0.9948837161064148,447.3840637207031,507.78192138671875,0.9930312633514404,445.913818359375,508.13836669921875,0.03343397378921509,876.7315063476562,490.969482421875,0.007906509563326836
7,813.6964721679688,426.318115234375,0.1067933663725853,812.39697265625,427.97320556640625,0.9962891340255737,867.1284790039062,494.4652404785156,0.9981604218482971,539.3845825195312,514.3750610351562,0.2375171035528183,595.798828125,532.2938842773438,0.04065902158617973,545.8151245117188,512.8072509765625,0.9968045949935913,596.8206787109375,530.4550170898438,0.9999146461486816,488.3744201660156,529.5335083007812,0.07138141989707947,490.962646484375,524.9832153320312,0.9947971701622009,447.3840637207031,507.89190673828125,0.9932987093925476,445.913818359375,508.13836669921875,0.05424824729561806,876.674072265625,490.9900817871094,0.009508310817182064
8,813.6607666015625,426.318115234375,0.10913451761007309,812.39697265625,427.97320556640625,0.9959595799446106,866.897216796875,494.525390625,0.9983718991279602,539.6050415039062,515.7916870117188,0.18341200053691864,595.798828125,532.2239990234375,0.04142525792121887,545.8151245117188,512.6892700195312,0.9974149465560913,596.7449951171875,530.4214477539062,0.999935507774353,488.4364013671875,529.6246337890625,0.06587874889373779,490.962646484375,524.9832153320312,0.995400607585907,447.4386291503906,507.8528137207031,0.9923350214958191,447.1322021484375,509.1665954589844,0.03742020204663277,876.6553955078125,491.0295104980469,0.008973992429673672
9,813.6964721679688,426.44805908203125,0.09359325468540192,812.4401245117188,427.97320556640625,0.9964428544044495,867.32470703125,494.525390625,0.9976149797439575,539.3845825195312,514.2940673828125,0.17445935308933258,596.0003051757812,532.1617431640625,0.03404407948255539,545.7852172851562,512.6585083007812,0.997914731502533,596.758544921875,530.4214477539062,0.9999396800994873,488.4364013671875,529.8115844726562,0.07275237888097763,490.62359619140625,524.9390258789062,0.9953677654266357,447.3547668457031,507.7934875488281,0.9936811923980713,447.1322021484375,509.1665954589844,0.03568001091480255,876.674072265625,491.0295104980469,0.007228872273117304
