scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,306.9276428222656,485.5376892089844,0.9994799494743347,253.56033325195312,570.4063110351562,0.0204972792416811,255.4113006591797,568.8544311523438,0.9872976541519165,643.8004760742188,577.693359375,0.9974408149719238,584.6395874023438,590.9752197265625,0.9964067339897156,639.6751098632812,576.7946166992188,0.05279295891523361,587.2664794921875,592.9049682617188,0.02445826679468155,678.1231079101562,578.7591552734375,0.995248019695282,255.5773162841797,571.3839111328125,0.02756860852241516,252.5842742919922,562.2750244140625,0.03108162060379982,689.420166015625,568.2742309570312,0.016170388087630272,635.1974487304688,574.1342163085938,0.011715645901858807
1,306.9276428222656,485.5376892089844,0.9992913007736206,253.69981384277344,570.4063110351562,0.01940007694065571,255.5107879638672,568.9823608398438,0.9853155612945557,643.8959350585938,577.7999267578125,0.9970310926437378,584.814208984375,590.9752197265625,0.9962791800498962,639.7330932617188,576.8540649414062,0.06542100012302399,587.3532104492188,592.9049682617188,0.022190658375620842,678.1879272460938,578.7591552734375,0.9940063953399658,255.67315673828125,571.3839111328125,0.023473791778087616,629.1259765625,565.021728515625,0.030715541914105415,690.0526733398438,568.2742309570312,0.013331989757716656,635.2254638671875,574.2493286132812,0.01187366433441639
2,306.9276428222656,485.5376892089844,0.9993913173675537,253.69981384277344,570.7149047851562,0.01950833760201931,255.5107879638672,569.686279296875,0.9857455492019653,644.3589477539062,577.7999267578125,0.9972261786460876,584.814208984375,592.2918090820312,0.9961563944816589,639.7373657226562,576.8540649414062,0.06545313447713852,587.353271484375,593.02392578125,0.026042338460683823,678.4916381835938,578.7591552734375,0.9958633184432983,255.67315673828125,571.5261840820312,0.02429899573326111,629.1259765625,565.021728515625,0.02627517096698284,690.0731811523438,568.2742309570312,0.01321740448474884,635.2254638671875,574.2493286132812,0.012779751792550087
3,306.8491516113281,485.5128173828125,0.9992386102676392,253.57249450683594,570.4063110351562,0.019332505762577057,255.45169067382812,569.686279296875,0.986409068107605,644.3040161132812,577.693359375,0.997559666633606,584.7598876953125,592.3158569335938,0.9962615370750427,639.7373657226562,576.8540649414062,0.06528069078922272,587.3560791015625,593.0850830078125,0.027983414009213448,678.5496215820312,578.7468872070312,0.9962161183357239,255.5773162841797,571.3839111328125,0.021341536194086075,629.1259765625,565.021728515625,0.027557628229260445,690.0731811523438,568.1775512695312,0.012122053653001785,635.20458984375,574.2056274414062,0.01294243335723877
4,306.6622009277344,485.390625,0.9993507266044617,253.5682830810547,570.3951416015625,0.01982688158750534,255.4113006591797,569.686279296875,0.985195517539978,644.0555419921875,577.693359375,0.9968410730361938,584.7598876953125,592.2918090820312,0.9967279434204102,639.7330932617188,576.8540649414062,0.05014553293585777,587.42724609375,593.0850830078125,0.022360974922776222,678.5496215820312,578.72265625,0.9945066571235657,255.67315673828125,571.5261840820312,0.02532242424786091,431.457275390625,562.3126220703125,0.03276299312710762,690.0526733398438,568.0695190429688,0.01107055228203535,635.2764282226562,574.24169921875,0.011377086862921715
5,306.6454162597656,485.2293395996094,0.999321699142456,253.5682830810547,570.3113403320312,0.01952080987393856,255.32737731933594,569.6537475585938,0.9892576336860657,644.3040161132812,577.6827392578125,0.9972692131996155,584.8001708984375,592.3564453125,0.996728777885437,639.7373657226562,576.847900390625,0.046961117535829544,587.4193725585938,593.146240234375,0.023033438250422478,678.583251953125,578.56591796875,0.9964247345924377,255.67315673828125,571.5261840820312,0.023150255903601646,431.457275390625,562.3126220703125,0.038041044026613235,690.0526733398438,567.776123046875,0.01569989137351513,635.20458984375,574.2242431640625,0.011685318313539028
6,306.2230529785156,485.1870422363281,0.9993599057197571,253.3363037109375,570.21533203125,0.018327875062823296,255.1829833984375,569.572265625,0.9874684810638428,644.4102783203125,577.62646484375,0.9969161748886108,584.7598876953125,592.3564453125,0.9959779381752014,639.9418334960938,576.7593383789062,0.06830110400915146,587.4193725585938,593.1842041015625,0.024992099031805992,678.8342895507812,578.56591796875,0.9961193799972534,682.0287475585938,579.30029296875,0.02213418297469616,431.457275390625,562.3126220703125,0.03774333745241165,690.0731811523438,561.7061157226562,0.013169142417609692,635.2039794921875,574.2242431640625,0.01267933938652277
7,305.9882507324219,485.0623474121094,0.9994025230407715,253.2804718017578,569.8201904296875,0.017015693709254265,254.7827911376953,569.4464111328125,0.991151750087738,644.4102783203125,577.6827392578125,0.9974654912948608,584.7597045898438,592.2844848632812,0.9962571859359741,639.9418334960938,576.7593383789062,0.05317064747214317,587.4193725585938,593.146240234375,0.02206975594162941,678.583251953125,578.56591796875,0.9953305721282959,682.1970825195312,579.3291015625,0.021865764632821083,632.5292358398438,564.55810546875,0.026997055858373642,699.0277709960938,561.192626953125,0.013192369602620602,635.1998291015625,574.2242431640625,0.011847486719489098
8,305.8957824707031,484.9579162597656,0.9994165897369385,253.09197998046875,569.7842407226562,0.015395034104585648,254.51083374023438,569.3781127929688,0.9919015765190125,644.4102783203125,577.7319946289062,0.9970198273658752,584.7597045898438,592.195556640625,0.9962655901908875,639.7155151367188,576.7593383789062,0.06942927092313766,587.4193725585938,593.0285034179688,0.019968464970588684,678.583251953125,578.56591796875,0.9951547384262085,682.1970825195312,579.5301513671875,0.019233310595154762,632.7202758789062,567.8853759765625,0.03130856901407242,699.0277709960938,561.7061157226562,0.01350543461740017,635.2039794921875,574.2242431640625,0.013500441797077656
9,305.6526794433594,484.8058776855469,0.9993976354598999,252.816162109375,569.7158813476562,0.014779823832213879,254.42636108398438,569.257080078125,0.9924882650375366,644.4903564453125,577.7319946289062,0.9974856376647949,584.7597045898438,592.2844848632812,0.9963160157203674,639.9418334960938,576.7593383789062,0.05704992264509201,587.4193725585938,593.1842041015625,0.025310581550002098,678.5626831054688,578.7977905273438,0.9950410723686218,682.1970825195312,579.5301513671875,0.019736487418413162,632.7202758789062,568.053955078125,0.029144037514925003,699.0277709960938,561.7061157226562,0.01243748888373375,635.1998291015625,574.2086791992188,0.012366465292870998
