scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,257.6080322265625,460.9500427246094,0.9993332028388977,681.475830078125,568.2279052734375,0.013076352886855602,182.64312744140625,535.6504516601562,0.9949570298194885,693.7911987304688,573.5262451171875,0.9983119964599609,643.5830078125,594.9177856445312,0.9959413409233093,690.0868530273438,574.7528076171875,0.12880003452301025,733.6296997070312,568.0311889648438,0.019013701006770134,731.0078735351562,568.2120361328125,0.996450662612915,732.3861694335938,566.1497802734375,0.05375570058822632,678.8447875976562,567.0252685546875,0.024927571415901184,748.5939331054688,548.6083984375,0.013117900118231773,683.2506713867188,573.6587524414062,0.017292411997914314
1,257.7298278808594,461.28887939453125,0.9994292855262756,681.475830078125,568.3052368164062,0.015334725379943848,182.69979858398438,536.150634765625,0.9942308664321899,693.8187866210938,574.079345703125,0.9979332685470581,643.8139038085938,594.9845581054688,0.9959470629692078,690.1392211914062,575.2134399414062,0.13610197603702545,733.6296997070312,568.0673217773438,0.02333899959921837,731.0078735351562,568.72705078125,0.9939655661582947,732.4358520507812,566.1889038085938,0.07000208646059036,678.8447875976562,567.0252685546875,0.025854567065835,748.5939331054688,549.2415771484375,0.03421490266919136,683.2506713867188,573.739501953125,0.01847851276397705
2,257.8004455566406,461.5207824707031,0.999420166015625,681.475830078125,568.3052368164062,0.013602410443127155,182.78721618652344,536.6187744140625,0.9939570426940918,694.3045654296875,574.079345703125,0.9979244470596313,643.9534301757812,594.9845581054688,0.9948199391365051,690.30029296875,575.2379150390625,0.14244209229946136,733.6296997070312,568.2025756835938,0.022302957251667976,731.0078735351562,568.72705078125,0.9950448274612427,732.4358520507812,566.2584838867188,0.07124441117048264,678.8447875976562,567.0252685546875,0.02207230217754841,748.5955810546875,549.2734985351562,0.017064495012164116,683.2506713867188,573.739501953125,0.017489241436123848
3,257.7298278808594,461.75701904296875,0.9995099306106567,681.7210693359375,568.3052368164062,0.012948672287166119,182.8275146484375,536.63916015625,0.9928741455078125,693.8577270507812,574.1600952148438,0.9974642992019653,644.2223510742188,595.0128173828125,0.9969007968902588,690.2758178710938,575.2379150390625,0.16173666715621948,733.5989379882812,568.2659301757812,0.02287224493920803,730.963623046875,568.8029174804688,0.9933173656463623,732.3861694335938,566.276123046875,0.062457337975502014,676.4281616210938,563.100830078125,0.022041399031877518,748.5955810546875,549.2734985351562,0.027821499854326248,683.18896484375,573.739501953125,0.015371843241155148
4,257.75384521484375,461.75701904296875,0.9994239807128906,681.451904296875,568.2279052734375,0.015011165291070938,182.8472900390625,536.7200927734375,0.9951980710029602,694.1202392578125,574.1600952148438,0.9978041052818298,644.0923461914062,594.9845581054688,0.9962289929389954,690.2758178710938,575.2379150390625,0.17899326980113983,733.5989379882812,568.2659301757812,0.022032130509614944,730.963623046875,568.72705078125,0.9963064193725586,732.3861694335938,566.2584838867188,0.06689487397670746,676.4168701171875,563.0270385742188,0.025051947683095932,748.7523803710938,549.2415771484375,0.02052566409111023,683.18896484375,573.739501953125,0.017210494726896286
5,257.8004455566406,461.75701904296875,0.999219536781311,681.451904296875,568.136474609375,0.012762978672981262,182.8472900390625,536.8280029296875,0.9928857684135437,694.1202392578125,574.1167602539062,0.9979308843612671,644.26806640625,595.1302490234375,0.9965724945068359,690.2758178710938,575.2379150390625,0.1390252411365509,733.5989379882812,568.2659301757812,0.020719977095723152,730.963623046875,568.8029174804688,0.9953576922416687,732.4358520507812,566.276123046875,0.06886304914951324,676.4168701171875,563.0270385742188,0.0258549265563488,748.9374389648438,548.9503173828125,0.0183087307959795,683.18896484375,573.7891845703125,0.01671597734093666
6,258.0453796386719,461.85516357421875,0.9993311166763306,681.63818359375,568.136474609375,0.016700085252523422,182.8275146484375,536.9149780273438,0.9924544095993042,693.9314575195312,574.0360717773438,0.99765944480896,644.26806640625,595.1302490234375,0.9956685304641724,690.2758178710938,575.0252075195312,0.14481031894683838,733.7215576171875,568.2659301757812,0.018367191776633263,730.83984375,568.624267578125,0.9961416125297546,732.3125,566.2584838867188,0.05858791992068291,676.4168701171875,563.100830078125,0.026510141789913177,749.1478271484375,548.8305053710938,0.024900857359170914,683.1937866210938,573.8321533203125,0.016680527478456497
7,258.0908508300781,461.9544677734375,0.9993236064910889,681.7634887695312,568.336669921875,0.016755981370806694,182.77235412597656,537.0730590820312,0.9914937019348145,693.9314575195312,574.0426025390625,0.9980047345161438,644.26806640625,595.1302490234375,0.9945090413093567,690.2758178710938,575.0252075195312,0.15788382291793823,733.7215576171875,568.2659301757812,0.021566247567534447,730.8712158203125,568.8029174804688,0.9955321550369263,732.3195190429688,566.276123046875,0.07401697337627411,679.103271484375,566.9418334960938,0.02867566980421543,749.1478271484375,545.785888671875,0.01778428815305233,683.1937866210938,573.8321533203125,0.020449934527277946
8,258.2528381347656,461.85516357421875,0.9989573955535889,681.63818359375,568.136474609375,0.014148103073239326,182.77235412597656,537.783447265625,0.9906108975410461,694.0677490234375,574.0360717773438,0.9977195858955383,644.5045166015625,595.20947265625,0.9956886172294617,690.3644409179688,575.018310546875,0.1387350708246231,733.7215576171875,568.2810668945312,0.01869015209376812,730.8720703125,568.780517578125,0.995514452457428,732.3195190429688,566.2918090820312,0.06394492089748383,679.103271484375,566.9457397460938,0.02593153901398182,748.9374389648438,548.8305053710938,0.02100481651723385,683.2202758789062,573.8321533203125,0.018517423421144485
9,258.3290710449219,461.85516357421875,0.9993720650672913,681.63818359375,568.4046020507812,0.014325552619993687,182.77235412597656,537.9440307617188,0.992347240447998,694.0677490234375,573.96484375,0.9973928928375244,644.5045166015625,595.20947265625,0.9959282279014587,690.4030151367188,574.9629516601562,0.16497959196567535,733.5531005859375,568.2911987304688,0.024420738220214844,730.8720703125,568.780517578125,0.9944532513618469,732.3195190429688,566.3296508789062,0.07102148979902267,679.103271484375,566.9457397460938,0.026267029345035553,748.7290649414062,548.9503173828125,0.041463106870651245,683.2202758789062,573.89453125,0.017841367051005363
