scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,178.04148864746094,446.02337646484375,0.9999115467071533,497.48529052734375,510.8694152832031,0.03824155405163765,132.0734405517578,527.8572387695312,0.9994805455207825,420.195556640625,506.0137023925781,0.021466288715600967,371.4317626953125,525.5551147460938,0.989846408367157,493.951416015625,508.5571594238281,0.010957586579024792,373.2437438964844,512.8744506835938,0.022251496091485023,441.1673583984375,513.0029296875,0.029407324269413948,495.5935363769531,511.6845703125,0.013844391331076622,500.6600036621094,502.2875061035156,0.37050923705101013,498.1235046386719,506.0632629394531,0.22549068927764893,493.8860168457031,507.03009033203125,0.013005191460251808
1,178.08645629882812,446.1977233886719,0.9998877048492432,497.6976013183594,511.15118408203125,0.040883347392082214,132.13975524902344,527.8572387695312,0.9995501637458801,467.7304992675781,510.3790588378906,0.03972422704100609,371.4317626953125,525.5551147460938,0.9897816181182861,494.02203369140625,508.6396179199219,0.01235169731080532,374.2306823730469,512.8744506835938,0.02865777350962162,441.61328125,513.2705688476562,0.03910721093416214,495.5935363769531,511.88885498046875,0.014873811975121498,500.7279968261719,502.4967956542969,0.2722216248512268,498.469482421875,506.40167236328125,0.19634124636650085,493.93951416015625,507.03900146484375,0.014803631231188774
2,178.089599609375,446.1977233886719,0.999900221824646,497.6976013183594,511.153076171875,0.03220682963728905,132.23028564453125,527.8572387695312,0.9994089603424072,467.7786865234375,511.0284729003906,0.04338851198554039,371.64373779296875,525.5654296875,0.988037109375,494.0343322753906,508.64923095703125,0.011752367950975895,492.3824462890625,512.8744506835938,0.019384289160370827,491.9142761230469,518.4356079101562,0.0928063616156578,495.5935363769531,511.88885498046875,0.013739780522882938,500.7279968261719,502.4967956542969,0.37917575240135193,498.469482421875,506.40167236328125,0.25853753089904785,493.93951416015625,507.03900146484375,0.012188717722892761
3,178.18528747558594,446.2069396972656,0.9998738765716553,497.5128173828125,511.153076171875,0.04068167507648468,132.13975524902344,527.8572387695312,0.9995193481445312,467.79058837890625,511.1784362792969,0.03129466250538826,371.64373779296875,525.5654296875,0.9853120446205139,494.02203369140625,508.64923095703125,0.010557240806519985,492.3824462890625,512.7081298828125,0.024635396897792816,491.9142761230469,518.3309936523438,0.038775090128183365,495.3359375,511.6845703125,0.01190046314150095,500.7279968261719,502.2875061035156,0.2477179616689682,498.34600830078125,506.26239013671875,0.22917179763317108,493.9039306640625,507.03900146484375,0.0122164785861969
4,178.2981719970703,446.2338562011719,0.9998917579650879,497.5128173828125,511.1905212402344,0.03806799277663231,132.13975524902344,527.8572387695312,0.9995189905166626,467.7786865234375,511.33447265625,0.034484006464481354,371.406982421875,525.38037109375,0.9836462736129761,494.02203369140625,508.64923095703125,0.012458092533051968,492.2828369140625,512.7081298828125,0.02542191557586193,492.11517333984375,518.4356079101562,0.04667569696903229,495.236083984375,511.8719482421875,0.015094629488885403,500.7320556640625,502.2875061035156,0.2452435940504074,498.34893798828125,506.26239013671875,0.2441646307706833,493.93951416015625,506.9192810058594,0.014430677518248558
5,178.2981719970703,446.21728515625,0.9998650550842285,497.5128173828125,511.22808837890625,0.04647168889641762,132.2152557373047,527.8067016601562,0.999308705329895,467.7786865234375,511.33447265625,0.03137081861495972,371.406982421875,525.38037109375,0.98371821641922,493.9476623535156,508.64923095703125,0.012731929309666157,492.3824462890625,512.7081298828125,0.02810819447040558,492.3580017089844,518.4356079101562,0.0433233268558979,495.18585205078125,511.8620300292969,0.01538134180009365,500.7332458496094,502.4774169921875,0.25488603115081787,498.34600830078125,506.38568115234375,0.23139312863349915,493.92633056640625,506.89532470703125,0.014834720641374588
6,178.2981719970703,446.2263488769531,0.9998881816864014,497.4737854003906,511.22808837890625,0.03932477533817291,132.2152557373047,527.81787109375,0.9993867874145508,467.79058837890625,511.33447265625,0.03093635104596615,371.406982421875,525.5151977539062,0.9830868244171143,493.9359130859375,508.64923095703125,0.011478975415229797,492.2828369140625,512.7081298828125,0.02736286073923111,492.40399169921875,518.4356079101562,0.04797352850437164,495.1603698730469,511.6773681640625,0.012950671836733818,500.7320556640625,502.4774169921875,0.23244203627109528,498.3118591308594,506.3441467285156,0.20853082835674286,493.92633056640625,506.89532470703125,0.013122265227138996
7,178.41505432128906,446.2471923828125,0.9998743534088135,497.4737854003906,511.4369812011719,0.045732565224170685,132.2152557373047,527.81787109375,0.9993689656257629,467.8883056640625,511.34002685546875,0.040277451276779175,371.2835693359375,525.5151977539062,0.9885099530220032,493.8771667480469,508.70721435546875,0.012446511536836624,492.2828369140625,512.6970825195312,0.027033351361751556,492.40399169921875,518.4019775390625,0.034385230392217636,495.1217346191406,511.8235778808594,0.014157703146338463,500.734619140625,502.68292236328125,0.31793567538261414,498.2451171875,506.38568115234375,0.25172317028045654,493.9455261230469,506.9017639160156,0.01423604879528284
8,178.41505432128906,446.2471923828125,0.999902606010437,497.45611572265625,511.4369812011719,0.03717629611492157,132.2152557373047,527.6901245117188,0.9994474053382874,468.0297546386719,511.33447265625,0.03806215152144432,371.2746276855469,525.5505981445312,0.9885469675064087,493.75079345703125,508.77923583984375,0.015200593508780003,492.2039794921875,512.6826171875,0.028720296919345856,492.43731689453125,518.6416625976562,0.024632401764392853,495.1217346191406,511.8235778808594,0.01615879125893116,500.734619140625,502.68292236328125,0.26455649733543396,498.2106018066406,506.38568115234375,0.23891261219978333,493.9682312011719,506.9017639160156,0.016910014674067497
9,178.42088317871094,446.305419921875,0.9998792409896851,497.45611572265625,511.3258972167969,0.04106631502509117,132.25863647460938,527.6901245117188,0.9994401335716248,468.06439208984375,511.34002685546875,0.03691728785634041,371.2835693359375,525.720947265625,0.9876082539558411,493.75079345703125,508.77923583984375,0.010930676013231277,492.4588317871094,512.5771484375,0.0331435352563858,492.40399169921875,518.4019775390625,0.04810625687241554,495.1217346191406,511.6773681640625,0.013036861084401608,500.57073974609375,502.4774169921875,0.2624884843826294,498.1771240234375,506.38568115234375,0.22882641851902008,493.9455261230469,506.85662841796875,0.0139496810734272
