scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,709.0009765625,425.0456237792969,0.34483399987220764,707.3167114257812,425.6615295410156,0.9974991679191589,762.6251220703125,495.2839050292969,0.951968789100647,301.8138732910156,498.472900390625,0.014540968462824821,290.0107116699219,46.474674224853516,0.12517456710338593,308.8645324707031,498.024169921875,0.9941850304603577,368.6568908691406,525.999267578125,0.9957621693611145,267.9551086425781,503.6394348144531,0.23779790103435516,272.1720886230469,502.1252136230469,0.9835763573646545,711.68896484375,414.6639099121094,0.029345795512199402,705.27294921875,417.1224670410156,0.014899357222020626,365.088134765625,524.9961547851562,0.010404916480183601
1,709.0332641601562,425.3075256347656,0.3213423788547516,707.3353271484375,425.67169189453125,0.9978367686271667,762.7896118164062,495.36651611328125,0.9695930480957031,301.8138732910156,499.80816650390625,0.013004988431930542,763.6807861328125,491.3228759765625,0.11335966736078262,308.8645324707031,498.0770568847656,0.9929531216621399,368.9697265625,526.2874755859375,0.9951076507568359,267.9551086425781,503.6394348144531,0.1501845419406891,272.1720886230469,502.1252136230469,0.9843387603759766,711.7588500976562,414.7525634765625,0.029145970940589905,710.1687622070312,417.1224670410156,0.017093367874622345,365.17462158203125,525.0133666992188,0.008738231845200062
2,709.0888671875,425.3075256347656,0.2637316882610321,707.4258422851562,425.7161865234375,0.9979938268661499,762.8116455078125,495.45013427734375,0.969928503036499,302.1699523925781,499.80816650390625,0.015907878056168556,764.20458984375,491.3228759765625,0.1286986619234085,309.26416015625,498.0770568847656,0.9937386512756348,369.0389099121094,526.41259765625,0.9965921640396118,268.491943359375,503.6394348144531,0.165727436542511,272.7577819824219,502.1884765625,0.9875766038894653,711.8926391601562,414.7525634765625,0.029137302190065384,710.4196166992188,417.1224670410156,0.016133302822709084,365.1761169433594,525.056396484375,0.009162680245935917
3,709.2012939453125,425.3903503417969,0.2622029483318329,707.4258422851562,425.901123046875,0.9981269240379333,762.8116455078125,495.45013427734375,0.962078332901001,302.4043884277344,499.4161376953125,0.02071841061115265,764.20458984375,491.3228759765625,0.12399858981370926,309.4043884277344,498.024169921875,0.9907214641571045,369.0389099121094,526.41259765625,0.9958652257919312,268.5525207519531,503.6107177734375,0.22544586658477783,272.7633361816406,502.1252136230469,0.9777719974517822,711.9096069335938,414.8648376464844,0.03065658174455166,710.4196166992188,417.1224670410156,0.016320189461112022,365.18048095703125,525.0444946289062,0.008931763470172882
4,709.2022094726562,425.4208068847656,0.2444128841161728,707.4984741210938,425.92242431640625,0.9982653260231018,762.7896118164062,495.36651611328125,0.9566689133644104,301.8138732910156,499.0316162109375,0.017995592206716537,764.1035766601562,491.3816833496094,0.11069265007972717,309.5840759277344,498.024169921875,0.9906522035598755,369.0389099121094,526.41259765625,0.9955201148986816,268.7993469238281,503.60516357421875,0.1964881718158722,272.7577819824219,502.0582580566406,0.9803009629249573,712.0307006835938,414.7525634765625,0.03397948667407036,710.4196166992188,417.0319519042969,0.018109358847141266,365.18756103515625,525.0133666992188,0.009631614200770855
5,709.3197631835938,425.4208068847656,0.27336132526397705,707.5679321289062,426.0001220703125,0.997901439666748,762.7896118164062,495.45013427734375,0.947218120098114,301.72930908203125,499.0316162109375,0.013659571297466755,764.1035766601562,491.68646240234375,0.149805948138237,309.5840759277344,497.9805603027344,0.9934244155883789,368.9697265625,526.41259765625,0.9956389665603638,268.5525207519531,503.5207214355469,0.1450580358505249,272.571044921875,501.7785949707031,0.9871020913124084,712.0472412109375,414.7525634765625,0.029098371043801308,710.4196166992188,417.0319519042969,0.015040256083011627,365.1906433105469,525.0444946289062,0.009994382970035076
6,709.3197631835938,425.607421875,0.2782314419746399,707.5679321289062,426.0313415527344,0.9979731440544128,762.7589721679688,495.45013427734375,0.9370877146720886,302.4043884277344,498.39617919921875,0.015920542180538177,764.083984375,491.68646240234375,0.14316339790821075,309.8846130371094,497.75286865234375,0.9931083917617798,368.805419921875,526.2493286132812,0.9960688352584839,268.5525207519531,503.5207214355469,0.17354778945446014,272.6618347167969,501.9278259277344,0.985020637512207,712.0472412109375,414.81488037109375,0.03115001693367958,710.4196166992188,417.0319519042969,0.015571334399282932,365.19586181640625,525.0626220703125,0.010561619885265827
7,709.4695434570312,425.6348876953125,0.3217085897922516,707.6007690429688,426.1357116699219,0.9979351758956909,762.7514038085938,495.3975524902344,0.9370878338813782,302.0934753417969,498.39617919921875,0.01684705540537834,763.8845825195312,491.7424011230469,0.12404535710811615,309.8846130371094,497.7778625488281,0.993372917175293,368.7423400878906,526.2493286132812,0.9958093166351318,268.4491271972656,503.53814697265625,0.1610640585422516,272.57769775390625,501.7785949707031,0.9856400489807129,712.157958984375,414.8718566894531,0.03523994982242584,710.45458984375,417.0360107421875,0.017467575147747993,365.2181396484375,525.0444946289062,0.010497785173356533
8,709.4695434570312,425.7235412597656,0.25827789306640625,707.6793212890625,426.17694091796875,0.9983845949172974,762.7589721679688,495.3975524902344,0.9231074452400208,301.8069152832031,498.39617919921875,0.012733038514852524,763.6384887695312,491.68646240234375,0.11299038678407669,309.99188232421875,497.7778625488281,0.9892127513885498,368.7423400878906,526.2493286132812,0.9958332777023315,268.4491271972656,503.51416015625,0.18076428771018982,272.571044921875,501.73211669921875,0.9871634244918823,712.3741455078125,414.8718566894531,0.03695923835039139,710.7493896484375,417.0319519042969,0.01975640468299389,365.3407287597656,525.0939331054688,0.009537063539028168
9,709.4695434570312,425.7235412597656,0.22077208757400513,707.6793212890625,426.17694091796875,0.9985818862915039,762.77783203125,495.7266845703125,0.8884057402610779,302.0934753417969,498.2147216796875,0.016045767813920975,290.3946533203125,46.76527786254883,0.17876063287258148,310.0337219238281,497.51434326171875,0.9898959398269653,368.68109130859375,526.1640625,0.995646059513092,268.40350341796875,503.41790771484375,0.1671859323978424,272.57769775390625,501.1885986328125,0.9888308644294739,712.4391479492188,414.9224853515625,0.033966731280088425,710.9155883789062,416.97265625,0.01949465647339821,365.3443298339844,525.1195678710938,0.009869169443845749
