scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,902.5862426757812,480.3785400390625,0.9913523197174072,848.8244018554688,485.0925598144531,0.9976358413696289,914.7696533203125,574.24072265625,0.9957770109176636,446.6979064941406,545.9351806640625,0.02477315627038479,846.912841796875,489.087890625,0.010528177954256535,452.0857849121094,548.639892578125,0.9899868369102478,526.0318603515625,563.6258544921875,0.9997244477272034,411.40887451171875,554.3133544921875,0.05908668786287308,417.34100341796875,551.0260009765625,0.9701164960861206,384.9702453613281,529.6218872070312,0.0333671011030674,920.335205078125,565.8897094726562,0.011269978247582912,859.5160522460938,490.958984375,0.004854083061218262
1,902.6687622070312,480.7384338378906,0.9912523627281189,849.02783203125,485.3376770019531,0.9980515241622925,914.7696533203125,574.623779296875,0.9953676462173462,447.2225036621094,546.2632446289062,0.019235940650105476,847.0684814453125,489.087890625,0.013093163259327412,452.86114501953125,548.639892578125,0.9920604228973389,526.0741577148438,563.7297973632812,0.9997027516365051,412.2541809082031,554.3497314453125,0.042781032621860504,418.1683349609375,551.1075439453125,0.9626113176345825,385.3391418457031,529.6480712890625,0.04069972783327103,920.40234375,565.9700317382812,0.010505574755370617,859.5552368164062,490.958984375,0.004763826262205839
2,902.8265380859375,480.750244140625,0.9905276298522949,849.02783203125,485.3376770019531,0.9985490441322327,914.7696533203125,574.778564453125,0.9949008226394653,447.2225036621094,546.4008178710938,0.0325167216360569,847.0684814453125,489.087890625,0.009849753230810165,452.86114501953125,548.639892578125,0.9916613101959229,526.0741577148438,563.7745361328125,0.9997403025627136,412.2541809082031,554.5750122070312,0.04845258593559265,418.1683349609375,551.237548828125,0.9603404998779297,385.3391418457031,529.6480712890625,0.03258921205997467,920.40234375,566.0714721679688,0.008687073364853859,859.5623779296875,490.958984375,0.004884617403149605
3,902.6687622070312,480.76934814453125,0.9916086792945862,848.9153442382812,485.18511962890625,0.9988221526145935,914.612548828125,574.778564453125,0.9966193437576294,446.8774108886719,546.4720458984375,0.020706677809357643,846.9891357421875,488.97930908203125,0.010506953112781048,452.2139587402344,548.4308471679688,0.991940438747406,526.0318603515625,563.7745361328125,0.9997010827064514,412.2541809082031,554.3497314453125,0.05076765641570091,418.1683349609375,551.1202392578125,0.958046019077301,385.44012451171875,529.6480712890625,0.02519828826189041,920.335205078125,566.32421875,0.013102217577397823,859.5783081054688,490.958984375,0.004340450745075941
4,902.8265380859375,480.76934814453125,0.9898345470428467,848.91162109375,485.0925598144531,0.9988755583763123,914.1876220703125,575.0903930664062,0.9957536458969116,446.8774108886719,546.4720458984375,0.02217988297343254,846.9624633789062,488.9398498535156,0.009967516176402569,452.2139587402344,548.4308471679688,0.9900908470153809,526.0741577148438,563.8504028320312,0.999733030796051,412.6781005859375,554.5750122070312,0.06700338423252106,418.1905517578125,551.237548828125,0.9513228535652161,385.4886474609375,529.6480712890625,0.0445343516767025,920.2236938476562,566.4457397460938,0.011682037264108658,859.5783081054688,490.90997314453125,0.004156847484409809
5,902.8265380859375,480.76934814453125,0.9925897121429443,848.91162109375,485.0672607421875,0.9991241097450256,913.9371948242188,575.1669921875,0.9962388277053833,446.8774108886719,546.5038452148438,0.022869117558002472,846.9765014648438,488.8919982910156,0.008262180723249912,452.2139587402344,548.4308471679688,0.9928856492042542,526.1328735351562,563.8504028320312,0.9997362494468689,412.6781005859375,554.5750122070312,0.05844919756054878,418.1905517578125,551.237548828125,0.9594165682792664,385.579345703125,529.6116333007812,0.037085264921188354,920.185791015625,566.6100463867188,0.011252861469984055,859.5783081054688,490.90997314453125,0.003916860092431307
6,902.4574584960938,480.78997802734375,0.9912101030349731,848.6757202148438,484.97601318359375,0.9990267753601074,913.5048217773438,575.2723388671875,0.9957696199417114,446.8774108886719,546.5038452148438,0.026239292696118355,846.9624633789062,488.8919982910156,0.009685471653938293,452.2139587402344,548.5287475585938,0.9911128878593445,526.043701171875,563.8504028320312,0.9997419714927673,412.19232177734375,554.164306640625,0.05964619293808937,418.0582580566406,551.1202392578125,0.9533503651618958,385.4886474609375,529.3905639648438,0.02868039719760418,919.9730834960938,566.7136840820312,0.010935496538877487,859.541259765625,490.9338684082031,0.0036015661899000406
7,902.44580078125,480.78997802734375,0.9894541501998901,848.6546020507812,484.7414245605469,0.9988407492637634,913.2402954101562,575.2723388671875,0.9959463477134705,446.9256896972656,546.5038452148438,0.020804842934012413,846.8847045898438,488.9344787597656,0.0103004714474082,452.7607421875,548.6099853515625,0.9889408946037292,526.1549072265625,563.8026123046875,0.9997536540031433,412.7392272949219,554.164306640625,0.0706637054681778,418.1905517578125,551.0390014648438,0.9494536519050598,385.4886474609375,529.3432006835938,0.03995867446064949,919.5538330078125,566.7136840820312,0.009840383194386959,859.5325317382812,490.9456481933594,0.004347929265350103
8,902.2761840820312,480.54644775390625,0.9885169267654419,848.5738525390625,484.72998046875,0.9989426732063293,912.7271728515625,575.2814331054688,0.9957199692726135,446.9507751464844,546.58935546875,0.024093417450785637,846.9391479492188,488.9344787597656,0.009346931241452694,452.88775634765625,548.6116943359375,0.991561233997345,526.1549072265625,563.6660766601562,0.9997729659080505,412.96014404296875,554.4008178710938,0.058908525854349136,418.6660461425781,551.0164794921875,0.9515644907951355,384.9385986328125,529.3905639648438,0.022371983155608177,919.4518432617188,566.6100463867188,0.01040957123041153,859.4740600585938,490.9456481933594,0.004383972380310297
9,902.2761840820312,480.4814147949219,0.984990656375885,848.5455932617188,484.72796630859375,0.9985505938529968,912.2769165039062,575.3510131835938,0.9949876070022583,446.9507751464844,546.5038452148438,0.02501933090388775,846.8634033203125,488.9344787597656,0.010885478928685188,452.88775634765625,548.6099853515625,0.9899488687515259,526.0983276367188,563.6660766601562,0.9997642636299133,412.96014404296875,554.4008178710938,0.05820578709244728,418.6041259765625,551.0164794921875,0.9571220278739929,384.9385986328125,529.3432006835938,0.029524900019168854,382.7058410644531,531.5037231445312,0.009768434800207615,859.4234619140625,490.9456481933594,0.004473577719181776
