scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,535.9535522460938,551.9130859375,0.010452314279973507,901.3971557617188,549.071044921875,0.1862797737121582,709.96435546875,592.5571899414062,0.12517718970775604,463.1974182128906,591.0993041992188,0.025613747537136078,716.2229614257812,560.2142944335938,0.01483624055981636,468.03131103515625,592.6885375976562,0.9688193798065186,541.0136108398438,607.0955200195312,0.997189462184906,435.0756530761719,602.4425048828125,0.05136866867542267,434.29888916015625,599.34130859375,0.9762826561927795,406.3334655761719,582.0663452148438,0.9696286916732788,404.1054992675781,582.2153930664062,0.13448894023895264,540.09716796875,605.1807250976562,0.005979474168270826
1,903.2222900390625,552.4464111328125,0.017130283638834953,901.6489868164062,549.1897583007812,0.2153758406639099,710.0176391601562,592.891357421875,0.030806908383965492,463.1974182128906,591.3109130859375,0.02815493941307068,716.3948364257812,560.495849609375,0.022569000720977783,468.0397644042969,592.7784423828125,0.9699963331222534,541.27587890625,607.0955200195312,0.9965890645980835,435.38848876953125,602.6235961914062,0.06478691101074219,434.61920166015625,599.828125,0.9811663031578064,406.4339904785156,582.4005126953125,0.9604413509368896,404.1378479003906,582.4981079101562,0.10404954105615616,540.1620483398438,605.2949829101562,0.005165248177945614
2,903.2222900390625,552.4464111328125,0.008547013625502586,901.6489868164062,549.37939453125,0.06271514296531677,710.208984375,592.891357421875,0.038032371550798416,463.1974182128906,591.3109130859375,0.026376627385616302,716.3948364257812,560.5181884765625,0.01655355654656887,468.0397644042969,592.798828125,0.972443163394928,541.2801513671875,607.1641845703125,0.9963839054107666,435.4286193847656,602.6235961914062,0.055224187672138214,434.67742919921875,599.828125,0.9787322878837585,406.6068115234375,582.4005126953125,0.9770330190658569,404.2422180175781,582.534423828125,0.12529703974723816,540.195068359375,605.2949829101562,0.0057552591897547245
3,902.7650146484375,552.4464111328125,0.02718186192214489,901.6534423828125,549.1897583007812,0.21764437854290009,710.0176391601562,592.6246337890625,0.0392562672495842,463.1974182128906,591.329833984375,0.026575542986392975,716.3948364257812,560.495849609375,0.011660058051347733,468.0397644042969,592.798828125,0.9770156145095825,541.2801513671875,607.1641845703125,0.9962188601493835,435.63055419921875,602.6707763671875,0.05538021773099899,434.67742919921875,599.8374633789062,0.9809533953666687,406.71087646484375,582.4005126953125,0.9606421589851379,404.2487487792969,582.534423828125,0.14339827001094818,540.2454833984375,605.2949829101562,0.004971928894519806
4,902.7650146484375,552.9812622070312,0.017255183309316635,901.6458740234375,549.37939453125,0.2925214469432831,710.0176391601562,592.5675659179688,0.05115451663732529,463.4991149902344,591.33349609375,0.025818156078457832,716.2229614257812,560.614013671875,0.012003368698060513,468.248046875,592.92236328125,0.9686075448989868,541.2801513671875,607.24462890625,0.9967734217643738,435.65704345703125,602.6707763671875,0.06497391313314438,434.8963317871094,599.8958129882812,0.9780253767967224,406.71087646484375,582.4005126953125,0.9647806882858276,404.2532958984375,582.7985229492188,0.10050094127655029,540.2454833984375,605.2286376953125,0.005859571974724531
5,903.2222900390625,552.9812622070312,0.00854824110865593,901.6458740234375,549.9681396484375,0.09780937433242798,710.208984375,592.6246337890625,0.054753463715314865,463.04925537109375,591.329833984375,0.025988232344388962,716.4507446289062,560.9441528320312,0.014773616567254066,468.0397644042969,592.92236328125,0.9742001891136169,541.2870483398438,607.24462890625,0.9969422221183777,435.63055419921875,602.6707763671875,0.04590333625674248,434.67742919921875,599.8374633789062,0.9788106679916382,406.7373962402344,582.4005126953125,0.9741909503936768,404.254150390625,582.8466796875,0.12520797550678253,540.195068359375,605.2286376953125,0.0058077117428183556
6,903.4734497070312,552.9812622070312,0.011182136833667755,901.2570190429688,549.3876342773438,0.07240869104862213,710.208984375,592.6246337890625,0.10286317765712738,463.04925537109375,591.1469116210938,0.026419753208756447,716.4507446289062,561.0176391601562,0.010291204787790775,468.0184326171875,592.92236328125,0.9657045602798462,541.386962890625,607.249755859375,0.9968535304069519,435.63055419921875,602.4637451171875,0.05991708114743233,434.67742919921875,599.6498413085938,0.9755950570106506,406.7373962402344,582.3201293945312,0.964249849319458,404.254150390625,582.8466796875,0.11238479614257812,540.195068359375,605.2271728515625,0.005869727581739426
7,903.4734497070312,553.2460327148438,0.010304433293640614,901.6458740234375,549.6934814453125,0.4993794560432434,918.9114990234375,603.8878173828125,0.1540888249874115,463.3863525390625,591.3300170898438,0.027360573410987854,716.5079345703125,560.9441528320312,0.01657923310995102,468.248046875,592.8347778320312,0.9768536686897278,541.4893188476562,607.2981567382812,0.9968906044960022,435.72705078125,602.4637451171875,0.04641276225447655,434.8963317871094,599.6498413085938,0.9787659049034119,406.6980285644531,582.3020629882812,0.9760640859603882,404.254150390625,582.8466796875,0.10947117209434509,540.1834716796875,605.2286376953125,0.005394776817411184
8,903.637939453125,552.9812622070312,0.0078061106614768505,901.4987182617188,550.2410278320312,0.2531675696372986,919.308349609375,603.8878173828125,0.08342164754867554,462.8223876953125,591.1255493164062,0.024158986285328865,716.7381591796875,561.0176391601562,0.020427672192454338,467.5660095214844,592.8347778320312,0.9696273803710938,541.5469360351562,607.249755859375,0.9965930581092834,435.3539733886719,602.4627685546875,0.05832569673657417,434.0919494628906,599.6043701171875,0.9816787838935852,406.6314697265625,582.3020629882812,0.9806155562400818,403.9888610839844,582.6489868164062,0.12796056270599365,540.1834716796875,605.2047729492188,0.0054318662732839584
9,903.4734497070312,553.2460327148438,0.006745950784534216,901.4987182617188,550.2410278320312,0.1287691742181778,919.3419799804688,604.60986328125,0.06807178258895874,462.8223876953125,591.1255493164062,0.024297911673784256,716.7381591796875,561.0176391601562,0.012936198152601719,467.5660095214844,592.8347778320312,0.9689803123474121,541.6832885742188,607.310546875,0.9970096349716187,435.3539733886719,602.4432983398438,0.04731357470154762,434.0919494628906,599.6043701171875,0.9760463833808899,406.5111083984375,582.3020629882812,0.9788515567779541,403.9888610839844,582.4906616210938,0.12262556701898575,540.1834716796875,605.2047729492188,0.004958853591233492
