scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,232.63760375976562,484.2923278808594,0.560181736946106,193.33816528320312,502.1524353027344,0.02554689347743988,193.9276123046875,538.9077758789062,0.9852107167243958,577.6063232421875,590.3931884765625,0.9953201413154602,512.6640014648438,600.7112426757812,0.9924099445343018,575.1704711914062,591.4608764648438,0.011676330119371414,512.062255859375,601.320556640625,0.008893444202840328,609.8861694335938,593.0086059570312,0.8731223940849304,625.498046875,589.6636352539062,0.028300082311034203,624.678466796875,575.7401123046875,0.038035206496715546,623.3262329101562,577.6646118164062,0.8487026691436768,571.4886474609375,589.803466796875,0.006529826670885086
1,232.67193603515625,484.4696960449219,0.5119240283966064,195.5620574951172,502.2845764160156,0.016056757420301437,194.05088806152344,538.9077758789062,0.9880407452583313,577.6183471679688,590.6226196289062,0.9948569536209106,513.0731201171875,600.7112426757812,0.9924765229225159,575.2206420898438,591.512939453125,0.01222358737140894,512.4000244140625,601.320556640625,0.008000291883945465,609.9115600585938,593.2425537109375,0.8669736385345459,625.498046875,589.6663208007812,0.025713782757520676,625.4653930664062,576.89794921875,0.04274590685963631,623.8222045898438,577.6646118164062,0.8344680070877075,571.541259765625,590.38134765625,0.005910136271268129
2,232.68373107910156,484.4696960449219,0.5502679347991943,196.4867706298828,537.002685546875,0.0286372322589159,194.05088806152344,539.038330078125,0.9877676367759705,577.6364135742188,590.6226196289062,0.9947606921195984,513.0784912109375,600.8031005859375,0.9930518865585327,575.2206420898438,591.512939453125,0.012477390468120575,512.5784301757812,601.320556640625,0.009349598549306393,609.9514770507812,593.2425537109375,0.8948652148246765,625.498046875,590.1060180664062,0.013929593376815319,625.4653930664062,576.9464721679688,0.020768331363797188,623.8222045898438,577.7863159179688,0.8108628988265991,571.6517333984375,590.38134765625,0.006032661534845829
3,232.68373107910156,484.2923278808594,0.7744066715240479,509.954833984375,600.4310913085938,0.017985226586461067,194.05088806152344,539.038330078125,0.9915181994438171,577.6364135742188,590.6226196289062,0.9947499632835388,513.1343994140625,600.7112426757812,0.99342280626297,575.2206420898438,591.49755859375,0.010946611873805523,512.654052734375,601.2546997070312,0.009377415291965008,610.0271606445312,593.264892578125,0.9199501872062683,625.37548828125,590.2835693359375,0.010614104568958282,625.4563598632812,576.9464721679688,0.012133176438510418,623.8222045898438,577.6646118164062,0.8157729506492615,571.541259765625,590.38134765625,0.005938681773841381
4,232.68373107910156,484.1813659667969,0.7192037105560303,510.0010986328125,600.583984375,0.016180776059627533,193.98873901367188,539.038330078125,0.9908503293991089,577.7066650390625,590.6226196289062,0.9956037998199463,513.1508178710938,600.62158203125,0.9930317401885986,575.2206420898438,591.49755859375,0.01228190865367651,512.6702880859375,601.2315063476562,0.009836958721280098,610.0271606445312,593.264892578125,0.8963797092437744,619.2849731445312,590.2835693359375,0.01981583796441555,625.487548828125,577.0043334960938,0.032928403466939926,623.8578491210938,577.6646118164062,0.8476088047027588,571.5747680664062,590.3787231445312,0.007806901354342699
5,232.39349365234375,484.1813659667969,0.38760480284690857,510.0010986328125,600.583984375,0.013999177142977715,193.8533935546875,539.038330078125,0.9869030714035034,577.8375854492188,590.5064697265625,0.9956274032592773,513.20947265625,600.6163940429688,0.9933784604072571,575.3063354492188,591.4951171875,0.012497324496507645,512.6702880859375,601.1679077148438,0.0077818348072469234,610.0460815429688,592.9707641601562,0.9321842789649963,619.2849731445312,590.1405029296875,0.012948215007781982,625.487548828125,577.049560546875,0.01953592337667942,623.8578491210938,577.8694458007812,0.7630821466445923,571.5747680664062,590.3787231445312,0.006107575260102749
6,232.21337890625,483.9313049316406,0.32465648651123047,510.0010986328125,600.4310913085938,0.015039727091789246,193.62562561035156,539.2974243164062,0.9899437427520752,577.8480224609375,590.4898681640625,0.9953441023826599,513.20947265625,600.62158203125,0.9933773875236511,575.3063354492188,591.4708251953125,0.010961256921291351,512.8790283203125,601.0429077148438,0.008667291142046452,610.0460815429688,592.9707641601562,0.9351586699485779,625.37548828125,590.1060180664062,0.01381148211658001,625.4563598632812,577.049560546875,0.014372644945979118,623.8834228515625,578.1660766601562,0.6910296082496643,571.5828857421875,590.306640625,0.005793191958218813
7,232.20053100585938,483.796142578125,0.5047571063041687,510.07904052734375,600.2984619140625,0.015448170714080334,193.46298217773438,539.3240966796875,0.990878164768219,578.0848999023438,590.4898681640625,0.9951150417327881,513.2478637695312,600.62158203125,0.9932756423950195,575.3184814453125,591.4481811523438,0.011916072107851505,512.8790283203125,601.0429077148438,0.007384913973510265,610.0193481445312,593.2769775390625,0.9131262898445129,625.3909912109375,590.1405029296875,0.013512334786355495,625.4957275390625,577.0838623046875,0.02534577250480652,623.8834228515625,578.1660766601562,0.7419158220291138,571.5828857421875,590.306640625,0.005442719906568527
8,231.96302795410156,483.796142578125,0.17881670594215393,510.13946533203125,600.2984619140625,0.014708200469613075,193.3912353515625,539.3240966796875,0.9920904636383057,577.8480224609375,590.484619140625,0.9941555261611938,513.4813232421875,600.67041015625,0.9932181239128113,575.3063354492188,591.4481811523438,0.011224491521716118,519.368408203125,601.0429077148438,0.006999392528086901,610.0193481445312,593.2769775390625,0.8149468302726746,625.8125610351562,589.8212890625,0.02120308205485344,625.4957275390625,577.0838623046875,0.04854752868413925,623.8839721679688,578.1660766601562,0.870056688785553,571.5843505859375,590.3787231445312,0.006545723415911198
9,231.94180297851562,484.0074462890625,0.3878725469112396,510.07904052734375,600.2522583007812,0.01615743525326252,193.357666015625,539.2974243164062,0.9912158250808716,577.8480224609375,590.4137573242188,0.9957408905029297,513.4813232421875,600.6939086914062,0.9945551156997681,575.0746459960938,591.4248657226562,0.012201573699712753,519.368408203125,601.0429077148438,0.008665787987411022,610.0193481445312,593.2808837890625,0.8788650035858154,625.8125610351562,589.958740234375,0.01610727049410343,625.1640014648438,577.0496826171875,0.041728705167770386,623.8834228515625,578.4178466796875,0.8549541234970093,571.6505737304688,590.3561401367188,0.006431157700717449
