scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,815.9075317382812,494.716796875,0.019937587901949883,816.261962890625,495.6163024902344,0.9950842261314392,872.4215698242188,580.8556518554688,0.994997501373291,558.593505859375,575.0125732421875,0.8220053315162659,596.2642822265625,576.737548828125,0.8288425803184509,448.1672668457031,577.449951171875,0.9939606189727783,469.1363220214844,598.3616333007812,0.4338454008102417,872.8271484375,586.3701782226562,0.020176131278276443,414.6996765136719,560.792236328125,0.9944962859153748,404.420654296875,544.2728271484375,0.22273509204387665,490.2694396972656,564.5985107421875,0.5766597390174866,877.94921875,587.6968383789062,0.005327156744897366
1,815.9197387695312,494.8008117675781,0.01741626486182213,816.2930908203125,495.61981201171875,0.9961673617362976,872.4761352539062,580.8556518554688,0.9934479594230652,558.7247924804688,575.1866455078125,0.8279842138290405,597.1204833984375,580.4307250976562,0.7493634223937988,448.2184753417969,577.449951171875,0.994333028793335,518.2884521484375,598.3616333007812,0.6077861189842224,872.830078125,586.3701782226562,0.021529873833060265,414.9020080566406,560.9306030273438,0.9947361350059509,404.4950256347656,544.4242553710938,0.194917231798172,490.30322265625,564.6167602539062,0.6226739287376404,877.9882202148438,587.70361328125,0.0042813438922166824
2,816.05810546875,494.8008117675781,0.020593363791704178,816.34765625,495.61981201171875,0.9949344992637634,873.7463989257812,581.2741088867188,0.9941600561141968,559.025146484375,575.1866455078125,0.8074212670326233,597.3660278320312,580.4307250976562,0.7715057134628296,448.2184753417969,577.5368041992188,0.9935489296913147,518.2884521484375,598.7174682617188,0.3188358545303345,872.830078125,586.3701782226562,0.02061590924859047,414.9061584472656,561.0676879882812,0.9943116903305054,404.5620422363281,544.4535522460938,0.29821112751960754,490.4492492675781,564.9815673828125,0.6600234508514404,878.0802612304688,587.70361328125,0.00485138688236475
3,816.0789794921875,494.764892578125,0.017771298065781593,816.4430541992188,495.6163024902344,0.9956175088882446,873.7463989257812,581.2741088867188,0.9937626719474792,559.1699829101562,575.2454833984375,0.7697852253913879,618.2957763671875,577.041015625,0.7610499858856201,448.1672668457031,577.449951171875,0.9932271838188171,518.2884521484375,598.7174682617188,0.5124512314796448,872.830078125,586.3450317382812,0.02196591906249523,414.9061584472656,561.1258544921875,0.9940688610076904,404.9774475097656,544.4242553710938,0.270199179649353,490.4492492675781,564.6661376953125,0.5170431733131409,878.0802612304688,587.71240234375,0.004889591597020626
4,816.0789794921875,494.764892578125,0.020044762641191483,816.4430541992188,495.61981201171875,0.9950022101402283,872.4931640625,581.0460205078125,0.9945934414863586,560.6573486328125,575.2454833984375,0.7433730363845825,618.2957763671875,577.041015625,0.8036452531814575,448.141357421875,577.4484252929688,0.9941776990890503,469.32818603515625,602.3938598632812,0.41347217559814453,872.8502197265625,586.3450317382812,0.021882189437747,415.0071716308594,561.1258544921875,0.9949992895126343,404.9774475097656,544.4242553710938,0.2688794732093811,490.4881286621094,565.0062866210938,0.7080626487731934,878.0711059570312,587.70361328125,0.004625272937119007
5,816.0789794921875,494.764892578125,0.021173493936657906,816.4430541992188,495.5164489746094,0.9954507946968079,873.640869140625,581.397216796875,0.9943557977676392,560.7471313476562,574.9608154296875,0.7939221262931824,618.2957763671875,577.0613403320312,0.7770423889160156,448.141357421875,577.29638671875,0.9941658973693848,469.32818603515625,602.3938598632812,0.4828590452671051,872.830078125,586.3450317382812,0.019861197099089622,415.0071716308594,561.2196044921875,0.9938020706176758,404.9774475097656,544.4535522460938,0.26362791657447815,490.4881286621094,565.0062866210938,0.6131654381752014,878.0784912109375,587.70361328125,0.005002670921385288
6,816.1381225585938,494.6480712890625,0.021085746586322784,816.4955444335938,495.4901428222656,0.9949973821640015,873.9003295898438,581.47802734375,0.9921162724494934,560.7471313476562,574.8814086914062,0.67083340883255,618.2957763671875,577.0613403320312,0.6443467736244202,448.141357421875,577.23681640625,0.9932696223258972,469.32818603515625,602.3938598632812,0.4291655421257019,872.6344604492188,586.3450317382812,0.022455943748354912,415.0071716308594,561.2196044921875,0.9948964715003967,404.82440185546875,544.4535522460938,0.3087170422077179,490.4715576171875,564.7134399414062,0.6270301938056946,878.0936279296875,587.7145385742188,0.004786161705851555
7,816.23291015625,494.6480712890625,0.01607345975935459,816.5726318359375,495.5164489746094,0.9959695339202881,873.640869140625,581.47802734375,0.9923428893089294,560.7471313476562,574.8814086914062,0.7123571038246155,618.1494750976562,577.1736450195312,0.7903972864151001,448.3522033691406,577.23681640625,0.9920516014099121,518.3890380859375,598.5001220703125,0.3633292317390442,872.6344604492188,586.3450317382812,0.0225970558822155,414.92791748046875,561.0054321289062,0.9937893748283386,404.82440185546875,544.5157470703125,0.354981392621994,490.4881286621094,564.7071533203125,0.6274926662445068,878.0784912109375,587.7366333007812,0.00406792713329196
8,816.271484375,494.57171630859375,0.017676742747426033,816.5726318359375,495.4812927246094,0.9959681034088135,873.5933837890625,581.47802734375,0.9925879836082458,560.81298828125,574.8814086914062,0.7559782266616821,597.024169921875,580.5526733398438,0.6858617067337036,448.3522033691406,577.29638671875,0.9924913048744202,469.35943603515625,602.43212890625,0.3317793309688568,872.6344604492188,586.2692260742188,0.020825335755944252,414.92791748046875,561.0054321289062,0.9941775798797607,404.8009033203125,544.79052734375,0.3288207948207855,490.51788330078125,564.7134399414062,0.7236849069595337,878.0784912109375,587.7145385742188,0.00357672362588346
9,816.3907470703125,494.57171630859375,0.016489442437887192,816.6980590820312,495.4053039550781,0.9963561296463013,873.5933837890625,581.47802734375,0.9922658801078796,560.81298828125,574.9126586914062,0.6194312572479248,596.83642578125,580.7874145507812,0.638860285282135,448.3522033691406,577.29638671875,0.9927043914794922,469.35943603515625,602.337158203125,0.4165870249271393,499.1048278808594,579.2355346679688,0.022993749007582664,414.90789794921875,561.1895141601562,0.9936374425888062,404.71539306640625,544.79052734375,0.2090691328048706,490.51788330078125,564.7134399414062,0.7603157162666321,878.0784912109375,587.7301025390625,0.00420391233637929
