scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,324.49365234375,459.3488464355469,0.9997891783714294,684.2288208007812,600.2853393554688,0.0060713523998856544,271.86883544921875,529.8858642578125,0.9985222220420837,688.187255859375,598.3084106445312,0.9982718229293823,602.7530517578125,608.8330688476562,0.9977756142616272,686.0181274414062,599.601318359375,0.03731929138302803,604.2325439453125,608.9634399414062,0.025193018838763237,728.433349609375,599.4405517578125,0.9983579516410828,278.3908386230469,536.3552856445312,0.035688601434230804,273.3201904296875,515.9830322265625,0.024556413292884827,747.8016967773438,580.3823852539062,0.08859685063362122,683.010498046875,591.5604248046875,0.011886946856975555
1,324.49365234375,459.3488464355469,0.9998219609260559,684.2288208007812,600.2853393554688,0.006064602639526129,271.86883544921875,529.8858642578125,0.9974526762962341,688.187255859375,598.4160766601562,0.9982091188430786,602.7588500976562,608.8330688476562,0.9980504512786865,686.0181274414062,599.7198486328125,0.03927052393555641,604.3507690429688,608.9775390625,0.022034084424376488,728.4885864257812,599.4405517578125,0.9985894560813904,278.6201171875,536.3552856445312,0.04296247288584709,273.3201904296875,515.9830322265625,0.017856070771813393,748.4639282226562,580.3823852539062,0.08182013034820557,683.06689453125,591.5604248046875,0.010681587271392345
2,324.52056884765625,459.3488464355469,0.9997854828834534,684.2288208007812,600.2853393554688,0.005868167150765657,271.86883544921875,529.8858642578125,0.9967557787895203,688.187255859375,598.518310546875,0.9982572197914124,602.7588500976562,608.8330688476562,0.9976340532302856,686.0181274414062,599.7198486328125,0.040328383445739746,604.3507690429688,608.9775390625,0.023050682619214058,728.4885864257812,599.4679565429688,0.9980091452598572,730.7067260742188,597.096435546875,0.04488086327910423,273.3201904296875,515.9830322265625,0.01895998790860176,750.4779052734375,580.41455078125,0.09999740868806839,683.1632080078125,591.5732421875,0.01018169429153204
3,324.6591796875,459.1213073730469,0.9997754693031311,684.3870239257812,600.3038330078125,0.005869516171514988,271.7752685546875,529.304931640625,0.9978066086769104,687.9595947265625,598.4160766601562,0.9978309273719788,602.7588500976562,608.8330688476562,0.9977025389671326,685.8384399414062,599.6702880859375,0.033912528306245804,604.318359375,608.9634399414062,0.02197667956352234,728.4885864257812,599.5069580078125,0.9982815980911255,278.6201171875,536.3552856445312,0.04672830179333687,273.3201904296875,515.6900634765625,0.02041248045861721,751.1528930664062,581.5811157226562,0.08660812675952911,684.059326171875,604.8709106445312,0.010197404772043228
4,324.59912109375,458.89599609375,0.9998030066490173,684.3518676757812,600.3038330078125,0.005917645990848541,271.59417724609375,528.9331665039062,0.9972109198570251,687.9595947265625,598.4700317382812,0.9976451992988586,603.0076904296875,608.8330688476562,0.9978011250495911,685.8296508789062,599.6702880859375,0.03558706119656563,604.318359375,608.903076171875,0.02217085286974907,728.4503784179688,599.5069580078125,0.9977511763572693,278.3908386230469,535.947998046875,0.03994777426123619,273.3201904296875,515.6900634765625,0.01761564239859581,751.1952514648438,582.68115234375,0.10543248802423477,684.059326171875,604.8709106445312,0.009522512555122375
5,324.7348327636719,458.5152282714844,0.9997411370277405,320.9392395019531,532.6058349609375,0.005774130579084158,271.534912109375,528.4544067382812,0.9970062375068665,687.9151611328125,598.4700317382812,0.99812251329422,603.0180053710938,608.78173828125,0.9981929659843445,685.8296508789062,599.6702880859375,0.037647925317287445,269.3287353515625,538.4224243164062,0.024206887930631638,728.4503784179688,599.5069580078125,0.9979305267333984,278.345458984375,535.4591064453125,0.04288596659898758,272.96533203125,515.4493408203125,0.015620257705450058,751.1952514648438,582.68115234375,0.12588420510292053,683.9981079101562,604.8594970703125,0.00988378468900919
6,324.7348327636719,458.5069885253906,0.9997513890266418,684.3518676757812,600.3038330078125,0.0057082935236394405,271.2625732421875,528.1952514648438,0.9963307976722717,687.7715454101562,598.4570922851562,0.9977353811264038,603.0076904296875,608.77099609375,0.9981219172477722,685.8296508789062,599.6702880859375,0.035059474408626556,269.3287353515625,538.4224243164062,0.020763685926795006,728.3062133789062,599.666748046875,0.9978302121162415,278.3214416503906,535.4201049804688,0.04776766896247864,273.4673156738281,515.4493408203125,0.016004053875803947,751.2632446289062,582.7564697265625,0.05143222212791443,684.059326171875,604.8709106445312,0.009829609654843807
7,324.8558044433594,458.1199951171875,0.9997453093528748,684.3518676757812,600.3038330078125,0.006149479188024998,271.22064208984375,527.63720703125,0.9963531494140625,687.7438354492188,598.4570922851562,0.9976905584335327,603.0076904296875,608.77099609375,0.9976662397384644,685.8384399414062,599.7097778320312,0.03540903702378273,269.3287353515625,538.2714233398438,0.022819308564066887,728.4503784179688,599.89013671875,0.9976660013198853,275.045166015625,534.1215209960938,0.036052972078323364,671.0245971679688,586.0926513671875,0.019198473542928696,751.5213012695312,582.7564697265625,0.20561470091342926,684.0272216796875,604.9506225585938,0.009929933585226536
8,324.8558044433594,458.1199951171875,0.9997190833091736,269.1791687011719,526.2319946289062,0.006031034979969263,271.22064208984375,527.2923583984375,0.9969224333763123,687.7438354492188,598.4570922851562,0.9975080490112305,603.0180053710938,608.77099609375,0.9978675842285156,685.8296508789062,599.7097778320312,0.0387391597032547,269.3287353515625,538.153564453125,0.021255549043416977,728.2734375,600.0038452148438,0.9975563287734985,274.9925231933594,533.885986328125,0.03870530426502228,671.2913818359375,586.181640625,0.016923153772950172,751.2632446289062,582.9373779296875,0.16926318407058716,683.9981079101562,604.8594970703125,0.010407881811261177
9,324.86553955078125,458.0931091308594,0.9996455907821655,269.0389404296875,526.1221923828125,0.006090338807553053,271.22064208984375,527.260498046875,0.9967071413993835,687.7438354492188,598.4570922851562,0.9977276921272278,602.894775390625,608.77099609375,0.9980097413063049,685.8732299804688,599.7151489257812,0.035936176776885986,269.32464599609375,538.153564453125,0.024615319445729256,728.2734375,600.0038452148438,0.9976068735122681,274.93829345703125,533.8818969726562,0.04446031153202057,671.2283935546875,586.181640625,0.01703692227602005,751.2053833007812,582.99951171875,0.07137250155210495,684.0272216796875,604.9506225585938,0.009688101708889008
