scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,244.52365112304688,461.83074951171875,0.999768078327179,241.71885681152344,462.39453125,0.04016861319541931,195.14796447753906,547.0093383789062,0.9996898174285889,614.0181274414062,536.6365356445312,0.9957398176193237,552.2438354492188,552.2688598632812,0.9906815886497498,611.529296875,539.8567504882812,0.041307613253593445,555.5089721679688,554.529052734375,0.044864289462566376,656.8311157226562,542.5556640625,0.9923446774482727,203.47166442871094,553.6771850585938,0.0671629086136818,239.19174194335938,457.7928466796875,0.019817432388663292,681.1864624023438,522.9566040039062,0.020109577104449272,619.7391967773438,540.1307373046875,0.009873742237687111
1,244.52365112304688,461.896484375,0.999819815158844,241.71885681152344,462.58087158203125,0.034997060894966125,195.14796447753906,547.0294799804688,0.9997180104255676,614.5321655273438,537.2431030273438,0.9958618879318237,552.3607788085938,552.4661254882812,0.9900922179222107,611.9224853515625,539.8567504882812,0.03809341415762901,555.568359375,554.685302734375,0.05681878328323364,656.9673461914062,542.6107177734375,0.9904667735099792,203.48802185058594,553.719970703125,0.060020677745342255,239.4716033935547,457.9364013671875,0.019102469086647034,681.599609375,522.9713134765625,0.018309054896235466,619.8363647460938,540.1307373046875,0.009761707857251167
2,244.52365112304688,462.1025695800781,0.9998181462287903,241.71885681152344,462.58087158203125,0.03589087352156639,195.27035522460938,547.0677490234375,0.9996827840805054,615.2384643554688,537.2431030273438,0.995542585849762,552.4082641601562,552.4661254882812,0.9898512363433838,612.0408935546875,539.9905395507812,0.03408932685852051,555.568359375,554.685302734375,0.04085119068622589,656.9673461914062,542.6107177734375,0.9905198812484741,203.59136962890625,553.729248046875,0.05456390604376793,239.55038452148438,458.07781982421875,0.01984090730547905,681.599609375,522.9713134765625,0.02307244949042797,619.8363647460938,540.1307373046875,0.00891850795596838
3,244.44265747070312,462.1125793457031,0.9998186230659485,241.60174560546875,462.6312255859375,0.03456444665789604,195.27035522460938,547.0677490234375,0.9997029900550842,615.2384643554688,537.1293334960938,0.9958873391151428,552.4082641601562,552.44775390625,0.990868330001831,612.0408935546875,540.3675537109375,0.04651493579149246,555.5941772460938,554.6148071289062,0.041043054312467575,656.8311157226562,542.5556640625,0.9919822812080383,203.52999877929688,553.7410278320312,0.060550786554813385,599.0442504882812,530.4465942382812,0.020225193351507187,681.5277709960938,522.9728393554688,0.029500814154744148,619.8020629882812,540.1307373046875,0.009227617643773556
4,244.40228271484375,462.1605224609375,0.9998393058776855,241.51271057128906,462.64508056640625,0.029385583475232124,195.46388244628906,547.3995971679688,0.9996716976165771,614.9285278320312,537.1293334960938,0.9955131411552429,552.3607788085938,552.44775390625,0.9903712868690491,611.9991455078125,539.9905395507812,0.04443550109863281,555.6232299804688,554.6148071289062,0.046095483005046844,656.8311157226562,542.5556640625,0.9912015199661255,203.48802185058594,553.9899291992188,0.054766565561294556,599.0442504882812,530.4465942382812,0.021575437858700752,681.3148803710938,523.0125732421875,0.024671800434589386,619.8363647460938,540.1307373046875,0.00937667116522789
5,244.17503356933594,462.1605224609375,0.9998326301574707,241.39794921875,462.6435852050781,0.03343994542956352,195.28489685058594,547.3995971679688,0.9997422099113464,614.9285278320312,537.1293334960938,0.9963904023170471,552.4082641601562,552.3667602539062,0.9899513125419617,611.9991455078125,539.9193115234375,0.046032413840293884,555.648193359375,554.6148071289062,0.05470145866274834,656.9532470703125,542.623291015625,0.990403413772583,203.48802185058594,553.9899291992188,0.06362892687320709,599.0442504882812,530.4465942382812,0.022335685789585114,681.5277709960938,523.0873413085938,0.013994010165333748,619.841796875,540.1353759765625,0.009483598172664642
6,244.14976501464844,462.2060546875,0.9997919201850891,241.3117218017578,462.65966796875,0.029805127531290054,195.28489685058594,547.346435546875,0.9995924830436707,615.0846557617188,536.9296875,0.9964209794998169,553.1448364257812,552.2841186523438,0.9905235171318054,612.0078125,540.3675537109375,0.037975016981363297,555.7548217773438,554.6036987304688,0.04998839646577835,656.9532470703125,542.6846313476562,0.9925601482391357,203.4431915283203,553.8303833007812,0.06085977703332901,599.0982055664062,530.4202270507812,0.017320601269602776,681.5277709960938,523.0873413085938,0.02921145036816597,619.841796875,540.1510620117188,0.009948279708623886
7,244.14976501464844,462.3146667480469,0.9997896552085876,241.29833984375,462.7497863769531,0.03787295147776604,195.26791381835938,547.346435546875,0.9996296167373657,615.0846557617188,536.9296875,0.9954022169113159,552.3546142578125,552.3667602539062,0.9908417463302612,612.0078125,540.3765258789062,0.032852139323949814,555.7548217773438,554.6148071289062,0.07120071351528168,657.2371826171875,542.6846313476562,0.9920415282249451,203.40342712402344,553.8303833007812,0.037773024290800095,239.0350341796875,458.2131042480469,0.019832173362374306,681.6552124023438,523.1123046875,0.019215602427721024,619.8421630859375,540.1510620117188,0.00930878147482872
8,244.14976501464844,462.37060546875,0.9997995495796204,241.1956787109375,462.7497863769531,0.033221349120140076,195.28489685058594,547.5557250976562,0.999656081199646,615.1284790039062,536.865234375,0.9953611493110657,552.4373779296875,552.3667602539062,0.9903821349143982,612.0078125,540.242919921875,0.047013673931360245,555.7548217773438,554.6900634765625,0.07471205294132233,657.4274291992188,542.7945556640625,0.9928932785987854,203.40342712402344,554.329345703125,0.045663751661777496,238.90866088867188,458.1371154785156,0.020185403525829315,681.6552124023438,523.1123046875,0.03588247671723366,619.8601684570312,540.1831665039062,0.0104203587397933
9,244.0727081298828,462.4943542480469,0.9998310804367065,241.00791931152344,462.8103332519531,0.0324699841439724,195.23658752441406,547.5557250976562,0.999667763710022,615.1284790039062,536.865234375,0.9954288005828857,553.3045043945312,552.3667602539062,0.9882458448410034,612.0078125,540.242919921875,0.034036263823509216,555.7725830078125,554.6900634765625,0.04930177703499794,657.4274291992188,542.8038330078125,0.9911201596260071,203.35189819335938,554.1674194335938,0.047343671321868896,239.0350341796875,458.2131042480469,0.0185101181268692,681.6552124023438,523.1431884765625,0.021542957052588463,619.8807983398438,540.1831665039062,0.00842214748263359
