scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,847.1774291992188,560.0328979492188,0.029977064579725266,847.8823852539062,561.5305786132812,0.9995313882827759,886.1884155273438,645.2548828125,0.9994271993637085,330.9387512207031,679.4347534179688,0.011260141618549824,494.3468933105469,657.8699340820312,0.038476575165987015,335.3042907714844,677.293212890625,0.9987260699272156,409.0839538574219,697.945556640625,0.9962910413742065,302.7936096191406,680.066162109375,0.03481398522853851,304.2749328613281,675.97802734375,0.9958003163337708,285.8036193847656,656.5664672851562,0.6563523411750793,286.69610595703125,563.7405395507812,0.00725868484005332,301.034912109375,651.5174560546875,0.005300062242895365
1,847.2937622070312,560.1422119140625,0.027333347126841545,848.0933227539062,561.5305786132812,0.999626874923706,886.3015747070312,645.3236083984375,0.9993498921394348,330.9759521484375,679.5379638671875,0.013429630547761917,494.58673095703125,658.0521240234375,0.12510472536087036,335.7831115722656,677.4816284179688,0.9985917210578918,409.2449951171875,697.9487915039062,0.9974333643913269,302.87890625,680.3043823242188,0.039199866354465485,304.5303955078125,676.1150512695312,0.996292233467102,285.8705139160156,656.7567749023438,0.6440805196762085,843.7611083984375,632.8070068359375,0.006020921748131514,893.3944702148438,651.5264892578125,0.005219392478466034
2,847.3885498046875,560.1422119140625,0.029444530606269836,848.1859741210938,561.595703125,0.9995549321174622,886.3015747070312,645.3496704101562,0.9993805885314941,330.9759521484375,679.5379638671875,0.011856058612465858,494.6871643066406,658.0521240234375,0.1902426779270172,335.7831115722656,677.4816284179688,0.9989051818847656,409.30767822265625,697.9487915039062,0.9976342916488647,303.15167236328125,680.3735961914062,0.04236603155732155,304.7655944824219,676.2633666992188,0.9964470267295837,285.90423583984375,656.7567749023438,0.5980281829833984,843.7611083984375,632.8070068359375,0.005917228292673826,893.415283203125,651.5654907226562,0.0052599539048969746
3,847.9588012695312,560.1422119140625,0.025099536404013634,848.1898193359375,561.5305786132812,0.9996030926704407,886.3015747070312,645.3236083984375,0.9993419051170349,330.9759521484375,679.453125,0.01347743347287178,494.6871643066406,657.8699340820312,0.11053489148616791,335.7585144042969,677.4235229492188,0.9986050724983215,409.30767822265625,697.9487915039062,0.997723400592804,303.15167236328125,680.3735961914062,0.04110722988843918,304.7655944824219,676.2088623046875,0.9964094758033752,286.06573486328125,656.7567749023438,0.6280412673950195,843.95849609375,563.8583374023438,0.006045989226549864,893.4368286132812,651.580810546875,0.00546835083514452
4,848.3182983398438,560.1422119140625,0.03332305699586868,848.3615112304688,561.5208740234375,0.9995577931404114,886.3015747070312,645.3703002929688,0.9993162155151367,330.9387512207031,679.4347534179688,0.012223822996020317,494.58673095703125,657.8683471679688,0.09945368766784668,335.46636962890625,677.3735961914062,0.9987303614616394,409.521728515625,697.945556640625,0.9975970387458801,303.1083068847656,680.4137573242188,0.03996817767620087,304.7655944824219,676.2088623046875,0.99625164270401,286.0676574707031,656.7567749023438,0.583918571472168,843.7611083984375,563.8583374023438,0.006615518592298031,893.415283203125,651.5826416015625,0.005280221812427044
5,848.3182983398438,560.1422119140625,0.02926923893392086,848.3615112304688,561.4549560546875,0.9995951056480408,886.2276000976562,645.3999633789062,0.9992613196372986,330.9999084472656,679.453125,0.012281856499612331,494.58673095703125,657.8683471679688,0.08566220849752426,335.7585144042969,677.3890380859375,0.9985467791557312,409.6571350097656,697.9487915039062,0.9982267022132874,303.1952819824219,680.5286865234375,0.03355928137898445,304.8972473144531,676.3468627929688,0.994937539100647,286.1229248046875,656.7775268554688,0.5714588761329651,843.95849609375,632.8153686523438,0.006676940247416496,893.4671630859375,651.580810546875,0.005254365503787994
6,848.0723876953125,560.1390991210938,0.027590712532401085,848.3294067382812,561.4608154296875,0.9996631145477295,886.1250610351562,645.5858764648438,0.9993985891342163,330.9999084472656,679.4336547851562,0.013196597807109356,494.6871643066406,657.8683471679688,0.07331531494855881,335.7585144042969,677.3735961914062,0.9985619187355042,409.6571350097656,697.8954467773438,0.9978179931640625,303.3194274902344,680.5286865234375,0.0417361781001091,305.208984375,676.3468627929688,0.9944000840187073,286.5545959472656,656.872314453125,0.6001369953155518,843.95849609375,632.8973388671875,0.005985933355987072,893.4671630859375,651.5654907226562,0.005440652370452881
7,848.403076171875,560.1390991210938,0.0251077339053154,848.4437866210938,561.4549560546875,0.9996335506439209,886.2276000976562,645.6217651367188,0.9994427561759949,331.0210266113281,679.4336547851562,0.01165734976530075,494.7016296386719,657.8890991210938,0.022686896845698357,335.7585144042969,677.3890380859375,0.9985896944999695,409.6571350097656,698.32568359375,0.9981246590614319,303.4224853515625,680.5286865234375,0.0442708283662796,305.208984375,676.4937133789062,0.9959956407546997,286.5545959472656,656.9154052734375,0.6018901467323303,889.19384765625,632.9566650390625,0.007129947189241648,893.49755859375,651.53857421875,0.005728806834667921
8,848.5485229492188,559.94482421875,0.02579246647655964,848.3734130859375,561.223388671875,0.9996122717857361,886.2276000976562,645.6217651367188,0.9993958473205566,331.1216125488281,679.5010986328125,0.012882828712463379,494.67474365234375,658.0009765625,0.04415677860379219,335.8104248046875,677.3890380859375,0.9985878467559814,409.55145263671875,698.0960083007812,0.9975214600563049,303.3194274902344,680.4868774414062,0.0375153049826622,304.96759033203125,676.4937133789062,0.9955130219459534,286.39947509765625,656.971435546875,0.5970993638038635,889.19384765625,632.9566650390625,0.00584550341591239,893.4671630859375,651.53857421875,0.005263455677777529
9,848.0723876953125,559.9215087890625,0.02952549234032631,848.3294067382812,561.223388671875,0.999565064907074,886.3003540039062,645.6217651367188,0.9994431138038635,331.1583251953125,679.5010986328125,0.013698242604732513,494.67474365234375,658.0009765625,0.02504914440214634,335.8251037597656,677.5474853515625,0.9985131621360779,409.55145263671875,698.32568359375,0.9979945421218872,303.3469543457031,680.4121704101562,0.037000320851802826,305.208984375,676.4541625976562,0.995682954788208,286.4983215332031,656.971435546875,0.5653775334358215,889.2474975585938,632.9566650390625,0.006889497395604849,893.4829711914062,651.53857421875,0.005097781307995319
