scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,339.25347900390625,595.3751220703125,0.999664306640625,336.4060363769531,594.1633911132812,0.06154616177082062,299.02142333984375,712.22509765625,0.9945282340049744,700.964111328125,681.7127075195312,0.9963969588279724,617.0634765625,701.3289184570312,0.9989773035049438,169.62612915039062,958.34228515625,0.31005963683128357,733.4224243164062,681.1590576171875,0.015314052812755108,733.5972900390625,686.6832275390625,0.9919963479042053,199.69529724121094,948.7119750976562,0.08568712323904037,768.7981567382812,659.1691284179688,0.25576213002204895,769.5112915039062,660.5403442382812,0.9951696991920471,700.1892700195312,684.744873046875,0.011517281644046307
1,339.3890686035156,595.3751220703125,0.9996527433395386,336.5566711425781,595.0217895507812,0.058753758668899536,299.2657470703125,712.3707275390625,0.9935835003852844,701.3257446289062,681.7339477539062,0.9970980882644653,617.0634765625,701.7035522460938,0.9989585876464844,169.68121337890625,958.34228515625,0.33238208293914795,733.845458984375,681.1590576171875,0.017661357298493385,734.7867431640625,686.6832275390625,0.9897498488426208,199.7224884033203,948.8237915039062,0.11119015514850616,768.7981567382812,660.0615234375,0.2640216648578644,769.5112915039062,660.5403442382812,0.9949576258659363,700.2059936523438,684.8181762695312,0.012256436981260777
2,339.3890686035156,595.4129028320312,0.999574601650238,336.5566711425781,595.3171997070312,0.08106587827205658,299.3795166015625,712.3771362304688,0.9939832091331482,701.3257446289062,681.7352905273438,0.9971485733985901,617.0703125,701.7466430664062,0.998961329460144,170.12496948242188,958.6092529296875,0.4784139096736908,733.845458984375,681.1861572265625,0.016056260094046593,734.7867431640625,687.1296997070312,0.9873284101486206,199.84490966796875,949.1949462890625,0.06149974837899208,768.8539428710938,660.0615234375,0.23792029917240143,769.6978149414062,660.5403442382812,0.995635449886322,700.2339477539062,684.8181762695312,0.010856945998966694
3,339.25347900390625,595.3751220703125,0.9995192289352417,336.468017578125,595.1532592773438,0.07538650184869766,299.4219055175781,712.3959350585938,0.993209183216095,700.964111328125,681.833251953125,0.9973809123039246,617.0634765625,701.7862548828125,0.9990584254264832,169.76792907714844,958.34228515625,0.43849778175354004,733.845458984375,681.1861572265625,0.019158635288476944,734.7867431640625,687.1296997070312,0.9894818067550659,200.38583374023438,949.1949462890625,0.09043531864881516,768.800048828125,660.0274047851562,0.17362621426582336,769.6978149414062,660.5403442382812,0.996469259262085,700.2339477539062,684.744873046875,0.012975484132766724
4,339.2538146972656,595.37353515625,0.9995064735412598,336.468017578125,595.2448120117188,0.06526409089565277,299.3795166015625,712.3959350585938,0.9942471981048584,700.964111328125,681.8696899414062,0.9972789883613586,616.8825073242188,701.7862548828125,0.999118983745575,169.76792907714844,958.67529296875,0.2881225347518921,733.7921142578125,681.1861572265625,0.017881525680422783,734.6820678710938,687.1633911132812,0.9916098713874817,200.669189453125,949.1949462890625,0.09180723130702972,768.800048828125,660.104736328125,0.2375110685825348,769.696533203125,660.5148315429688,0.9950726628303528,700.2343139648438,684.744873046875,0.010642766021192074
5,339.2538146972656,595.37353515625,0.9996008276939392,336.468017578125,595.2448120117188,0.05578271299600601,299.3795166015625,712.4255981445312,0.9943019151687622,701.2717895507812,681.833251953125,0.997093915939331,616.8825073242188,701.8234252929688,0.9991081357002258,169.803955078125,958.3404541015625,0.37763288617134094,733.7921142578125,681.2531127929688,0.017484253272414207,734.551025390625,687.240966796875,0.9903145432472229,200.81422424316406,949.1619262695312,0.09754544496536255,768.9171142578125,660.0274047851562,0.2228846251964569,769.696533203125,660.5148315429688,0.9947242140769958,700.2061767578125,684.8023681640625,0.010432161390781403
6,339.2320556640625,595.431640625,0.9995731711387634,336.39617919921875,595.2752075195312,0.057086579501628876,299.3795166015625,712.4255981445312,0.9941385984420776,701.2717895507812,681.833251953125,0.9974374771118164,617.0703125,701.8234252929688,0.9991046786308289,169.803955078125,958.3404541015625,0.37795060873031616,733.666259765625,681.2955322265625,0.0166331734508276,734.3197631835938,687.2945556640625,0.9903470873832703,200.669189453125,949.1619262695312,0.14909380674362183,768.9171142578125,660.0274047851562,0.20106670260429382,769.696533203125,660.6456909179688,0.9960298538208008,700.2139892578125,684.7759399414062,0.012072719633579254
7,339.2538146972656,595.37353515625,0.9996232986450195,336.468017578125,595.2448120117188,0.060643844306468964,299.4427185058594,712.3959350585938,0.9948087930679321,701.2742919921875,681.833251953125,0.9966957569122314,617.4142456054688,701.8234252929688,0.9990960359573364,169.803955078125,958.3404541015625,0.3597581386566162,733.666259765625,681.2955322265625,0.01702813245356083,734.3047485351562,687.5248413085938,0.9907320141792297,200.84124755859375,949.1058959960938,0.06113491207361221,768.800048828125,660.104736328125,0.25889289379119873,769.4450073242188,660.6919555664062,0.9956230521202087,700.2139892578125,684.7970581054688,0.011126402765512466
8,339.330078125,595.37353515625,0.999629020690918,336.49322509765625,595.2752075195312,0.06548906117677689,299.4427185058594,712.3106079101562,0.9945443868637085,701.2742919921875,682.1295776367188,0.9970642924308777,617.4142456054688,701.8234252929688,0.9989629983901978,169.803955078125,958.3404541015625,0.4352070093154907,733.666259765625,681.2584838867188,0.016277987509965897,734.135498046875,687.6172485351562,0.9888110160827637,200.84124755859375,948.8165893554688,0.09836741536855698,768.9171142578125,660.104736328125,0.27789896726608276,769.6395874023438,660.86279296875,0.9938122034072876,700.2139892578125,684.7970581054688,0.01106669008731842
9,339.42095947265625,595.3576049804688,0.9995784163475037,336.59893798828125,595.2752075195312,0.08078896999359131,299.4427185058594,712.3641357421875,0.9948492646217346,701.3606567382812,682.1168823242188,0.9972403049468994,617.760986328125,701.822021484375,0.9990628361701965,169.6432647705078,958.2390747070312,0.2799243628978729,733.5634155273438,681.2955322265625,0.015901384875178337,734.135498046875,687.6172485351562,0.9907275438308716,200.84124755859375,948.8165893554688,0.09507840871810913,768.9176635742188,660.1779174804688,0.24562054872512817,769.6395874023438,660.86279296875,0.9950114488601685,700.2139892578125,684.7970581054688,0.01225546095520258
