scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,204.54544067382812,587.036865234375,0.9949407577514648,642.1600341796875,674.6943969726562,0.020457854494452477,125.98554992675781,673.2928466796875,0.988396942615509,551.6041259765625,684.6533813476562,0.9803692698478699,480.7388916015625,697.6483764648438,0.9977856874465942,550.1528930664062,686.748291015625,0.03688109293580055,479.8393859863281,698.9735107421875,0.012979362159967422,609.2921752929688,695.2334594726562,0.990324854850769,605.49853515625,692.4725341796875,0.013894778676331043,644.2482299804688,671.34423828125,0.10474629700183868,643.323486328125,670.7334594726562,0.9956747889518738,556.4073486328125,685.3367309570312,0.006248169112950563
1,204.54544067382812,587.1988525390625,0.9943367838859558,642.1669921875,674.709716796875,0.018219325691461563,125.99991607666016,673.2928466796875,0.9880867004394531,551.8161010742188,684.724853515625,0.9800216555595398,480.7388916015625,697.6729736328125,0.9980646967887878,550.1814575195312,686.908447265625,0.05321987718343735,479.9888916015625,701.5527954101562,0.01308090053498745,609.9213256835938,695.3050537109375,0.9912841320037842,615.2061767578125,693.08935546875,0.015894409269094467,644.2682495117188,671.587890625,0.07486642152070999,643.34326171875,670.7334594726562,0.9955241680145264,556.4760131835938,685.3804321289062,0.007641508709639311
2,204.5872802734375,587.1988525390625,0.9942769408226013,642.3154296875,674.7242431640625,0.017469627782702446,126.26419830322266,673.2928466796875,0.9866031408309937,551.8167724609375,684.724853515625,0.9741102457046509,480.7388916015625,697.6864624023438,0.9976726174354553,550.1814575195312,686.9305419921875,0.04701355844736099,479.9888916015625,701.5527954101562,0.014368539676070213,610.13623046875,695.3050537109375,0.9921050071716309,615.322021484375,693.08935546875,0.015594976022839546,644.3917846679688,671.6026611328125,0.07986536622047424,643.392333984375,670.7334594726562,0.9956725835800171,556.5293579101562,685.3804321289062,0.006664011161774397
3,204.5872802734375,587.036865234375,0.9934496283531189,642.3154296875,674.709716796875,0.01874716766178608,126.64282989501953,673.1365356445312,0.9891905784606934,551.9409790039062,684.83984375,0.977946937084198,480.7225341796875,697.6864624023438,0.9977211356163025,550.2611694335938,686.9555053710938,0.03975024074316025,480.0371398925781,701.5803833007812,0.013468490913510323,610.152587890625,695.3050537109375,0.989952027797699,615.322021484375,693.2029418945312,0.014087991788983345,644.4010620117188,671.6026611328125,0.08133216202259064,643.4305419921875,670.7019653320312,0.9955291152000427,556.5379638671875,685.3729858398438,0.006569481920450926
4,204.69236755371094,586.9293823242188,0.9931716918945312,642.336669921875,674.709716796875,0.018368687480688095,126.64282989501953,673.0863037109375,0.9865814447402954,551.9614868164062,684.83984375,0.9807292819023132,480.7225341796875,697.6864624023438,0.9975728392601013,550.1814575195312,686.9555053710938,0.0329161137342453,479.9888916015625,701.5527954101562,0.014152159914374352,610.152587890625,695.2334594726562,0.9909493327140808,615.3424682617188,693.2029418945312,0.01725870370864868,644.406494140625,671.6365356445312,0.077248215675354,643.4305419921875,670.6105346679688,0.99516761302948,556.5484619140625,685.3729858398438,0.006562554743140936
5,204.73489379882812,586.9293823242188,0.9935811758041382,642.337646484375,674.666748046875,0.017826158553361893,126.64282989501953,673.0863037109375,0.9869176745414734,551.9614868164062,684.7335815429688,0.9796613454818726,480.7225341796875,697.6864624023438,0.9977620840072632,550.1814575195312,686.9305419921875,0.04360233247280121,479.9374694824219,701.53515625,0.01391682680696249,610.152587890625,695.3050537109375,0.987968921661377,615.30517578125,693.08935546875,0.013419362716376781,644.47314453125,671.6365356445312,0.07926739752292633,643.531494140625,670.5543823242188,0.9954164028167725,556.5484619140625,685.3729858398438,0.007239011116325855
6,204.857666015625,586.8047485351562,0.9933491349220276,642.337646484375,674.5411376953125,0.01714705489575863,126.5783462524414,673.0863037109375,0.9823325276374817,551.9409790039062,684.7335815429688,0.9783998131752014,480.75665283203125,697.653076171875,0.9976931214332581,550.12109375,686.8882446289062,0.03631718084216118,479.814208984375,699.0763549804688,0.013177783228456974,610.152587890625,695.3177490234375,0.992389976978302,615.30517578125,693.2117919921875,0.014851085841655731,644.509765625,671.4619140625,0.06699545681476593,643.59716796875,670.5503540039062,0.995517909526825,556.5484619140625,685.3729858398438,0.006503133103251457
7,204.89694213867188,586.7788696289062,0.9933485388755798,642.3533935546875,674.533203125,0.01777159795165062,126.5783462524414,673.057861328125,0.9849779605865479,552.09326171875,684.7755126953125,0.980385959148407,480.75665283203125,697.653076171875,0.9977980852127075,550.2611694335938,686.8882446289062,0.03967028111219406,479.80267333984375,699.0203247070312,0.013703849166631699,609.789306640625,695.6117553710938,0.989887535572052,615.2819213867188,693.2117919921875,0.013989834114909172,644.6324462890625,671.4292602539062,0.07863585650920868,643.59716796875,670.4464111328125,0.9956766963005066,556.54296875,685.4047241210938,0.00731836399063468
8,204.89694213867188,586.7788696289062,0.991746187210083,642.3533935546875,674.4910278320312,0.019359147176146507,126.5783462524414,673.057861328125,0.9846866726875305,552.09326171875,684.7755126953125,0.9835072755813599,480.75665283203125,697.6524047851562,0.9973766803741455,550.12109375,686.8882446289062,0.049105141311883926,479.728271484375,699.0203247070312,0.013522814027965069,609.5382690429688,695.6281127929688,0.9927682876586914,615.02001953125,693.2117919921875,0.0142599456012249,644.6324462890625,671.4063720703125,0.0817151591181755,643.59716796875,670.4442749023438,0.9960075616836548,556.6171875,685.4047241210938,0.007083950564265251
9,204.857666015625,586.8274536132812,0.9919358491897583,642.4091796875,674.4910278320312,0.01904173754155636,126.71304321289062,673.057861328125,0.9820468425750732,551.6765747070312,684.7755126953125,0.9815529584884644,480.61468505859375,697.65087890625,0.9974192380905151,550.4461059570312,686.8700561523438,0.04471379891037941,479.7545166015625,699.0009155273438,0.013348068110644817,609.4903564453125,695.6281127929688,0.9914736747741699,615.02001953125,693.3305053710938,0.015441657043993473,644.6324462890625,671.4063720703125,0.0855359137058258,643.59716796875,670.4442749023438,0.9961995482444763,556.63623046875,685.44189453125,0.007421470247209072
