scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,172.7332305908203,593.0029296875,0.9986550807952881,170.41578674316406,592.8736572265625,0.019116591662168503,108.5608901977539,680.7362060546875,0.9859600067138672,548.9203491210938,671.8460083007812,0.9828420281410217,469.6944580078125,691.3936157226562,0.9988271594047546,540.84228515625,670.2943725585938,0.01896318607032299,590.6323852539062,673.9396362304688,0.01769779436290264,588.2960205078125,679.2447509765625,0.997171938419342,587.5794677734375,678.085693359375,0.014837070368230343,623.082763671875,658.0756225585938,0.08096512407064438,623.2869873046875,658.452880859375,0.9973093271255493,619.7826538085938,652.8072509765625,0.007802912499755621
1,172.85357666015625,593.098388671875,0.9988144636154175,170.4182586669922,592.9765625,0.018504152074456215,108.56645965576172,680.8023071289062,0.9838789701461792,549.0021362304688,671.9606323242188,0.9808951020240784,469.6944580078125,691.5118408203125,0.9990911483764648,540.9989013671875,670.2943725585938,0.016456076875329018,590.6451416015625,673.9396362304688,0.01891077682375908,588.5297241210938,679.2447509765625,0.9967212080955505,587.5794677734375,678.085693359375,0.012448768131434917,623.082763671875,658.242431640625,0.07971269637346268,623.2869873046875,658.5856323242188,0.9963135123252869,619.841552734375,652.8173828125,0.0074476078152656555
2,172.85357666015625,593.1819458007812,0.9988601207733154,170.55784606933594,593.039794921875,0.015752524137496948,108.56645965576172,680.8071899414062,0.9849359393119812,549.084716796875,672.107177734375,0.9826645255088806,469.78448486328125,691.5118408203125,0.9990705847740173,541.1241455078125,670.2943725585938,0.021578993648290634,590.6451416015625,673.9396362304688,0.01820879802107811,588.8864135742188,679.2447509765625,0.9965110421180725,587.5794677734375,678.085693359375,0.014585601165890694,623.082763671875,658.4957275390625,0.08182227611541748,623.2869873046875,658.6820678710938,0.9971274733543396,619.841552734375,652.8554077148438,0.007740868721157312
3,172.85357666015625,593.098388671875,0.9987233281135559,170.55784606933594,593.0875854492188,0.016732672229409218,108.59471893310547,681.001708984375,0.986927330493927,549.2639770507812,672.107177734375,0.9782786965370178,469.7628479003906,691.4108276367188,0.9988915324211121,541.1801147460938,670.3519897460938,0.01143143605440855,590.6646118164062,673.890869140625,0.01711375266313553,589.0177612304688,679.2091064453125,0.9962179064750671,469.72430419921875,648.7930908203125,0.02663070149719715,623.082763671875,658.4957275390625,0.08943773061037064,623.1209106445312,658.6820678710938,0.9964422583580017,619.841552734375,652.8613891601562,0.008019774220883846
4,172.62513732910156,593.2001953125,0.998744010925293,170.4182586669922,593.0875854492188,0.017447978258132935,108.56645965576172,681.1527709960938,0.9860906600952148,549.644287109375,672.107177734375,0.9751617908477783,469.7628479003906,691.5419311523438,0.9989031553268433,541.8140258789062,670.3519897460938,0.012451095506548882,590.6646118164062,673.890869140625,0.01642395555973053,589.0177612304688,679.15478515625,0.9961722493171692,469.72430419921875,648.7930908203125,0.018835455179214478,624.0446166992188,658.306884765625,0.0843193307518959,623.107177734375,658.5856323242188,0.9956242442131042,619.8215942382812,652.8554077148438,0.008574996143579483
5,172.62513732910156,593.2001953125,0.9988247752189636,170.4182586669922,593.0875854492188,0.016021575778722763,108.59471893310547,681.2086791992188,0.983352780342102,549.644287109375,672.107177734375,0.9828615188598633,469.6297302246094,691.553466796875,0.9988549947738647,541.8140258789062,670.6220092773438,0.01375665608793497,590.5818481445312,673.890869140625,0.016500823199748993,589.0177612304688,679.15478515625,0.9974948167800903,467.745849609375,645.9705200195312,0.021175755187869072,622.9653930664062,658.4957275390625,0.06041254848241806,623.107177734375,658.7584838867188,0.9968895316123962,619.8215942382812,652.8554077148438,0.00685588363558054
6,172.62513732910156,593.1891479492188,0.99869304895401,170.39596557617188,593.0926513671875,0.01913216896355152,108.59471893310547,681.2228393554688,0.9834609031677246,549.084716796875,672.107177734375,0.9888283014297485,469.5832214355469,691.4108276367188,0.9990972280502319,541.8140258789062,670.6220092773438,0.019441943615674973,590.5818481445312,673.850830078125,0.018967155367136,588.8073120117188,679.15283203125,0.9973171353340149,467.745849609375,645.9705200195312,0.013685171492397785,622.8316040039062,658.5077514648438,0.07322538644075394,623.107177734375,658.838623046875,0.9962902069091797,619.8215942382812,652.8554077148438,0.008260492235422134
7,172.77589416503906,593.0930786132812,0.998865008354187,170.39596557617188,593.0926513671875,0.018080998212099075,108.80488586425781,681.7158813476562,0.9817811250686646,549.084716796875,672.0475463867188,0.9834702610969543,469.5832214355469,691.4108276367188,0.998925507068634,541.1801147460938,670.6220092773438,0.01618611440062523,590.8552856445312,673.850830078125,0.01846746727824211,588.8073120117188,679.0408935546875,0.9967570900917053,467.3858337402344,645.94580078125,0.014747773297131062,623.1192016601562,658.5357666015625,0.08965741842985153,623.1522827148438,658.6641235351562,0.9970101118087769,619.81787109375,652.868408203125,0.009216982871294022
8,172.8177490234375,593.1891479492188,0.9985881447792053,619.0977172851562,658.8235473632812,0.016218286007642746,108.80488586425781,682.2163696289062,0.9795809388160706,549.084716796875,671.8990478515625,0.9536432027816772,469.56414794921875,691.5170288085938,0.9986751675605774,540.6627807617188,670.6220092773438,0.012641550041735172,590.7319946289062,673.8356323242188,0.015363480895757675,588.643798828125,679.0408935546875,0.9964165687561035,467.745849609375,645.9705200195312,0.03288547322154045,623.1192016601562,658.5357666015625,0.08972533047199249,623.1906127929688,658.6775512695312,0.9963030815124512,619.81787109375,652.868408203125,0.00827181339263916
9,172.84881591796875,593.122314453125,0.9990583062171936,619.0977172851562,658.8692626953125,0.01406728383153677,108.82524871826172,682.261962890625,0.9834310412406921,549.01806640625,671.8990478515625,0.9642621278762817,469.5832214355469,691.4583740234375,0.9989950060844421,540.6627807617188,670.49853515625,0.014285323210060596,590.8552856445312,673.82958984375,0.014061102643609047,588.643798828125,679.3096313476562,0.9971253275871277,467.745849609375,645.9705200195312,0.01991623267531395,622.8316040039062,658.6898803710938,0.0647209957242012,623.1906127929688,658.838623046875,0.9969280362129211,619.81787109375,652.8709716796875,0.007034321315586567
