scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,829.2597045898438,491.62774658203125,0.9658842086791992,741.0205078125,487.9501953125,0.9938154220581055,802.6481323242188,594.9988403320312,0.9634116291999817,464.7635498046875,657.349365234375,0.06906796991825104,602.453857421875,685.0111694335938,0.22833916544914246,410.2634582519531,655.6372680664062,0.9937748908996582,492.6077880859375,680.1870727539062,0.9961326122283936,798.9413452148438,648.9697265625,0.2352389544248581,358.6243591308594,643.5631713867188,0.9973623156547546,340.12774658203125,622.4382934570312,0.19117401540279388,507.9626770019531,678.6102905273438,0.0350646935403347,747.0867309570312,475.50982666015625,0.006435547024011612
1,829.326416015625,491.7573547363281,0.9774770140647888,741.0205078125,487.9501953125,0.9928003549575806,804.8326416015625,594.9988403320312,0.9938756823539734,465.17596435546875,657.349365234375,0.06711998581886292,602.4736328125,685.8111572265625,0.2855819761753082,410.4161376953125,655.823974609375,0.994650661945343,492.6077880859375,680.3536376953125,0.9938477873802185,799.1510620117188,649.3621215820312,0.1991574466228485,359.10333251953125,643.7227783203125,0.9976733326911926,340.226318359375,622.4382934570312,0.12191763520240784,508.0811462402344,678.8973999023438,0.041496843099594116,747.2543334960938,475.50982666015625,0.00767181534320116
2,829.326416015625,492.0965576171875,0.9608398079872131,741.3556518554688,488.0212707519531,0.995390772819519,804.8326416015625,595.3201293945312,0.957088828086853,465.42169189453125,657.5728759765625,0.10959568619728088,602.4736328125,685.976318359375,0.3068966567516327,410.64410400390625,655.9852905273438,0.9946670532226562,492.6915588378906,680.5078125,0.9931539297103882,799.4326171875,650.1016235351562,0.20344650745391846,359.11224365234375,643.8973388671875,0.9970850348472595,340.6985778808594,622.4382934570312,0.2669326961040497,508.1591491699219,678.8973999023438,0.03940754383802414,747.2583618164062,475.535888671875,0.00736983260139823
3,829.326416015625,492.0965576171875,0.9786968231201172,741.0205078125,488.0956726074219,0.9947761297225952,805.4039306640625,595.3201293945312,0.9736042022705078,465.5228576660156,657.5728759765625,0.07112573832273483,602.4736328125,685.8111572265625,0.19149675965309143,410.4161376953125,655.9852905273438,0.9950788021087646,493.02777099609375,680.5448608398438,0.9950714111328125,799.1510620117188,650.4818725585938,0.25208646059036255,359.19085693359375,643.996826171875,0.9978233575820923,340.6985778808594,622.2451782226562,0.25280654430389404,508.8197326660156,678.8973999023438,0.03713525831699371,747.2583618164062,475.50982666015625,0.0064295558258891106
4,829.5017700195312,492.14678955078125,0.9751232266426086,740.9978637695312,488.0212707519531,0.9966852068901062,804.8326416015625,595.3201293945312,0.965901792049408,465.5228576660156,657.6644897460938,0.08929922431707382,602.453857421875,685.7889404296875,0.19436129927635193,410.4161376953125,655.9852905273438,0.995235025882721,493.11767578125,680.5448608398438,0.992116391658783,799.1121826171875,650.6362915039062,0.22367092967033386,359.3510437011719,644.2702026367188,0.997525155544281,340.6985778808594,622.2451782226562,0.22688013315200806,508.8197326660156,678.6110229492188,0.0314125195145607,747.3124389648438,475.50982666015625,0.00726791238412261
5,829.5044555664062,492.14678955078125,0.9654890298843384,740.9978637695312,488.0956726074219,0.9966866374015808,803.1650390625,595.3201293945312,0.9786503314971924,465.49346923828125,657.8119506835938,0.08508192002773285,602.6455688476562,685.7889404296875,0.40959447622299194,410.4161376953125,655.9852905273438,0.9942898750305176,493.02777099609375,680.6951904296875,0.9919227361679077,799.1510620117188,650.6362915039062,0.19683001935482025,359.3510437011719,643.996826171875,0.9965839385986328,340.6985778808594,622.2451782226562,0.27880990505218506,508.2387390136719,678.8973999023438,0.035918258130550385,747.3124389648438,475.535888671875,0.007017780561000109
6,829.5044555664062,492.0868835449219,0.9875353574752808,741.218994140625,488.1355285644531,0.9961720108985901,803.1650390625,595.47021484375,0.9771042466163635,465.49346923828125,657.8119506835938,0.07877488434314728,602.5032348632812,685.7889404296875,0.3317299485206604,410.4836120605469,655.9891967773438,0.9958922863006592,493.02777099609375,680.6951904296875,0.9900177121162415,799.5269165039062,650.6362915039062,0.1510588377714157,359.5409851074219,643.996826171875,0.9965943694114685,340.6996765136719,622.5633544921875,0.2139599472284317,508.71551513671875,679.112060546875,0.03634006157517433,747.3135986328125,475.55291748046875,0.007733031176030636
7,829.5044555664062,492.0868835449219,0.9422379732131958,740.9627075195312,488.0956726074219,0.9934872388839722,803.2124633789062,595.66162109375,0.9287821650505066,465.1231994628906,657.8119506835938,0.08459818363189697,602.6455688476562,685.7889404296875,0.26396873593330383,410.3770446777344,655.9688110351562,0.9949252605438232,492.7868957519531,680.6951904296875,0.9929053783416748,799.1121826171875,650.6362915039062,0.1218469962477684,359.5409851074219,643.8912353515625,0.99604731798172,340.6996765136719,622.5633544921875,0.22015991806983948,508.71551513671875,679.112060546875,0.037255458533763885,747.3135986328125,475.55291748046875,0.006470128893852234
8,829.4940185546875,492.0868835449219,0.9389986395835876,741.218994140625,488.0041198730469,0.9950136542320251,803.2124633789062,595.577880859375,0.9633541107177734,465.1231994628906,657.8778686523438,0.05781660974025726,602.5032348632812,685.8856201171875,0.2097170501947403,410.4836120605469,655.9891967773438,0.9952928423881531,492.7868957519531,681.0283813476562,0.9909635782241821,799.09326171875,650.5910034179688,0.14305444061756134,359.5894775390625,643.8912353515625,0.9963918328285217,340.7962646484375,623.0325927734375,0.22572341561317444,508.71551513671875,678.6110229492188,0.03478209301829338,747.336181640625,475.55291748046875,0.005981129594147205
9,829.4603271484375,492.031494140625,0.9748503565788269,741.218994140625,488.1708679199219,0.9962950348854065,803.4454956054688,595.71533203125,0.996936559677124,465.1231994628906,657.7943115234375,0.09671469032764435,602.6455688476562,685.8856201171875,0.3448415994644165,410.719482421875,656.1305541992188,0.9948810338973999,492.7868957519531,680.6951904296875,0.9907711744308472,799.04833984375,650.5910034179688,0.12481503933668137,359.8927917480469,643.8912353515625,0.997501790523529,340.8939514160156,622.930419921875,0.14545002579689026,508.8650207519531,679.1224975585938,0.031122026965022087,747.336181640625,475.4648742675781,0.0063285683281719685
