scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,860.0237426757812,303.94195556640625,0.1541607528924942,859.3411254882812,305.448486328125,0.9980276226997375,935.8048095703125,378.7840576171875,0.9982300400733948,514.548583984375,507.73980712890625,0.057905443012714386,937.5454711914062,377.6421813964844,0.02977035939693451,523.792724609375,511.10986328125,0.9501550197601318,599.6708374023438,524.748779296875,0.9989569187164307,478.7974853515625,520.6370849609375,0.4953777492046356,480.4872741699219,517.2923583984375,0.9724886417388916,456.7705993652344,505.07489013671875,0.9069141149520874,455.5231628417969,509.24383544921875,0.34239569306373596,941.3379516601562,378.3967590332031,0.0059155370108783245
1,860.0237426757812,303.94195556640625,0.1685120314359665,859.3411254882812,305.4562683105469,0.997526228427887,935.812255859375,379.4111328125,0.9983444213867188,516.3182983398438,508.09625244140625,0.07477232813835144,937.72314453125,377.8144226074219,0.028472505509853363,524.9970703125,511.5046691894531,0.9405295848846436,599.733154296875,524.7866821289062,0.9989068508148193,479.2156066894531,520.6370849609375,0.4919336438179016,481.1584167480469,517.2923583984375,0.9759884476661682,456.8763732910156,505.10137939453125,0.9173007607460022,455.5231628417969,509.2494201660156,0.29828527569770813,941.3379516601562,378.42779541015625,0.0054566580802202225
2,860.0973510742188,304.01617431640625,0.1637459248304367,859.3411254882812,305.4912414550781,0.9975691437721252,935.812255859375,379.4111328125,0.9981959462165833,516.4026489257812,508.09625244140625,0.04349818453192711,937.72314453125,377.8180847167969,0.027075769379734993,525.06005859375,511.8306884765625,0.9515050053596497,599.7904052734375,524.7866821289062,0.9988952875137329,479.3512878417969,520.6904907226562,0.4199894070625305,481.4144592285156,517.2923583984375,0.9785366058349609,456.9777526855469,505.10137939453125,0.9219168424606323,455.7818603515625,509.3945617675781,0.37771177291870117,941.3394775390625,378.4605712890625,0.005650711245834827
3,860.0973510742188,304.01617431640625,0.14046511054039001,859.2767333984375,305.4912414550781,0.9977318644523621,935.812255859375,379.4871826171875,0.9980819225311279,516.3267211914062,508.09625244140625,0.0572894923388958,937.72314453125,377.9168701171875,0.02870406024158001,525.4041748046875,511.8995056152344,0.9532052874565125,599.7904052734375,524.7866821289062,0.9989076852798462,479.3512878417969,520.6904907226562,0.45517680048942566,481.4144592285156,517.2923583984375,0.9701699018478394,456.9777526855469,505.0984191894531,0.898663341999054,455.6795959472656,509.3945617675781,0.3284468948841095,941.3379516601562,378.4605712890625,0.005887142848223448
4,859.9955444335938,304.01617431640625,0.24345271289348602,859.2669067382812,305.4912414550781,0.9969180822372437,935.8216552734375,379.4111328125,0.9983975291252136,516.4026489257812,508.09625244140625,0.05000273138284683,937.6168212890625,377.9168701171875,0.03187611326575279,525.57421875,511.9362487792969,0.9386434555053711,599.7904052734375,524.8399047851562,0.9988227486610413,479.3512878417969,520.6370849609375,0.4499768614768982,481.5486755371094,517.1998291015625,0.9758930802345276,456.9777526855469,505.0984191894531,0.9299243688583374,455.7818603515625,509.267822265625,0.37865132093429565,941.33349609375,378.4605712890625,0.005671712104231119
5,859.9955444335938,304.0085754394531,0.20269161462783813,859.2669067382812,305.4912414550781,0.9973663687705994,935.8216552734375,379.250244140625,0.9984723925590515,516.3267211914062,508.09625244140625,0.04551825672388077,937.6168212890625,377.9168701171875,0.023718945682048798,525.57421875,511.9362487792969,0.9218837022781372,599.7904052734375,524.8399047851562,0.9987983703613281,479.30401611328125,520.5616455078125,0.5020202398300171,481.5486755371094,517.1726684570312,0.9749642610549927,456.9777526855469,505.0984191894531,0.9236356616020203,455.6826171875,509.3945617675781,0.4101541340351105,941.33349609375,378.47760009765625,0.0054373973980546
6,859.982421875,304.0211181640625,0.16925173997879028,859.2597045898438,305.4465026855469,0.9978933930397034,935.6563720703125,379.19036865234375,0.9987448453903198,516.3267211914062,508.45428466796875,0.04512762650847435,937.3590087890625,377.9247741699219,0.027237296104431152,525.57421875,511.9362487792969,0.9601597189903259,599.9044799804688,524.723876953125,0.998752236366272,479.30401611328125,520.5635375976562,0.49509042501449585,481.5486755371094,516.822021484375,0.9774357676506042,456.9777526855469,505.0882263183594,0.9160994291305542,455.6826171875,509.33099365234375,0.3603247404098511,941.3040161132812,378.4936218261719,0.005382414907217026
7,859.982421875,304.0085754394531,0.27427437901496887,859.2597045898438,305.4465026855469,0.9967219233512878,935.6563720703125,379.250244140625,0.9984538555145264,515.5386352539062,508.4995422363281,0.06701795011758804,937.5839233398438,377.9921875,0.031488772481679916,525.2305908203125,511.9429016113281,0.9398052096366882,599.8834228515625,524.5855102539062,0.9992021918296814,479.0061950683594,520.5635375976562,0.5502110719680786,481.1077880859375,517.1998291015625,0.9815238118171692,456.8970642089844,505.0882263183594,0.8631666302680969,455.6795959472656,509.33099365234375,0.3616153299808502,941.2674560546875,378.47760009765625,0.005782896652817726
8,859.982421875,304.0211181640625,0.22619226574897766,859.2597045898438,305.4574279785156,0.9971653819084167,935.651611328125,379.250244140625,0.9986701011657715,515.5386352539062,508.45703125,0.0601961649954319,937.388671875,377.9921875,0.02600216493010521,525.2305908203125,511.9429016113281,0.947576105594635,599.9044799804688,524.5571899414062,0.9988659620285034,479.0061950683594,520.5635375976562,0.49397730827331543,481.1077880859375,516.8402099609375,0.9869329333305359,456.8970642089844,505.0882263183594,0.9024162888526917,455.6826171875,509.33099365234375,0.49465227127075195,941.2783813476562,378.5238342285156,0.00517558166757226
9,859.982421875,304.0419616699219,0.11953055113554001,859.2597045898438,305.4574279785156,0.998359739780426,935.5009155273438,379.3468933105469,0.9988418221473694,515.5386352539062,508.45703125,0.06578666716814041,937.388671875,377.98883056640625,0.023848606273531914,525.2305908203125,512.0133056640625,0.9377799034118652,599.8834228515625,524.5571899414062,0.9990946054458618,479.0061950683594,520.5902099609375,0.5290167927742004,481.1077880859375,516.8402099609375,0.9779282808303833,456.9112243652344,505.0798645019531,0.9075460433959961,455.48956298828125,509.3623352050781,0.40501484274864197,941.3040161132812,378.5238342285156,0.005525168031454086
