scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,208.69265747070312,477.97796630859375,0.7179478406906128,171.0868377685547,478.484130859375,0.022044729441404343,143.0897216796875,618.6817626953125,0.07669142633676529,679.6739501953125,617.9537963867188,0.9944303631782532,598.1825561523438,636.748291015625,0.9994491934776306,678.0480346679688,618.6362915039062,0.059057097882032394,600.7756958007812,622.105224609375,0.03218790143728256,725.3524780273438,626.6576538085938,0.993280827999115,728.82568359375,626.6090698242188,0.02096618339419365,772.4846801757812,610.4052734375,0.17165730893611908,769.7281494140625,607.5333251953125,0.7627810835838318,684.6441650390625,621.1775512695312,0.015541108325123787
1,209.85337829589844,478.7599182128906,0.9971824884414673,206.1544952392578,478.6547546386719,0.060347266495227814,143.75482177734375,618.6817626953125,0.03201460838317871,679.6739501953125,618.224365234375,0.9948977828025818,598.3065185546875,636.85009765625,0.9994683861732483,682.3543090820312,618.9474487304688,0.07287757098674774,724.7093505859375,622.2329711914062,0.0373387448489666,725.6826171875,626.6576538085938,0.9936637878417969,728.8779907226562,626.6521606445312,0.019451618194580078,772.7515869140625,610.509033203125,0.129639133810997,769.8972778320312,607.6166381835938,0.6785119771957397,684.6441650390625,621.2994384765625,0.017310256138443947
2,210.31947326660156,478.7599182128906,0.9983533620834351,206.1544952392578,478.88909912109375,0.13292136788368225,732.7879638671875,618.9896850585938,0.02100679837167263,679.881103515625,618.224365234375,0.9938376545906067,598.4034423828125,637.0654907226562,0.9994400143623352,682.5537719726562,619.0620727539062,0.06753439456224442,725.2339477539062,622.2329711914062,0.029615206643939018,726.380615234375,626.8794555664062,0.994362473487854,729.14990234375,626.8399047851562,0.02113228291273117,772.9608764648438,610.509033203125,0.2957153916358948,770.0065307617188,607.9627685546875,0.8594934344291687,684.6441650390625,621.3672485351562,0.0176254715770483
3,209.85337829589844,478.8444519042969,0.9990859031677246,206.89865112304688,478.88909912109375,0.10974646359682083,732.7879638671875,618.6817626953125,0.11867279559373856,680.243408203125,618.224365234375,0.9952157735824585,598.4034423828125,636.8934326171875,0.9995198249816895,682.7154541015625,619.0620727539062,0.05408456176519394,724.9296264648438,622.2261962890625,0.03469206020236015,726.380615234375,626.6576538085938,0.9921454787254333,729.228759765625,626.6521606445312,0.018171200528740883,772.9608764648438,610.509033203125,0.31614285707473755,769.8972778320312,607.9627685546875,0.7941427230834961,684.62890625,621.3672485351562,0.016519900411367416
4,210.31947326660156,479.2524719238281,0.9991621971130371,206.89865112304688,479.66204833984375,0.06449481099843979,733.1072998046875,617.880615234375,0.03028079867362976,680.243408203125,618.224365234375,0.9932998418807983,598.4592895507812,636.9782104492188,0.9994803071022034,682.7154541015625,619.0620727539062,0.06916409730911255,725.3671875,622.2329711914062,0.038911376148462296,726.380615234375,626.8794555664062,0.9883375763893127,729.228759765625,626.6521606445312,0.01600758358836174,772.549560546875,610.509033203125,0.15610791742801666,769.7281494140625,608.01611328125,0.6793707609176636,684.5828247070312,621.3672485351562,0.018388543277978897
5,210.31947326660156,479.26361083984375,0.9981861710548401,206.89865112304688,479.66204833984375,0.0815134197473526,964.912353515625,598.7962036132812,0.024069109931588173,680.3818359375,618.224365234375,0.9949589967727661,598.4034423828125,637.0772705078125,0.9995114803314209,682.7154541015625,618.9474487304688,0.06655430048704147,725.3671875,622.2329711914062,0.03218654543161392,726.380615234375,626.6856689453125,0.9945755004882812,729.2333984375,626.6521606445312,0.018164345994591713,773.0479125976562,610.487548828125,0.13041308522224426,770.0065307617188,607.9627685546875,0.7846560478210449,684.5111694335938,621.2783203125,0.017417674884200096
6,210.3831787109375,479.26361083984375,0.999157190322876,206.89865112304688,479.66204833984375,0.09680647403001785,732.7879638671875,617.880615234375,0.05041918158531189,680.3818359375,618.1331176757812,0.9964131712913513,598.3469848632812,636.9782104492188,0.9994947910308838,682.7154541015625,618.9197998046875,0.06492482870817184,725.055419921875,622.336181640625,0.0318279042840004,726.2041625976562,626.8794555664062,0.9909413456916809,729.228759765625,626.7194213867188,0.01674175076186657,773.3949584960938,610.487548828125,0.15934087336063385,770.3284912109375,607.9627685546875,0.7528160810470581,684.5111694335938,621.2685546875,0.016970882192254066
7,210.20391845703125,479.26361083984375,0.9983463287353516,206.89865112304688,479.66204833984375,0.16366195678710938,964.348388671875,598.9375,0.13057881593704224,680.3818359375,618.1331176757812,0.9955815672874451,598.3469848632812,636.9772338867188,0.9995114803314209,682.9700927734375,618.8933715820312,0.057176195085048676,724.9296264648438,622.33935546875,0.026751888915896416,726.1629638671875,626.6856689453125,0.9933726787567139,729.228759765625,626.697509765625,0.021295329555869102,773.3424682617188,610.4847412109375,0.2637406885623932,770.3284912109375,607.86279296875,0.8184643983840942,684.3663330078125,621.2685546875,0.01688401773571968
8,210.20391845703125,479.1274108886719,0.9988824725151062,172.07740783691406,502.96392822265625,0.06046060472726822,964.912353515625,598.7962036132812,0.024339159950613976,680.1220092773438,617.9776000976562,0.9956074357032776,598.2520141601562,636.9772338867188,0.99949049949646,682.5438232421875,618.45556640625,0.05036776140332222,725.055419921875,622.4234008789062,0.03395041078329086,726.1629638671875,626.9276733398438,0.9931914210319519,729.2665405273438,626.697509765625,0.01691764034330845,773.3949584960938,610.3880004882812,0.3720674216747284,770.549560546875,607.86279296875,0.8445097208023071,684.5111694335938,621.2685546875,0.015353219583630562
9,210.17332458496094,479.1274108886719,0.9982526898384094,172.07740783691406,502.96392822265625,0.4125024676322937,965.0704345703125,598.7962036132812,0.18750663101673126,679.4662475585938,617.8430786132812,0.9942986965179443,598.2520141601562,636.9772338867188,0.9994950294494629,682.5438232421875,618.4113159179688,0.0672263577580452,724.8645629882812,622.33935546875,0.028021685779094696,726.1629638671875,627.0126342773438,0.9952196478843689,729.2665405273438,626.697509765625,0.017061568796634674,773.3949584960938,609.737060546875,0.2638958990573883,770.549560546875,607.7290649414062,0.8589292764663696,684.5910034179688,621.2947387695312,0.018164779990911484
