scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,608.1743774414062,242.8961181640625,0.01703181304037571,807.3538818359375,244.2897186279297,0.03767473250627518,709.6110229492188,304.3058776855469,0.25201308727264404,315.10784912109375,878.9685668945312,0.024843189865350723,522.6137084960938,870.7378540039062,0.8006922602653503,321.1934509277344,878.7360229492188,0.9527231454849243,394.16400146484375,894.393798828125,0.9965686798095703,269.9580383300781,887.0132446289062,0.2761269211769104,276.3730163574219,883.5515747070312,0.8957141041755676,260.955078125,876.3956298828125,0.3006093204021454,258.96502685546875,883.098876953125,0.09060002863407135,269.01019287109375,891.9183959960938,0.009532231837511063
1,608.25390625,346.593505859375,0.04241039231419563,807.4912719726562,244.2897186279297,0.033612217754125595,709.630126953125,304.4053039550781,0.28688836097717285,315.1260986328125,878.9685668945312,0.03243115916848183,522.6137084960938,870.8399047851562,0.7571467757225037,321.37701416015625,878.82958984375,0.9629687070846558,394.1850280761719,894.717529296875,0.9966963529586792,274.26068115234375,888.1707153320312,0.24550174176692963,276.6038513183594,883.5741577148438,0.8747208714485168,261.33819580078125,876.432373046875,0.3093249797821045,259.06756591796875,883.1016235351562,0.0998818650841713,269.14239501953125,891.9252319335938,0.008703835308551788
2,608.79931640625,473.66119384765625,0.02404041960835457,807.4912719726562,244.33908081054688,0.020526589825749397,719.4308471679688,305.07684326171875,0.2854766249656677,315.1260986328125,878.9685668945312,0.03723226487636566,522.6137084960938,870.8399047851562,0.8146309852600098,321.37701416015625,878.82958984375,0.954352080821991,394.20794677734375,894.717529296875,0.9961521029472351,274.57647705078125,888.1707153320312,0.23750638961791992,276.7469787597656,883.5741577148438,0.8687235116958618,261.40576171875,876.432373046875,0.30921047925949097,259.7317199707031,883.1016235351562,0.1013479232788086,269.16754150390625,891.9252319335938,0.010015664622187614
3,608.5286254882812,473.6923522949219,0.022012002766132355,807.55908203125,244.33908081054688,0.030958374962210655,719.4308471679688,305.07684326171875,0.23110254108905792,315.1260986328125,878.9685668945312,0.02495485544204712,522.18115234375,870.9366455078125,0.8346804976463318,321.37701416015625,878.82958984375,0.9583945274353027,394.3943176269531,894.7930297851562,0.9959814548492432,274.57647705078125,888.1707153320312,0.24031732976436615,276.7469787597656,883.5741577148438,0.8789858818054199,261.5733947753906,876.6210327148438,0.3799801170825958,262.28045654296875,883.1016235351562,0.09787578135728836,269.16754150390625,891.9252319335938,0.009557584300637245
4,608.3523559570312,474.12164306640625,0.0304454043507576,807.4912719726562,244.33908081054688,0.02057826519012451,719.4308471679688,305.07684326171875,0.21659807860851288,315.1260986328125,878.9075317382812,0.02818457782268524,522.1276245117188,870.8399047851562,0.8317275047302246,321.3803405761719,878.8732299804688,0.9452322125434875,394.39898681640625,894.8671264648438,0.995873749256134,274.57647705078125,888.2689208984375,0.2830265760421753,276.7469787597656,883.5741577148438,0.8681855201721191,261.71923828125,876.5245361328125,0.3637385964393616,262.3970031738281,883.1016235351562,0.10678647458553314,269.1866149902344,891.9252319335938,0.008327209390699863
5,608.3523559570312,474.12164306640625,0.13706478476524353,807.55908203125,244.37252807617188,0.026732444763183594,709.906982421875,304.2001647949219,0.25579991936683655,315.0250549316406,878.9075317382812,0.04944853112101555,522.1276245117188,870.7100830078125,0.8701956868171692,320.81134033203125,878.8994750976562,0.954598069190979,394.4036560058594,894.8703002929688,0.9962571859359741,274.588623046875,888.2689208984375,0.26852163672447205,276.8516540527344,883.5741577148438,0.8968986868858337,261.71923828125,876.5245361328125,0.29805487394332886,262.3970031738281,883.1016235351562,0.08523239940404892,269.16754150390625,891.9252319335938,0.011044438928365707
6,608.3523559570312,474.2929382324219,0.026262007653713226,807.55908203125,244.37252807617188,0.02423725835978985,709.77880859375,304.1000671386719,0.2531381845474243,315.0250549316406,878.9075317382812,0.02882223017513752,522.0986328125,870.6904907226562,0.8713105916976929,320.81134033203125,878.8994750976562,0.9637537598609924,394.4036560058594,895.0489501953125,0.9962643980979919,274.62091064453125,888.3573608398438,0.2387220561504364,276.9248962402344,883.8129272460938,0.8964397311210632,261.5733947753906,876.368408203125,0.3859456181526184,262.54205322265625,883.2540283203125,0.12154008448123932,269.11968994140625,891.9714965820312,0.010050603188574314
7,607.8563232421875,474.34637451171875,0.020431669428944588,807.55908203125,244.37252807617188,0.027881640940904617,709.77880859375,304.1000671386719,0.2491310089826584,318.7527770996094,878.9954223632812,0.03192715346813202,522.0986328125,870.7100830078125,0.8183738589286804,321.3569641113281,878.8994750976562,0.9611889123916626,394.4036560058594,895.0928955078125,0.9968543648719788,274.62091064453125,888.363525390625,0.2902485728263855,276.9248962402344,883.8129272460938,0.9077020883560181,261.5733947753906,876.5245361328125,0.3483307361602783,262.54205322265625,883.2540283203125,0.08725099265575409,269.0661926269531,891.9735717773438,0.009422928094863892
8,607.80029296875,474.54095458984375,0.060344599187374115,520.6719970703125,870.8067626953125,0.024562442675232887,709.8064575195312,304.2001647949219,0.28670305013656616,318.7527770996094,879.0873413085938,0.05222063884139061,522.0986328125,870.7100830078125,0.8144401907920837,321.3569641113281,878.8687744140625,0.9685606360435486,394.7401123046875,895.1729736328125,0.9972375631332397,274.62091064453125,888.3573608398438,0.27422165870666504,276.9248962402344,883.8129272460938,0.9105379581451416,261.32879638671875,876.368408203125,0.2773650586605072,262.4720458984375,883.2540283203125,0.08454330265522003,269.06787109375,892.0188598632812,0.009190171957015991
9,607.80029296875,474.54095458984375,0.01705900952219963,807.5452880859375,244.52438354492188,0.025063728913664818,709.8114624023438,304.2154235839844,0.2979816794395447,318.7527770996094,879.0873413085938,0.026388948783278465,522.1515502929688,870.6904907226562,0.7984636425971985,321.3569641113281,878.8031005859375,0.9507569074630737,394.7401123046875,895.220947265625,0.9972113966941833,274.588623046875,888.260986328125,0.19712837040424347,276.9248962402344,883.8129272460938,0.8343260884284973,261.32879638671875,876.368408203125,0.3493885099887848,262.463134765625,883.0501708984375,0.10672639310359955,269.06787109375,892.0188598632812,0.009667969308793545
