scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,846.8455810546875,773.9362182617188,0.25337910652160645,845.3388061523438,776.2578125,0.9912031888961792,908.7532958984375,878.301513671875,0.9972535967826843,355.6252746582031,872.0712890625,0.011664885096251965,909.4420776367188,875.0991821289062,0.05275256931781769,399.5146484375,886.0236206054688,0.8609349727630615,449.99981689453125,898.9263916015625,0.9992109537124634,317.3318786621094,876.8273315429688,0.08734392374753952,320.8616027832031,875.66943359375,0.9849724173545837,851.4906616210938,762.7205200195312,0.04732044041156769,462.9391174316406,893.5172729492188,0.03327753767371178,909.2932739257812,874.429931640625,0.0075472560711205006
1,846.8455810546875,774.50439453125,0.3126870095729828,845.3388061523438,776.2578125,0.9869474172592163,908.7532958984375,878.8378295898438,0.9975854158401489,355.6354064941406,872.1061401367188,0.012757722288370132,909.4420776367188,875.2025146484375,0.053606435656547546,403.60650634765625,886.0236206054688,0.8279533386230469,449.99981689453125,899.0213012695312,0.9992850422859192,317.9841613769531,876.9830322265625,0.07679831236600876,321.0791320800781,875.7881469726562,0.9873976111412048,851.4906616210938,763.4561767578125,0.047045718878507614,463.0074462890625,893.5424194335938,0.02979062870144844,909.3660888671875,874.429931640625,0.00749889574944973
2,846.8455810546875,774.592529296875,0.23261255025863647,845.3388061523438,776.3564453125,0.988881528377533,908.7532958984375,879.0873413085938,0.9980649352073669,355.9759521484375,872.2119750976562,0.012654067017138004,909.4420776367188,875.2703247070312,0.04213912412524223,404.33831787109375,886.0236206054688,0.7920282483100891,450.07073974609375,899.0846557617188,0.9992642998695374,317.9841613769531,876.9830322265625,0.07644248753786087,321.0791320800781,875.8416748046875,0.9878143072128296,851.4906616210938,763.9434814453125,0.03734205290675163,463.1712341308594,893.5530395507812,0.02849450148642063,909.3660888671875,874.4370727539062,0.00664096511900425
3,845.8865966796875,774.592529296875,0.23309443891048431,845.0816650390625,776.3564453125,0.984654426574707,908.1987915039062,879.0881958007812,0.9983193278312683,355.99896240234375,872.1061401367188,0.012305519543588161,909.2392578125,875.3427734375,0.03818591684103012,404.69842529296875,885.9384765625,0.7980278134346008,449.99981689453125,899.177978515625,0.9992623925209045,318.10260009765625,876.9071044921875,0.06487779319286346,321.1126403808594,875.873779296875,0.9921926856040955,847.711669921875,764.116455078125,0.04382908716797829,463.1642761230469,893.5424194335938,0.029628651216626167,909.3478393554688,874.4370727539062,0.005929514765739441
4,845.1610717773438,774.592529296875,0.29735609889030457,843.3237915039062,776.3564453125,0.9841757416725159,907.445556640625,879.0881958007812,0.9984298348426819,355.99896240234375,872.1061401367188,0.013026189990341663,909.0072021484375,875.4031372070312,0.04197761416435242,405.04132080078125,885.9384765625,0.7619537711143494,449.99981689453125,899.2197265625,0.999308705329895,318.10260009765625,876.8273315429688,0.0736880823969841,321.1126403808594,875.8416748046875,0.9861965775489807,847.3526000976562,764.116455078125,0.04192863777279854,463.0074462890625,893.5530395507812,0.027079589664936066,909.3380126953125,874.5064697265625,0.006721910089254379
5,845.1259765625,774.6734619140625,0.3778629004955292,843.1884155273438,776.2272338867188,0.9753320813179016,907.167724609375,879.0873413085938,0.9977194666862488,355.99896240234375,872.1061401367188,0.010548004880547523,908.8543701171875,875.4031372070312,0.042249880731105804,405.30322265625,885.9384765625,0.8457971811294556,450.0013427734375,899.2197265625,0.9994114637374878,318.10260009765625,876.9071044921875,0.06630536913871765,320.979248046875,875.8829345703125,0.9867228865623474,846.9824829101562,764.2756958007812,0.03283493593335152,463.06549072265625,893.5530395507812,0.02543501928448677,909.3380126953125,874.5142211914062,0.0063362098298966885
6,844.8670043945312,774.592529296875,0.44299522042274475,843.120361328125,776.337158203125,0.9806713461875916,906.5875854492188,879.0850219726562,0.9979203343391418,355.8835754394531,872.0263671875,0.011028117500245571,908.4244995117188,875.4031372070312,0.03852292522788048,405.4247131347656,885.9431762695312,0.8130874037742615,450.1218566894531,899.2197265625,0.9993669390678406,318.10260009765625,876.6285400390625,0.07557889819145203,320.979248046875,875.8829345703125,0.9846647381782532,846.6396484375,764.2756958007812,0.04182882234454155,463.1642761230469,893.4598388671875,0.023543525487184525,909.30224609375,874.5184326171875,0.006791369989514351
7,844.5802001953125,774.569580078125,0.5368203520774841,842.4622802734375,776.3223876953125,0.9702403545379639,906.0234375,878.7609252929688,0.9977712631225586,355.7835388183594,871.9263916015625,0.010925279930233955,907.9401245117188,875.3366088867188,0.04088437184691429,405.6463623046875,885.9490966796875,0.8709167242050171,450.18304443359375,899.1988525390625,0.9991946816444397,318.1298522949219,876.599365234375,0.07163505256175995,321.1126403808594,875.8829345703125,0.9908890128135681,846.5430908203125,764.2756958007812,0.04256897419691086,463.1642761230469,893.4598388671875,0.033316079527139664,909.30224609375,874.517822265625,0.007117060478776693
8,844.409912109375,774.569580078125,0.3649516701698303,842.3150634765625,776.2272338867188,0.9857283234596252,905.2639770507812,878.7609252929688,0.9980248212814331,355.73211669921875,871.947265625,0.010816708207130432,907.4909057617188,875.3366088867188,0.05073387920856476,405.6463623046875,885.9490966796875,0.8272444605827332,450.31402587890625,899.1739501953125,0.99925297498703,318.1298522949219,876.5841064453125,0.09300236403942108,320.979248046875,875.6685180664062,0.990858256816864,846.5430908203125,764.2756958007812,0.044308703392744064,463.06549072265625,893.5513305664062,0.03253220021724701,909.2942504882812,874.5184326171875,0.008513246662914753
9,844.2284545898438,774.6260375976562,0.3442463278770447,842.0993041992188,776.2272338867188,0.9900310039520264,905.1591796875,878.6857299804688,0.997996985912323,355.692138671875,871.9263916015625,0.010697158053517342,907.3350219726562,875.3366088867188,0.04511769488453865,405.6463623046875,885.9431762695312,0.8211326003074646,450.31402587890625,899.1739501953125,0.999344527721405,318.23406982421875,876.5606079101562,0.08413712680339813,320.92974853515625,875.6685180664062,0.9886397123336792,846.476318359375,764.4747924804688,0.046875275671482086,463.1885070800781,893.5042724609375,0.02504468336701393,909.2648315429688,874.5684204101562,0.007019342388957739
