scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,226.93289184570312,520.0209350585938,0.9998235106468201,157.77386474609375,496.0116271972656,0.028926730155944824,192.9121551513672,629.0516967773438,0.9989782571792603,687.5989379882812,639.4853515625,0.9923064112663269,576.5264282226562,671.2671508789062,0.9959938526153564,686.4017333984375,640.1906127929688,0.0082589415833354,185.37957763671875,632.1748046875,0.0161545779556036,727.1384887695312,636.3684692382812,0.9954612851142883,728.5592041015625,634.4578247070312,0.03479232266545296,756.7918701171875,605.4708251953125,0.37607812881469727,755.14794921875,606.4030151367188,0.9897965788841248,189.35166931152344,604.5640869140625,0.00768316350877285
1,227.06777954101562,520.3387451171875,0.9997970461845398,159.96304321289062,496.0116271972656,0.4229535460472107,192.9121551513672,629.7075805664062,0.999221920967102,688.306396484375,639.7034301757812,0.9920010566711426,576.5601196289062,671.332275390625,0.9957927465438843,686.681884765625,640.6275024414062,0.009847587905824184,186.2373046875,632.2880859375,0.018615087494254112,727.1384887695312,636.6219482421875,0.9936485886573792,728.7301635742188,634.4578247070312,0.02449469082057476,756.8241577148438,605.959228515625,0.4348771870136261,755.6698608398438,606.42236328125,0.9893398880958557,761.7496337890625,604.653564453125,0.008651074022054672
2,227.22669982910156,520.4722900390625,0.9998582601547241,159.96304321289062,496.0116271972656,0.021842023357748985,192.9121551513672,629.7075805664062,0.9994379878044128,688.63037109375,639.7140502929688,0.9932390451431274,576.5601196289062,671.332275390625,0.9953022003173828,686.681884765625,640.6275024414062,0.007835566066205502,576.448974609375,634.3318481445312,0.014925259165465832,727.1384887695312,636.6219482421875,0.9946773052215576,728.7301635742188,634.4578247070312,0.02888322062790394,756.9383544921875,606.097412109375,0.27536582946777344,755.8176879882812,607.0617065429688,0.9868811368942261,761.9720458984375,604.7205810546875,0.006404276471585035
3,227.22669982910156,520.6578979492188,0.9998420476913452,159.91188049316406,494.198974609375,0.16301488876342773,192.90911865234375,629.7075805664062,0.9992867112159729,689.0010986328125,639.7034301757812,0.9949232935905457,576.5601196289062,671.332275390625,0.9959851503372192,686.7256469726562,640.5424194335938,0.0071621607057750225,576.448974609375,634.718505859375,0.0176007691770792,727.1384887695312,636.6572875976562,0.9955706000328064,728.7449340820312,634.4578247070312,0.030279219150543213,756.9524536132812,606.097412109375,0.4172511398792267,755.8876342773438,607.0619506835938,0.9915307760238647,762.0023803710938,604.7205810546875,0.008039847016334534
4,227.22669982910156,520.6578979492188,0.9998074173927307,159.91188049316406,494.198974609375,0.021240707486867905,192.63128662109375,630.249755859375,0.999103844165802,689.0010986328125,639.7140502929688,0.9939494132995605,576.5264282226562,671.332275390625,0.9959020018577576,686.7256469726562,640.5424194335938,0.006815596483647823,576.501953125,671.9041137695312,0.015862487256526947,727.1384887695312,636.671875,0.9947736859321594,728.7449340820312,634.44873046875,0.027789868414402008,756.9524536132812,606.3204956054688,0.4165787100791931,755.6698608398438,607.238525390625,0.9906569719314575,762.1126708984375,604.7205810546875,0.00833207368850708
5,227.08969116210938,520.8221435546875,0.9998970031738281,159.96304321289062,494.198974609375,0.029664378613233566,192.3267822265625,630.2533569335938,0.9989485144615173,689.0010986328125,639.7259521484375,0.9940073490142822,576.5601196289062,671.3388061523438,0.9964752793312073,686.7256469726562,640.3429565429688,0.009049177169799805,576.9598388671875,672.1427001953125,0.015501326881349087,727.029296875,636.671875,0.9915066361427307,728.7490844726562,634.44873046875,0.023584790527820587,757.02490234375,606.3204956054688,0.44705861806869507,755.868896484375,607.238525390625,0.9877568483352661,762.1126708984375,604.7205810546875,0.007881496101617813
6,227.08969116210938,520.8221435546875,0.9998283386230469,159.91188049316406,494.198974609375,0.017187602818012238,192.25054931640625,630.249755859375,0.9991059899330139,688.2359619140625,639.7259521484375,0.9908263087272644,576.4683227539062,671.4034423828125,0.9963175058364868,686.4699096679688,636.169921875,0.0070709665305912495,576.501953125,672.2094116210938,0.015501981601119041,726.7601318359375,636.671875,0.9921920895576477,728.7490844726562,634.5902099609375,0.025125514715909958,756.9524536132812,606.1805419921875,0.419167160987854,755.868896484375,607.238525390625,0.9889469742774963,762.1126708984375,604.6787109375,0.008629993535578251
7,226.91802978515625,520.7960815429688,0.9998327493667603,158.8311004638672,510.0032043457031,0.01868915930390358,192.24107360839844,630.2533569335938,0.9990955591201782,687.7317504882812,639.7259521484375,0.9883439540863037,576.4683227539062,671.4034423828125,0.9957515001296997,686.91943359375,636.169921875,0.006472554057836533,576.501953125,672.2094116210938,0.014401051215827465,727.1737670898438,636.671875,0.991095781326294,728.7844848632812,634.5902099609375,0.022860689088702202,756.9314575195312,606.1805419921875,0.4514516294002533,755.6240844726562,607.2915649414062,0.9932255148887634,762.1126708984375,604.6583862304688,0.00966675579547882
8,226.87673950195312,520.8670654296875,0.9997705817222595,223.31422424316406,521.3137817382812,0.4403979182243347,192.24107360839844,630.4395141601562,0.9990074038505554,687.7317504882812,639.7259521484375,0.9863730669021606,576.3419189453125,671.3793334960938,0.9951935410499573,686.9053344726562,636.169921875,0.006110380403697491,576.3204345703125,672.2094116210938,0.015144925564527512,727.1737670898438,636.6226196289062,0.9933805465698242,728.7969360351562,634.43603515625,0.024875156581401825,756.613525390625,606.5411376953125,0.45877620577812195,755.5908203125,607.2915649414062,0.9917829036712646,762.0419311523438,604.6787109375,0.008659170009195805
9,226.8712921142578,520.9147338867188,0.9998076558113098,157.79913330078125,510.0032043457031,0.04363251477479935,192.24107360839844,630.4395141601562,0.9988603591918945,687.7317504882812,639.6056518554688,0.9904104471206665,576.3419189453125,671.3388061523438,0.9953482747077942,686.9053344726562,636.169921875,0.005980814807116985,576.3204345703125,672.1781005859375,0.01658577285706997,727.1995239257812,636.4304809570312,0.9906225800514221,728.7844848632812,634.435791015625,0.025070153176784515,756.5942993164062,606.1805419921875,0.46224164962768555,755.5908203125,607.2901000976562,0.9898658394813538,761.8677978515625,604.775390625,0.008799872361123562
