scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,145.69784545898438,528.403564453125,0.9999057054519653,141.60716247558594,527.388427734375,0.012098082341253757,80.76351928710938,630.6021728515625,0.9994509816169739,657.7802734375,674.7705078125,0.9987230896949768,551.5933837890625,689.164794921875,0.9988142251968384,654.9991455078125,677.47802734375,0.07740291208028793,553.391357421875,688.6859130859375,0.030596904456615448,698.9872436523438,681.402099609375,0.9976099729537964,699.6431274414062,679.592041015625,0.02103899046778679,646.5126953125,665.8171997070312,0.02570740133523941,727.793701171875,660.1927490234375,0.8602524995803833,651.09814453125,670.8228149414062,0.016291899606585503
1,145.69784545898438,528.5082397460938,0.999880313873291,141.9879608154297,527.388427734375,0.01317298598587513,81.0130844116211,630.7002563476562,0.9994303584098816,657.7802734375,675.1146240234375,0.9987342953681946,551.7820434570312,689.1932983398438,0.9989364743232727,654.9991455078125,677.6370849609375,0.08028722554445267,553.6903076171875,688.7324829101562,0.030061347410082817,699.0335693359375,681.5463256835938,0.9973307847976685,699.7430419921875,679.7908935546875,0.01896943524479866,646.8286743164062,665.9730224609375,0.019906172528862953,728.557373046875,660.6068115234375,0.8075171113014221,651.1193237304688,670.8228149414062,0.013159943744540215
2,145.7085723876953,528.6133422851562,0.99992835521698,142.1220703125,527.4030151367188,0.011998902074992657,81.0130844116211,630.7002563476562,0.9993419051170349,657.7802734375,675.1146240234375,0.9988946318626404,551.7820434570312,689.1932983398438,0.9989305138587952,655.1488647460938,677.6370849609375,0.08836474269628525,553.6903076171875,688.7324829101562,0.033789705485105515,699.0335693359375,681.580078125,0.998127281665802,699.7430419921875,679.8299560546875,0.021152008324861526,646.8352661132812,666.1118774414062,0.021768322214484215,728.557373046875,660.8905029296875,0.7881715297698975,651.1585693359375,670.8228149414062,0.013986051082611084
3,145.7085723876953,528.8081665039062,0.999902606010437,142.1220703125,527.388427734375,0.013989260420203209,80.82403564453125,630.7002563476562,0.9993226528167725,657.7802734375,675.1146240234375,0.998528003692627,551.6283569335938,689.1932983398438,0.9989381432533264,655.4259033203125,677.7515258789062,0.08453208208084106,553.5543823242188,688.7324829101562,0.034545209258794785,699.0335693359375,681.580078125,0.9977415800094604,699.7430419921875,679.8299560546875,0.021117985248565674,646.8286743164062,666.1226806640625,0.021825501695275307,728.2252807617188,660.9307250976562,0.8616770505905151,651.1868286132812,670.8080444335938,0.014688512310385704
4,145.7085723876953,528.818115234375,0.9998955726623535,142.2432861328125,527.3817749023438,0.010141353122889996,80.82403564453125,630.6021728515625,0.9994427561759949,658.0317993164062,675.07666015625,0.9985356330871582,551.6283569335938,689.0158081054688,0.9988088607788086,655.3153076171875,677.6470947265625,0.06661075353622437,553.6380004882812,688.5093383789062,0.03975709155201912,699.4213256835938,681.5463256835938,0.9977637529373169,699.7430419921875,679.7444458007812,0.020990686491131783,646.8352661132812,666.1322631835938,0.02089579403400421,728.2252807617188,660.9307250976562,0.8733116984367371,651.1643676757812,670.8080444335938,0.01454465277493
5,145.75282287597656,528.818115234375,0.9998956918716431,142.33473205566406,527.359130859375,0.00949911866337061,81.0130844116211,630.9136352539062,0.9995260238647461,657.6446533203125,674.8565063476562,0.9987819790840149,551.6283569335938,689.0158081054688,0.998970627784729,655.1488647460938,677.6370849609375,0.08954209089279175,553.5679321289062,688.5093383789062,0.03166165575385094,699.0335693359375,681.4924926757812,0.9980480670928955,699.7430419921875,679.7780151367188,0.019915446639060974,647.0020141601562,666.1322631835938,0.0229943860322237,728.2175903320312,660.9279174804688,0.7294264435768127,651.1643676757812,670.8080444335938,0.015380065888166428
6,145.75282287597656,528.6133422851562,0.9999077320098877,142.33473205566406,527.2727661132812,0.011405175551772118,81.2621841430664,630.8488159179688,0.9995648264884949,658.0317993164062,674.8565063476562,0.99874347448349,551.6283569335938,689.0158081054688,0.9988859295845032,655.3153076171875,677.6470947265625,0.0951048880815506,553.5679321289062,688.4364624023438,0.03587960824370384,699.3043823242188,681.4924926757812,0.9981741905212402,699.6444091796875,679.7444458007812,0.01678396202623844,646.8352661132812,666.1226806640625,0.022996870800852776,728.2161254882812,660.9307250976562,0.8011718988418579,651.1643676757812,670.82470703125,0.014913149178028107
7,145.8256378173828,528.3775024414062,0.9998805522918701,142.33473205566406,527.2354125976562,0.011802898719906807,81.29134368896484,630.8488159179688,0.9993062019348145,658.0317993164062,674.8565063476562,0.9988092184066772,551.7089233398438,689.0197143554688,0.9986280202865601,655.3153076171875,677.6470947265625,0.07178208976984024,553.6380004882812,688.4313354492188,0.03601673245429993,699.6122436523438,681.484130859375,0.9977895021438599,699.8436279296875,679.6854858398438,0.022423120215535164,646.7072143554688,666.1455078125,0.023440402001142502,727.643310546875,661.3512573242188,0.7751379609107971,651.0794067382812,670.8588256835938,0.015212632715702057
8,145.8440399169922,528.3775024414062,0.9998639822006226,142.33473205566406,527.2301635742188,0.012051212601363659,81.40410614013672,630.8488159179688,0.9993311166763306,658.0438232421875,674.7777099609375,0.9990267753601074,551.7089233398438,689.024169921875,0.9985703229904175,655.3153076171875,677.5088500976562,0.10485783964395523,553.7223510742188,688.4313354492188,0.04435203596949577,699.6122436523438,681.484130859375,0.997550904750824,699.8436279296875,679.6854858398438,0.021115131676197052,646.6903076171875,666.1455078125,0.02616163156926632,727.643310546875,661.5933837890625,0.6618112921714783,651.0794067382812,670.9075927734375,0.01666160859167576
9,145.8440399169922,528.3316040039062,0.9998890161514282,142.33473205566406,527.082275390625,0.010923955589532852,81.29134368896484,630.8524780273438,0.9993008375167847,657.6958618164062,674.7777099609375,0.9987719655036926,551.7532348632812,689.0856323242188,0.9987415671348572,655.4590454101562,677.4818725585938,0.08745547384023666,553.7223510742188,688.5113525390625,0.03848474100232124,699.7069091796875,681.4317016601562,0.9975787997245789,699.997802734375,679.598388671875,0.020825492218136787,646.659423828125,666.1719360351562,0.023336343467235565,727.858154296875,661.3512573242188,0.7632529139518738,651.0784301757812,670.9075927734375,0.015801971778273582
