scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,767.4530639648438,443.514404296875,0.5041401386260986,765.3126831054688,443.9790344238281,0.99349445104599,835.7283325195312,546.195556640625,0.999422550201416,437.18621826171875,522.0142211914062,0.1383201628923416,388.51287841796875,536.8968505859375,0.05506459251046181,410.9032897949219,520.0546264648438,0.0942482054233551,457.3844299316406,546.29443359375,0.7796466946601868,458.025146484375,550.4728393554688,0.020541483536362648,776.99267578125,457.63720703125,0.013511840254068375,764.9784545898438,432.1345520019531,0.025345943868160248,763.4739379882812,432.3152160644531,0.038963042199611664,763.6321411132812,443.79248046875,0.006098278798162937
1,767.7603759765625,443.6363830566406,0.684119462966919,765.50927734375,444.1932678222656,0.9860440492630005,836.0732421875,546.2691040039062,0.999505877494812,437.286865234375,522.4850463867188,0.2839547395706177,462.8978271484375,541.3571166992188,0.0494254045188427,411.74237060546875,520.1808471679688,0.07317899912595749,457.4044494628906,546.3054809570312,0.7055200338363647,458.025146484375,550.6485595703125,0.01985367015004158,777.2953491210938,457.8225402832031,0.009393961168825626,765.2501220703125,432.3424072265625,0.030431117862462997,763.613525390625,432.3152160644531,0.040365323424339294,763.6820068359375,443.88885498046875,0.006981558166444302
2,767.87158203125,443.733642578125,0.6122044920921326,765.6130981445312,444.715576171875,0.9893540143966675,836.13671875,546.2691040039062,0.99954754114151,437.3597717285156,522.856201171875,0.4417869746685028,463.13714599609375,541.5822143554688,0.03432658687233925,411.74237060546875,520.603515625,0.09165474027395248,457.4044494628906,546.4185791015625,0.8475915789604187,458.025146484375,550.6485595703125,0.022990411147475243,777.3656005859375,457.9508361816406,0.010852251201868057,765.330322265625,432.3858947753906,0.029824571684002876,763.7857055664062,432.4704284667969,0.04511155188083649,763.7015991210938,443.9601135253906,0.007664351724088192
3,768.2003784179688,443.733642578125,0.5320518612861633,766.04150390625,444.85418701171875,0.9913074374198914,836.6395263671875,546.195556640625,0.999529242515564,438.012939453125,522.856201171875,0.473451167345047,463.13714599609375,541.5822143554688,0.060477469116449356,411.74237060546875,521.17626953125,0.033021777868270874,457.4044494628906,546.4185791015625,0.7544677257537842,458.025146484375,550.6048583984375,0.021913038566708565,777.646728515625,457.9508361816406,0.012834347784519196,765.6181030273438,432.3858947753906,0.022637294605374336,764.1848754882812,432.4917297363281,0.03589557856321335,763.7015991210938,443.9709167480469,0.006469224579632282
4,768.370361328125,443.90673828125,0.653392493724823,766.31298828125,445.0953063964844,0.9874831438064575,836.8873291015625,546.2227783203125,0.9993792772293091,438.012939453125,522.856201171875,0.27439212799072266,463.13714599609375,541.6700439453125,0.03178209811449051,412.5646057128906,523.2301635742188,0.0254209041595459,457.4044494628906,546.5158081054688,0.8490530848503113,458.025146484375,550.6048583984375,0.018678301945328712,777.74267578125,458.0555114746094,0.017028309404850006,765.6431884765625,432.7202453613281,0.019744107499718666,764.41357421875,432.45233154296875,0.038240913301706314,763.7981567382812,443.9709167480469,0.007006595376878977
5,768.5157470703125,444.2121887207031,0.601744532585144,766.3739013671875,445.421630859375,0.9895003437995911,837.2019653320312,546.2227783203125,0.9994053840637207,438.012939453125,522.6053466796875,0.34642741084098816,463.13714599609375,541.6700439453125,0.04649048671126366,411.7855529785156,521.17626953125,0.02949611097574234,457.4044494628906,546.5158081054688,0.8226670026779175,458.0419616699219,550.6048583984375,0.01905238814651966,777.7927856445312,458.20550537109375,0.0154977235943079,765.938232421875,433.00714111328125,0.023096347227692604,764.6202392578125,432.4917297363281,0.044335901737213135,763.8255615234375,444.0929260253906,0.007012751419097185
6,768.81591796875,444.2121887207031,0.5397833585739136,766.59326171875,445.421630859375,0.9929583072662354,837.2019653320312,546.2227783203125,0.999476969242096,437.8074645996094,522.6053466796875,0.3835156559944153,462.56884765625,541.5822143554688,0.0861692875623703,411.7855529785156,521.17626953125,0.031003087759017944,457.2695007324219,546.4185791015625,0.8712345957756042,458.105712890625,550.576171875,0.025381596758961678,777.9369506835938,458.20550537109375,0.017754942178726196,766.0935668945312,433.0249328613281,0.019579602405428886,764.79833984375,432.4917297363281,0.03680915758013725,763.8255615234375,444.1614685058594,0.006837065331637859
7,768.8611450195312,444.3757629394531,0.5669239163398743,766.817138671875,445.3157653808594,0.9910975694656372,837.2157592773438,546.2338256835938,0.9994045495986938,437.7278747558594,522.6053466796875,0.18974599242210388,390.7008972167969,541.6700439453125,0.08980097621679306,412.50494384765625,523.199951171875,0.062106553465127945,457.47894287109375,546.5158081054688,0.8620288372039795,458.1083984375,550.5282592773438,0.01647629402577877,778.0824584960938,458.1308288574219,0.01814734935760498,766.2598876953125,433.0804443359375,0.019367175176739693,764.9404907226562,432.4917297363281,0.035883039236068726,763.8319091796875,444.1618957519531,0.006695539224892855
8,769.0001831054688,444.3757629394531,0.4489676058292389,766.8518676757812,445.39697265625,0.9940730929374695,837.3217163085938,546.2338256835938,0.9994662404060364,437.613525390625,522.6053466796875,0.31254062056541443,390.16961669921875,542.6788330078125,0.04816894233226776,412.8064270019531,523.199951171875,0.04875008761882782,457.64654541015625,546.5455932617188,0.7850376963615417,458.3219299316406,550.5282592773438,0.018184388056397438,778.0824584960938,458.1308288574219,0.015157840214669704,766.2777099609375,433.1169128417969,0.01978149823844433,765.0001220703125,432.4656982421875,0.04123683273792267,763.9254760742188,444.17474365234375,0.006232555955648422
9,769.083740234375,444.3757629394531,0.6972148418426514,767.0221557617188,445.39697265625,0.9881680607795715,837.81884765625,546.3547973632812,0.9991872906684875,437.613525390625,522.5936889648438,0.3480069935321808,390.7008972167969,541.9885864257812,0.08986721187829971,412.5787658691406,522.9812622070312,0.04542313516139984,457.3658447265625,546.5455932617188,0.8732306361198425,458.105712890625,550.5282592773438,0.019046515226364136,778.0824584960938,457.9923400878906,0.019046079367399216,766.3095092773438,433.14971923828125,0.018918147310614586,765.1025390625,432.59051513671875,0.03648335486650467,764.062255859375,444.2392883300781,0.0070548043586313725
