scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,919.0169067382812,633.6402587890625,0.4338837265968323,879.6677856445312,639.5382080078125,0.9998151659965515,932.3351440429688,754.53515625,0.9970123767852783,566.90576171875,742.7685546875,0.010748128406703472,592.3875732421875,718.9181518554688,0.053568966686725616,573.208984375,743.012939453125,0.9471569061279297,660.2992553710938,758.153076171875,0.9889575839042664,517.5696411132812,747.43115234375,0.02590927854180336,522.556640625,745.6806030273438,0.45498719811439514,594.865966796875,636.0797119140625,0.018518609926104546,517.3577270507812,725.0357666015625,0.040770746767520905,923.3988037109375,636.053466796875,0.003969754092395306
1,919.0169067382812,633.6402587890625,0.4220917224884033,879.8280639648438,639.5599975585938,0.9998062252998352,932.3351440429688,754.6260375976562,0.9962005019187927,569.8668823242188,743.8603515625,0.0077326796017587185,658.4899291992188,754.0778198242188,0.04086708277463913,573.2528076171875,743.22314453125,0.9567994475364685,660.3743286132812,758.2474365234375,0.9856230020523071,517.5696411132812,747.6758422851562,0.013610166497528553,522.9786376953125,746.204345703125,0.5850254893302917,594.865966796875,709.2455444335938,0.008439263328909874,521.4387817382812,725.0357666015625,0.013577002100646496,923.4058837890625,636.053466796875,0.0039053980726748705
2,919.0169067382812,633.7509155273438,0.5892401933670044,879.8280639648438,639.5631713867188,0.9997650980949402,932.4342651367188,754.6260375976562,0.9953851103782654,922.911865234375,763.1024169921875,0.010214298032224178,658.4899291992188,754.0778198242188,0.03725006431341171,573.2528076171875,743.3826904296875,0.9638033509254456,660.3743286132812,758.258056640625,0.9856531620025635,517.7069091796875,747.7579345703125,0.022578585892915726,524.3330688476562,748.41650390625,0.6074197888374329,595.11572265625,709.2455444335938,0.010068248026072979,522.1978149414062,725.0357666015625,0.015074915252625942,923.4254150390625,636.053466796875,0.005559541750699282
3,919.0834350585938,633.8487548828125,0.5226378440856934,879.6677856445312,639.68359375,0.9997879862785339,932.4342651367188,754.6260375976562,0.9954758286476135,923.1260375976562,763.1024169921875,0.00671596173197031,658.4899291992188,754.0778198242188,0.043755896389484406,573.208984375,743.22314453125,0.9364318251609802,660.3743286132812,758.258056640625,0.9802968502044678,517.85546875,748.037353515625,0.04175475984811783,524.3330688476562,748.41650390625,0.8303157091140747,594.865966796875,709.2455444335938,0.012196379713714123,521.9786987304688,724.9603271484375,0.025121508166193962,923.42724609375,636.053466796875,0.004859522450715303
4,919.1810913085938,633.8487548828125,0.5210555791854858,879.5216674804688,639.7711181640625,0.9997761845588684,932.4342651367188,754.640380859375,0.9973008036613464,923.1312866210938,763.1024169921875,0.008767991326749325,659.1890869140625,756.6834716796875,0.04046589136123657,573.2528076171875,743.22314453125,0.9318918585777283,660.3743286132812,758.3753051757812,0.9872980117797852,517.85546875,748.037353515625,0.03277656435966492,522.7349243164062,746.3770751953125,0.6988030672073364,488.9463195800781,737.466552734375,0.010822521522641182,522.1978149414062,724.9603271484375,0.015419346280395985,923.4429321289062,636.0201416015625,0.005120237357914448
5,919.1810913085938,633.8487548828125,0.4990227222442627,879.5216674804688,639.7948608398438,0.9997405409812927,932.4342651367188,754.640380859375,0.9966623783111572,923.1312866210938,763.2296752929688,0.00766045693308115,659.1890869140625,756.6834716796875,0.12806962430477142,573.2528076171875,743.22314453125,0.9533053040504456,660.3743286132812,758.4724731445312,0.9849547147750854,518.4083251953125,748.7136840820312,0.032040346413850784,524.2017822265625,748.41650390625,0.7738521099090576,488.9463195800781,737.466552734375,0.011026427149772644,522.2345581054688,724.9603271484375,0.03037591278553009,923.4429321289062,636.0201416015625,0.0045325541868805885
6,919.1810913085938,633.9332275390625,0.5065310001373291,879.5216674804688,639.7948608398438,0.9997548460960388,932.5464477539062,754.640380859375,0.9973230957984924,923.1312866210938,763.346435546875,0.006946567911654711,592.0054931640625,719.5413208007812,0.03800519183278084,573.3941650390625,743.1593627929688,0.9448820352554321,660.4127197265625,758.4724731445312,0.9853237867355347,518.9264526367188,748.7136840820312,0.04868041351437569,522.8267822265625,746.3770751953125,0.7439228296279907,596.0493774414062,709.40966796875,0.012874693609774113,522.6188354492188,725.3678588867188,0.035792384296655655,923.4429321289062,636.0201416015625,0.004624774679541588
7,919.1810913085938,633.8487548828125,0.5210680365562439,879.5216674804688,639.7948608398438,0.9997735619544983,932.5464477539062,754.7672729492188,0.9975636005401611,922.8790893554688,763.346435546875,0.006826667580753565,592.0054931640625,719.5413208007812,0.03579281270503998,573.7359008789062,743.1593627929688,0.9389416575431824,660.6104736328125,758.377197265625,0.98438960313797,518.9986572265625,748.7136840820312,0.015614034608006477,522.8267822265625,746.366455078125,0.4574976861476898,596.0493774414062,709.40966796875,0.007156355306506157,522.2345581054688,725.3678588867188,0.02028956636786461,923.42724609375,636.1002807617188,0.004136165138334036
8,919.1810913085938,633.8508911132812,0.5294984579086304,879.5209350585938,639.8740234375,0.9997368454933167,932.5328369140625,754.7672729492188,0.997210681438446,922.7361450195312,763.346435546875,0.006783015094697475,592.0054931640625,719.5413208007812,0.05160190910100937,573.7359008789062,743.4693603515625,0.9482923150062561,660.618896484375,758.377197265625,0.9851512312889099,518.9986572265625,748.8424682617188,0.051551029086112976,523.2188720703125,746.366455078125,0.6657807230949402,920.943603515625,636.0289916992188,0.014071827754378319,522.2345581054688,725.3678588867188,0.027918517589569092,923.4556884765625,636.0201416015625,0.005131322890520096
9,919.1299438476562,633.8508911132812,0.5737088322639465,879.2935180664062,640.0175170898438,0.9997298121452332,932.5328369140625,754.6265258789062,0.9978711605072021,567.00537109375,743.0886840820312,0.01526311319321394,592.0054931640625,719.5413208007812,0.061850644648075104,573.7359008789062,743.4693603515625,0.9614892601966858,660.618896484375,758.377197265625,0.9854244589805603,518.9264526367188,749.187255859375,0.05010392144322395,523.3704833984375,748.488525390625,0.7406944632530212,920.943603515625,635.8690185546875,0.008463610894978046,522.1554565429688,725.3678588867188,0.016707798466086388,923.3920288085938,636.0748291015625,0.0048583210445940495
