scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,980.6886596679688,510.0378723144531,0.05258540064096451,979.9613037109375,511.7210388183594,0.9992920160293579,1030.070068359375,597.907470703125,0.30475053191185,433.99884033203125,565.5357666015625,0.010662239976227283,531.0777587890625,618.6067504882812,0.034805357456207275,461.9695129394531,581.6595458984375,0.9993756413459778,526.1287231445312,617.8610229492188,0.9962007403373718,561.9839477539062,562.628173828125,0.11968948692083359,431.9171447753906,586.7288818359375,0.9955476522445679,411.5529479980469,557.309814453125,0.9893580675125122,474.892822265625,577.3329467773438,0.035071730613708496,525.0166625976562,621.2648315429688,0.007161381654441357
1,980.68896484375,510.0439147949219,0.08454325795173645,980.0278930664062,511.7608947753906,0.9991214871406555,1030.298828125,598.1823120117188,0.4230731725692749,434.2145080566406,565.5357666015625,0.010878607630729675,531.0955810546875,618.748046875,0.0407569520175457,462.0428161621094,581.7916870117188,0.9992648959159851,526.1287231445312,617.8610229492188,0.9964516162872314,562.3055419921875,562.8809814453125,0.10082990676164627,431.9759521484375,586.801513671875,0.9958914518356323,411.5529479980469,557.7723388671875,0.9855253100395203,474.9059753417969,577.3397827148438,0.031032778322696686,525.0228881835938,621.3477172851562,0.007692472077906132
2,980.720703125,510.1060485839844,0.10821467638015747,980.0698852539062,511.7866516113281,0.9989381432533264,1030.389404296875,598.1823120117188,0.29761040210723877,434.3309326171875,565.6424560546875,0.013110618107020855,531.0955810546875,618.76025390625,0.03940439969301224,462.0456237792969,581.9134521484375,0.9993676543235779,526.1287231445312,617.8853149414062,0.9963887929916382,562.3055419921875,562.8809814453125,0.1390744149684906,431.9759521484375,587.045654296875,0.9965816140174866,411.5529479980469,557.7723388671875,0.9852334856987,474.9059753417969,577.3397827148438,0.03048061951994896,525.0228881835938,621.3573608398438,0.008666259236633778
3,980.8352661132812,510.15399169921875,0.06138079613447189,980.0698852539062,511.7866516113281,0.9992786049842834,1030.298828125,598.0850219726562,0.4358077943325043,434.3309326171875,565.6424560546875,0.009986166842281818,531.0955810546875,618.9664916992188,0.04609508439898491,462.0647888183594,582.2026977539062,0.9994341731071472,526.1287231445312,617.8853149414062,0.9974349141120911,562.0143432617188,562.9774169921875,0.2184952050447464,432.1225280761719,587.0744018554688,0.9965497255325317,411.5529479980469,557.8939819335938,0.9886341094970703,474.892822265625,577.4200439453125,0.030093368142843246,525.062255859375,621.3573608398438,0.007375730667263269
4,980.8352661132812,510.15399169921875,0.060816504061222076,980.0698852539062,511.7866516113281,0.99915611743927,1030.2611083984375,598.0850219726562,0.47284138202667236,434.47479248046875,565.9169921875,0.00965011678636074,531.0777587890625,619.1130981445312,0.048279114067554474,462.0647888183594,581.9566040039062,0.999286949634552,526.0563354492188,618.0330200195312,0.9971174001693726,562.3118286132812,562.9906616210938,0.1022430881857872,432.1225280761719,587.0744018554688,0.9955321550369263,411.5259094238281,557.8939819335938,0.9904504418373108,474.9059753417969,577.3397827148438,0.02595858834683895,525.062255859375,621.393798828125,0.007471664343029261
5,980.8352661132812,510.1518859863281,0.09161074459552765,980.2654418945312,511.79315185546875,0.9991008043289185,1030.298828125,598.0850219726562,0.4652629792690277,434.47479248046875,565.9169921875,0.011751663871109486,531.0955810546875,618.9664916992188,0.04696086049079895,462.0647888183594,581.9566040039062,0.9993244409561157,526.0563354492188,618.0400390625,0.9971306920051575,562.2916870117188,562.9774169921875,0.14597782492637634,432.1225280761719,587.045654296875,0.9965950846672058,411.5259094238281,557.7723388671875,0.985767662525177,475.0804138183594,577.3397827148438,0.026474367827177048,525.062255859375,621.3956909179688,0.008280967362225056
6,980.8336791992188,510.1518859863281,0.06898906081914902,980.2654418945312,511.8294677734375,0.9990915060043335,1030.390869140625,598.0850219726562,0.4979702830314636,434.2033386230469,565.9169921875,0.009696513414382935,531.20703125,618.9664916992188,0.044767964631319046,462.07281494140625,581.9566040039062,0.9993439316749573,526.19287109375,618.0528564453125,0.9963456988334656,562.2398071289062,562.9414672851562,0.13759244978427887,432.09832763671875,587.005859375,0.9956437349319458,411.680908203125,557.8931884765625,0.988997757434845,475.10308837890625,577.3397827148438,0.0332164540886879,525.062255859375,621.393798828125,0.007424271199852228
7,980.7936401367188,510.1155700683594,0.07740389555692673,980.172607421875,511.8294677734375,0.9991023540496826,1030.390869140625,598.0592041015625,0.420849084854126,434.2033386230469,565.9169921875,0.01178616564720869,531.20703125,618.8992919921875,0.04197300225496292,462.07281494140625,581.9566040039062,0.9993064403533936,526.19287109375,618.0528564453125,0.9964757561683655,562.2398071289062,562.9774169921875,0.09689798951148987,432.09832763671875,586.8642578125,0.9963222742080688,411.84881591796875,557.8931884765625,0.9890374541282654,475.1191711425781,577.4200439453125,0.030846916139125824,525.062255859375,621.3956909179688,0.0070807659067213535
8,980.6214599609375,510.033447265625,0.057197537273168564,979.9599609375,511.7220458984375,0.9992868304252625,1030.40234375,598.081298828125,0.4969608187675476,434.2284240722656,565.9176025390625,0.012533294968307018,531.1217041015625,618.8992919921875,0.04170829430222511,462.0675964355469,581.9566040039062,0.9993011951446533,526.1567993164062,618.17236328125,0.9970722198486328,562.2916870117188,563.11279296875,0.11569757014513016,431.8431396484375,586.8642578125,0.9961270689964294,411.88824462890625,557.8931884765625,0.986855685710907,475.21832275390625,577.4662475585938,0.03240065276622772,525.0390625,621.3956909179688,0.007790062110871077
9,980.7936401367188,510.0552673339844,0.06006975844502449,980.172607421875,511.8294677734375,0.9992183446884155,1030.40234375,598.3450317382812,0.4432608187198639,434.2284240722656,565.8113403320312,0.010864860378205776,531.1217041015625,618.8992919921875,0.04133952036499977,462.0675964355469,581.9141235351562,0.9994255304336548,526.1567993164062,618.202880859375,0.997474730014801,562.2916870117188,563.11279296875,0.061722926795482635,431.8431396484375,586.8237915039062,0.9959569573402405,411.8994140625,557.8931884765625,0.9844539761543274,475.21832275390625,577.546630859375,0.027217594906687737,525.0812377929688,621.303466796875,0.0067730313166975975
