scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,149.8182373046875,508.7601318359375,0.9997459053993225,145.99327087402344,509.318115234375,0.01913219876587391,78.11019897460938,606.7086181640625,0.9981486797332764,601.3030395507812,628.429931640625,0.9992867112159729,487.869384765625,646.8113403320312,0.9989973902702332,596.0726318359375,631.9326171875,0.022703267633914948,488.3277282714844,626.7028198242188,0.021222863346338272,639.750244140625,632.73095703125,0.9973658919334412,644.3846435546875,630.654541015625,0.02960789017379284,672.44091796875,602.735107421875,0.06785226613283157,672.3724975585938,601.6835327148438,0.9954106211662292,603.8037719726562,635.8521728515625,0.012186042033135891
1,149.8182373046875,508.7601318359375,0.9997711777687073,149.1618194580078,512.2647705078125,0.016659758985042572,78.36886596679688,606.9513549804688,0.9975907802581787,601.3030395507812,628.5985107421875,0.9993743300437927,488.1153869628906,647.0587768554688,0.9990333318710327,597.9154663085938,631.9534912109375,0.025692785158753395,490.3624267578125,626.7028198242188,0.01878233440220356,639.750244140625,632.9012451171875,0.9975993037223816,644.398681640625,630.76318359375,0.032958049327135086,672.83447265625,602.9430541992188,0.07608219981193542,672.6550903320312,601.9364013671875,0.9950272440910339,603.9075317382812,635.8673706054688,0.010606842115521431
2,149.8401336669922,508.7601318359375,0.9997245669364929,149.3124237060547,512.4598388671875,0.017154956236481667,78.36886596679688,606.9513549804688,0.9974969029426575,601.3030395507812,628.5985107421875,0.999363124370575,488.1153869628906,647.1355590820312,0.9991538524627686,598.6035766601562,631.9534912109375,0.025067638605833054,490.3624267578125,645.5445556640625,0.018421774730086327,639.906494140625,632.9012451171875,0.9976240992546082,644.4496459960938,630.76318359375,0.03098655305802822,672.8897705078125,602.9430541992188,0.07115577161312103,672.6644287109375,601.9364013671875,0.9957420229911804,603.9769287109375,635.9120483398438,0.010676972568035126
3,149.9027862548828,508.4514465332031,0.999803364276886,149.3124237060547,512.4598388671875,0.015579909086227417,78.36886596679688,606.713623046875,0.997241735458374,601.57080078125,628.9315185546875,0.99922776222229,488.153076171875,647.1849365234375,0.9990608096122742,598.333984375,631.9326171875,0.021786322817206383,638.052978515625,626.7341918945312,0.014820024371147156,640.1065673828125,632.9012451171875,0.9973719120025635,644.52880859375,630.654541015625,0.03309088200330734,672.8972778320312,602.9575805664062,0.06605388224124908,672.6644287109375,601.891357421875,0.9955266118049622,604.0171508789062,635.9173583984375,0.010072327218949795
4,149.9027862548828,508.4514465332031,0.9998220801353455,149.1618194580078,512.4598388671875,0.015230345539748669,78.36886596679688,606.7086181640625,0.9972286820411682,601.7344970703125,628.8628540039062,0.9991922974586487,488.103271484375,647.2108764648438,0.9991069436073303,598.333984375,631.9160766601562,0.026950335130095482,638.1098022460938,626.7028198242188,0.01612568274140358,640.1065673828125,632.7547607421875,0.997650682926178,644.52880859375,630.654541015625,0.030896009877324104,672.8972778320312,602.9575805664062,0.060239460319280624,672.7667846679688,601.891357421875,0.995231568813324,604.0171508789062,635.9409790039062,0.011466795578598976
5,149.68014526367188,508.4161376953125,0.9997871518135071,149.15357971191406,512.2647705078125,0.013962057419121265,78.36886596679688,606.400634765625,0.9977532029151917,601.767822265625,628.8429565429688,0.9992905855178833,488.153076171875,647.2108764648438,0.9989033937454224,598.333984375,631.9160766601562,0.025601012632250786,638.052978515625,626.7341918945312,0.015038495883345604,640.1065673828125,632.7547607421875,0.9976715445518494,644.52880859375,630.61669921875,0.032805781811475754,672.938232421875,602.9575805664062,0.0627732202410698,672.7667846679688,601.891357421875,0.9952254295349121,603.9769287109375,635.9173583984375,0.011075387708842754
6,149.73675537109375,508.4161376953125,0.9998102784156799,149.15357971191406,512.4598388671875,0.015695691108703613,78.19754791259766,606.2882080078125,0.9977850914001465,601.767822265625,628.8628540039062,0.9993196725845337,488.153076171875,647.2108764648438,0.9989557266235352,598.0313720703125,631.9160766601562,0.0272136889398098,490.70751953125,647.1062622070312,0.01513331476598978,640.123779296875,632.7547607421875,0.9976940751075745,644.52880859375,630.60400390625,0.033573295921087265,672.938232421875,602.8399658203125,0.06218695268034935,672.7667846679688,601.891357421875,0.9941244721412659,603.9834594726562,635.9318237304688,0.010271098464727402
7,149.73675537109375,508.4161376953125,0.9997805953025818,146.11280822753906,509.1589660644531,0.016235793009400368,78.37085723876953,606.1597900390625,0.9970652461051941,601.8281860351562,628.9315185546875,0.9993013143539429,488.153076171875,647.1879272460938,0.9990501999855042,597.9463500976562,631.9160766601562,0.03517748415470123,490.70751953125,646.8661499023438,0.022949768230319023,640.1065673828125,632.9193725585938,0.9979296922683716,644.52880859375,630.60400390625,0.030157020315527916,672.938232421875,602.8225708007812,0.0747765377163887,672.7667846679688,601.891357421875,0.9962512850761414,603.9374389648438,635.9173583984375,0.0112976199015975
8,149.59664916992188,508.47576904296875,0.9997594952583313,146.11280822753906,509.2784423828125,0.01571301370859146,78.31209564208984,606.122314453125,0.9972789883613586,601.8281860351562,628.8628540039062,0.999370276927948,488.311279296875,647.1879272460938,0.9989351630210876,597.9463500976562,631.876708984375,0.02265082485973835,490.65032958984375,647.1062622070312,0.019897909834980965,640.123779296875,632.7547607421875,0.9975197911262512,644.6492309570312,630.4478759765625,0.03049680031836033,672.938232421875,602.8048706054688,0.08869919180870056,672.91943359375,601.7883911132812,0.9963454604148865,603.9374389648438,635.9318237304688,0.009768763557076454
9,149.73675537109375,508.674560546875,0.9997530579566956,146.0299072265625,509.2784423828125,0.018871495500206947,78.19754791259766,606.0162963867188,0.9970589876174927,601.8281860351562,628.8429565429688,0.9993447661399841,488.311279296875,647.1879272460938,0.9991266131401062,597.9463500976562,631.9201049804688,0.02793082222342491,490.65032958984375,647.1062622070312,0.020484253764152527,640.123779296875,632.9193725585938,0.9980140924453735,644.6492309570312,630.4478759765625,0.0381598025560379,672.938232421875,602.8048706054688,0.07830497622489929,672.9351196289062,601.7883911132812,0.9963793158531189,603.9374389648438,635.9318237304688,0.010476741008460522
