scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,135.2340087890625,566.3294677734375,0.9998352527618408,52.82754135131836,628.7844848632812,0.02082686871290207,57.07297134399414,630.557373046875,0.9969793558120728,726.3779907226562,730.6510009765625,0.9984275102615356,622.7803344726562,755.1773681640625,0.998245358467102,722.3330078125,734.3640747070312,0.03376598283648491,628.4439697265625,753.8776245117188,0.03040388599038124,773.3446044921875,730.3077392578125,0.9939388036727905,775.5758666992188,728.0194091796875,0.030275452882051468,50.8302001953125,616.329345703125,0.012618709355592728,803.4910888671875,703.3501586914062,0.01808091811835766,783.3135986328125,732.6435546875,0.0077473982237279415
1,135.2666015625,566.6941528320312,0.9998588562011719,52.8691291809082,631.0054321289062,0.02028333581984043,57.216896057128906,631.2716674804688,0.9969865679740906,726.3779907226562,730.6510009765625,0.9984855055809021,622.7803344726562,755.316162109375,0.9984695315361023,722.3330078125,734.3640747070312,0.027692079544067383,628.4439697265625,753.8776245117188,0.035705238580703735,773.3446044921875,730.4852294921875,0.9941400289535522,775.5758666992188,728.1477661132812,0.03081400692462921,706.1530151367188,715.5523681640625,0.014228918589651585,803.8023071289062,704.2968139648438,0.026201488450169563,783.3267822265625,732.6690673828125,0.008173772133886814
2,135.2666015625,566.6941528320312,0.9998388290405273,52.8691291809082,631.0913696289062,0.018789488822221756,57.216896057128906,631.3033447265625,0.9972764849662781,726.4791870117188,730.6510009765625,0.9983966946601868,622.8274536132812,755.7699584960938,0.9982573390007019,722.5810546875,734.3640747070312,0.0294470377266407,628.4439697265625,753.8974609375,0.03041587956249714,773.4176025390625,730.5350952148438,0.9940202236175537,775.5758666992188,728.1477661132812,0.03237178176641464,708.32421875,715.7010498046875,0.015933165326714516,803.9802856445312,704.2968139648438,0.03111526556313038,783.3316040039062,732.707275390625,0.00837596133351326
3,135.2340087890625,566.7616577148438,0.999859094619751,52.8691291809082,631.0913696289062,0.01949281431734562,57.216896057128906,631.4554443359375,0.9978475570678711,726.4791870117188,730.6510009765625,0.9986520409584045,622.9712524414062,755.316162109375,0.997954249382019,722.3379516601562,734.3640747070312,0.03516095504164696,628.4439697265625,753.8974609375,0.028969909995794296,773.4176025390625,730.5350952148438,0.9951872825622559,775.37451171875,728.1477661132812,0.034676603972911835,708.3931274414062,715.8084106445312,0.013389825820922852,803.9802856445312,704.2968139648438,0.05108996108174324,783.3748168945312,732.707275390625,0.008553436025977135
4,135.152099609375,566.8607788085938,0.999885082244873,52.82754135131836,631.0054321289062,0.018317248672246933,56.941993713378906,631.4554443359375,0.9974249601364136,726.6635131835938,730.6510009765625,0.9986409544944763,622.933837890625,755.7699584960938,0.9980030655860901,722.5810546875,734.3640747070312,0.04887564480304718,628.3262939453125,753.916259765625,0.033239830285310745,773.2530517578125,730.6810302734375,0.9942282438278198,775.3370971679688,728.3145141601562,0.027782496064901352,708.32421875,715.8084106445312,0.013147477060556412,803.9802856445312,704.2968139648438,0.01914336159825325,783.4527587890625,732.752197265625,0.007586429361253977
5,135.09645080566406,566.7616577148438,0.9998877048492432,52.837310791015625,631.0137329101562,0.022224819287657738,56.81447219848633,631.3033447265625,0.9975317716598511,726.2411499023438,730.8653564453125,0.9988741278648376,622.933837890625,755.7699584960938,0.9982336759567261,722.3911743164062,734.19580078125,0.034761134535074234,628.3005981445312,753.916259765625,0.024026881903409958,773.2530517578125,730.6810302734375,0.9948238134384155,775.3370971679688,728.3145141601562,0.03214379400014877,708.32421875,715.8381958007812,0.015408613719046116,803.83154296875,704.8777465820312,0.04838944226503372,783.4646606445312,732.752197265625,0.008077507838606834
6,135.09645080566406,566.7949829101562,0.9998863935470581,52.837310791015625,630.753662109375,0.017604677006602287,56.7420539855957,631.0203247070312,0.9985679388046265,726.6234130859375,730.8737182617188,0.9985355138778687,622.9712524414062,755.7286376953125,0.9978317618370056,722.599365234375,734.4739990234375,0.030423002317547798,628.3262939453125,753.916259765625,0.02482283115386963,773.4002075195312,730.5350952148438,0.9945313334465027,775.37451171875,728.1188354492188,0.0318562388420105,706.1587524414062,715.9735717773438,0.014132700860500336,803.83154296875,704.8051147460938,0.06665591895580292,783.4646606445312,732.752197265625,0.00816348847001791
7,135.09645080566406,566.7949829101562,0.9998894929885864,52.918678283691406,630.7078857421875,0.01505783200263977,56.7420539855957,631.0203247070312,0.9983747005462646,726.4343872070312,730.8737182617188,0.9989655017852783,622.9712524414062,755.14208984375,0.9981523156166077,722.4280395507812,734.4739990234375,0.04306463897228241,628.3262939453125,753.918701171875,0.03443266078829765,773.4002075195312,730.5330200195312,0.9939430356025696,775.478271484375,728.1188354492188,0.028324401006102562,706.0369873046875,715.9735717773438,0.013772748410701752,803.83154296875,704.8051147460938,0.012264233082532883,783.4646606445312,732.752197265625,0.008098616264760494
8,135.14561462402344,566.6851806640625,0.9998824596405029,52.918678283691406,630.7078857421875,0.0815768614411354,56.7420539855957,631.0203247070312,0.998286783695221,726.5221557617188,730.8653564453125,0.9985830783843994,623.0885620117188,755.2891235351562,0.9985223412513733,722.453369140625,734.2721557617188,0.04103158786892891,628.3262939453125,753.939697265625,0.03339703753590584,773.707763671875,730.5183715820312,0.9938746094703674,775.6532592773438,728.1188354492188,0.03016318380832672,706.0369873046875,715.8381958007812,0.015566201880574226,803.560302734375,704.7401123046875,0.02258545346558094,783.4735717773438,732.7197875976562,0.008329697884619236
9,135.21311950683594,566.6818237304688,0.9998898506164551,52.918678283691406,630.7078857421875,0.016528626903891563,57.08460998535156,631.042236328125,0.9983900785446167,726.5221557617188,730.8653564453125,0.9983955025672913,623.0885620117188,755.14208984375,0.9981708526611328,722.453369140625,734.2721557617188,0.03511897474527359,628.3745727539062,753.918701171875,0.034760572016239166,773.707763671875,730.5183715820312,0.9937698245048523,775.6532592773438,728.1188354492188,0.030835678800940514,705.972412109375,715.64453125,0.012454602867364883,803.5209350585938,704.8051147460938,0.013584097847342491,783.4735717773438,732.691650390625,0.008398259989917278
