scorer,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000,DLC_resnet50_painaaJul25shuffle1_200000
bodyparts,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,nose,nose,nose,left_center_paw,left_center_paw,left_center_paw,left_toe,left_toe,left_toe,right_center_paw,right_center_paw,right_center_paw,right_toe,right_toe,right_toe,left_heel,left_heel,left_heel,right_heel,right_heel,right_heel,right_ankle,right_ankle,right_ankle,left_ankle,left_ankle,left_ankle,chest_center,chest_center,chest_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,254.03933715820312,383.0387268066406,0.015407891012728214,526.295166015625,682.5869140625,0.017866527661681175,682.4960327148438,723.7101440429688,0.017754051834344864,623.8992919921875,725.8753662109375,0.9989069700241089,528.7283935546875,752.7078857421875,0.9994055032730103,622.6026611328125,728.3624267578125,0.04219053313136101,534.0955200195312,752.708251953125,0.02816767245531082,669.3212280273438,730.1791381835938,0.9807588458061218,907.2239379882812,665.925048828125,0.031624022871255875,705.4533081054688,701.874755859375,0.0226813405752182,705.8104248046875,701.6109008789062,0.7278261184692383,619.1253662109375,718.0155639648438,0.01169547252357006
1,254.78689575195312,383.04205322265625,0.11410399526357651,526.8165283203125,753.853759765625,0.012847168371081352,682.6943359375,724.1473388671875,0.015100011602044106,624.4937133789062,726.48828125,0.9988252520561218,529.1983032226562,752.7078857421875,0.9993023872375488,623.2531127929688,728.4389038085938,0.05901096388697624,596.184326171875,752.708251953125,0.03954147920012474,670.2921142578125,730.1791381835938,0.986370325088501,907.3304443359375,666.45263671875,0.020757323130965233,705.489990234375,702.0126342773438,0.03194540739059448,705.94873046875,701.86865234375,0.7961804270744324,619.16943359375,718.1082763671875,0.012760328128933907
2,254.78689575195312,383.1483154296875,0.16513259708881378,526.8165283203125,753.853759765625,0.013877677731215954,682.6943359375,724.1631469726562,0.01175509300082922,624.4937133789062,726.48828125,0.9982597231864929,529.1983032226562,752.7078857421875,0.9994377493858337,623.2531127929688,728.4389038085938,0.04562964662909508,596.2205200195312,752.8643188476562,0.0318128801882267,670.3565063476562,730.1929931640625,0.9856197834014893,907.3304443359375,666.749755859375,0.03181963786482811,705.489990234375,702.043212890625,0.02890232764184475,706.009033203125,702.2460327148438,0.7434588670730591,619.1746826171875,718.1180419921875,0.012320974841713905
3,254.78689575195312,383.1483154296875,0.05402478948235512,526.8165283203125,753.8402709960938,0.017308099195361137,682.6943359375,724.1631469726562,0.01943344995379448,623.8992919921875,725.8753662109375,0.9988055229187012,529.1983032226562,752.6800537109375,0.9993147850036621,622.6026611328125,728.3624267578125,0.06320234388113022,596.2205200195312,752.8643188476562,0.049686040729284286,670.3565063476562,730.1791381835938,0.9852664470672607,907.3304443359375,666.7742309570312,0.03752683848142624,705.489990234375,702.0126342773438,0.03046119213104248,706.023681640625,701.86865234375,0.8060628771781921,619.1917724609375,718.1082763671875,0.011999054811894894
4,254.78689575195312,383.1998596191406,0.14839139580726624,526.295166015625,753.8402709960938,0.015111276879906654,682.6943359375,724.1473388671875,0.017828170210123062,623.8992919921875,725.8753662109375,0.998744010925293,529.1983032226562,752.6800537109375,0.9992803931236267,622.6026611328125,728.0460815429688,0.03727620095014572,596.184326171875,752.55615234375,0.04002879559993744,670.4913940429688,730.0617065429688,0.9889851808547974,907.0963134765625,666.7742309570312,0.04193398356437683,705.5411987304688,701.874755859375,0.028881877660751343,706.023681640625,701.86865234375,0.8176929354667664,619.2099609375,718.0551147460938,0.012449103407561779
5,254.52786254882812,383.1998596191406,0.07010697573423386,526.2874145507812,753.8067016601562,0.017161596566438675,682.9512329101562,724.034912109375,0.013296271674335003,623.9080200195312,725.7664794921875,0.9986261129379272,529.110595703125,752.6800537109375,0.9993597865104675,622.5537109375,728.01318359375,0.048327069729566574,595.600341796875,752.55615234375,0.04222483932971954,670.8020629882812,729.7998046875,0.9828264117240906,907.0963134765625,666.7742309570312,0.07138889282941818,705.5411987304688,701.9097290039062,0.03389958664774895,706.2626953125,702.2460327148438,0.8283517360687256,619.2545776367188,718.0551147460938,0.012348161078989506
6,254.52786254882812,383.3807678222656,0.02078274078667164,526.2874145507812,753.8067016601562,0.01532451156526804,682.9512329101562,724.034912109375,0.008934499695897102,623.4210205078125,725.34716796875,0.9985830783843994,528.950927734375,752.7735595703125,0.9992524981498718,622.3435668945312,727.5777587890625,0.04817379638552666,533.4898681640625,752.6918334960938,0.026931272819638252,670.8020629882812,729.7998046875,0.9820417165756226,906.8002319335938,666.484375,0.04962346330285072,705.377197265625,701.84326171875,0.02875845693051815,706.2626953125,701.8226318359375,0.752402663230896,619.359375,718.0118408203125,0.011771784164011478
7,254.35198974609375,383.1998596191406,0.05574388429522514,526.3584594726562,753.7928466796875,0.013829763978719711,683.131591796875,723.9946899414062,0.013086571358144283,623.9080200195312,725.34716796875,0.9984241724014282,528.8493041992188,752.995849609375,0.9994361996650696,622.5537109375,727.5777587890625,0.044970620423555374,533.4898681640625,736.7742309570312,0.0383891686797142,670.973876953125,729.7479858398438,0.9867440462112427,906.9679565429688,666.4556884765625,0.025039788335561752,705.240966796875,701.84326171875,0.03010844625532627,706.3084716796875,701.8226318359375,0.7929616570472717,619.359375,718.0118408203125,0.011248023249208927
8,254.35198974609375,383.282470703125,0.5130035281181335,526.3584594726562,753.7928466796875,0.015744667500257492,683.131591796875,723.9946899414062,0.01690949872136116,624.0223999023438,726.4320678710938,0.9989044666290283,528.8493041992188,752.995849609375,0.9993314743041992,622.7620849609375,728.0460815429688,0.0491882860660553,595.600341796875,752.6918334960938,0.025779377669095993,670.9160766601562,729.7026977539062,0.9807218313217163,907.0963134765625,666.4556884765625,0.020310737192630768,705.0709838867188,701.9097290039062,0.03888285532593727,706.3084716796875,702.2110595703125,0.825164794921875,619.2545776367188,718.0118408203125,0.011429831385612488
9,254.10665893554688,383.282470703125,0.06616590172052383,526.5636596679688,753.9141235351562,0.015360810793936253,682.910400390625,724.0272216796875,0.014977065846323967,623.9080200195312,725.23046875,0.9989323019981384,528.8493041992188,753.0615234375,0.9994404911994934,622.6281127929688,727.5777587890625,0.055361200124025345,595.600341796875,752.881103515625,0.02851971425116062,670.9160766601562,729.7026977539062,0.9820928573608398,906.9679565429688,666.4556884765625,0.02984701469540596,705.0709838867188,701.9097290039062,0.03942829370498657,706.3678588867188,702.2110595703125,0.7535507678985596,619.359375,718.057861328125,0.011373605579137802
