scorer,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1171.4759521484375,325.80914306640625,0.7275252342224121,1152.39404296875,387.0633239746094,0.5216658115386963,1108.105224609375,532.287841796875,0.9535940885543823
1,1169.9246826171875,326.5535888671875,0.7677156925201416,1153.37890625,384.84014892578125,0.5136852860450745,1107.987060546875,531.8854370117188,0.9539996981620789
2,1170.37646484375,326.1838684082031,0.7175160050392151,1150.459228515625,385.10418701171875,0.4392342269420624,1107.7991943359375,531.807373046875,0.9523015022277832
3,1169.294189453125,325.52532958984375,0.7782900333404541,1149.564697265625,385.9797668457031,0.421364426612854,1107.8101806640625,532.2929077148438,0.9505791068077087
4,1169.246826171875,325.11932373046875,0.7398410439491272,1152.0595703125,381.009521484375,0.4739462435245514,1107.893310546875,532.2228393554688,0.9498708248138428
5,1169.8076171875,324.1756591796875,0.7070440053939819,1148.7261962890625,386.8550109863281,0.3538891673088074,1107.83740234375,531.8067626953125,0.9534246325492859
6,1169.1954345703125,323.77264404296875,0.7543696165084839,1149.9854736328125,399.9003601074219,0.29774391651153564,1107.5416259765625,531.98291015625,0.9529238939285278
7,1168.0009765625,324.4015808105469,0.7191158533096313,1147.286865234375,400.1768493652344,0.3266344666481018,1107.9482421875,532.0386352539062,0.9499778151512146
8,1167.7247314453125,326.6989440917969,0.691444456577301,1150.761474609375,381.2535095214844,0.36979562044143677,1107.8004150390625,532.710693359375,0.9528146982192993
9,1166.63134765625,325.3323059082031,0.7536391019821167,1146.6728515625,399.27154541015625,0.3569338917732239,1107.7742919921875,533.1512451171875,0.9520370960235596
10,1162.0074462890625,326.4566345214844,0.7211130261421204,1147.2305908203125,374.2255859375,0.31189247965812683,1107.7232666015625,533.3040771484375,0.9539139866828918
11,1163.732177734375,325.99005126953125,0.8011560440063477,1149.6524658203125,368.7528076171875,0.2696719169616699,1107.3760986328125,533.1260986328125,0.9562944173812866
12,1161.51904296875,326.0679626464844,0.6910098791122437,1148.8326416015625,368.3055419921875,0.32775163650512695,1107.0933837890625,533.2828979492188,0.9522852897644043
13,1161.1405029296875,323.8507385253906,0.629220724105835,1149.2567138671875,407.2634582519531,0.3715589642524719,1107.130126953125,533.4129028320312,0.9542278051376343
14,1156.908447265625,317.57403564453125,0.5071903467178345,1148.6650390625,407.390625,0.3962442874908447,1107.0994873046875,533.5676879882812,0.9545994997024536
15,1156.2384033203125,315.720703125,0.5547778606414795,1142.9111328125,408.2154541015625,0.4492156505584717,1106.9173583984375,533.31640625,0.9551815390586853
16,1157.901123046875,310.6123046875,0.4854799509048462,1149.1927490234375,407.527587890625,0.4552605152130127,1106.5179443359375,532.9013061523438,0.9554136991500854
17,1157.62744140625,326.21636962890625,0.3796377182006836,1141.8529052734375,408.464111328125,0.5277884602546692,1106.3990478515625,533.05615234375,0.9582902193069458
18,1155.0830078125,316.71820068359375,0.47004619240760803,1141.4703369140625,407.27520751953125,0.6522131562232971,1106.319091796875,533.7125244140625,0.9576472043991089
19,1154.5286865234375,317.92401123046875,0.3884146213531494,1140.9610595703125,407.5146179199219,0.6640042066574097,1106.1956787109375,533.5974731445312,0.958798885345459
20,1152.7850341796875,353.88665771484375,0.50736004114151,1140.4830322265625,407.0172424316406,0.6820679306983948,1106.1351318359375,533.402099609375,0.9612528681755066
21,1157.278076171875,334.397705078125,0.5693049430847168,1140.111083984375,406.9800720214844,0.6989116072654724,1105.822509765625,533.3988647460938,0.9585949182510376
22,1153.4365234375,346.6269226074219,0.6066484451293945,1141.304931640625,402.1331787109375,0.7021036744117737,1105.4793701171875,532.9667358398438,0.9554522037506104
23,1157.08935546875,326.70538330078125,0.7252646088600159,1141.39501953125,401.5944519042969,0.7088011503219604,1105.517578125,532.4880981445312,0.9530057907104492
24,1157.2900390625,325.80902099609375,0.796098530292511,1140.59765625,401.7836608886719,0.760225236415863,1105.352783203125,532.1766967773438,0.952772855758667
25,1157.656982421875,324.2519836425781,0.7491781711578369,1141.12158203125,401.35028076171875,0.754457950592041,1105.5771484375,531.30517578125,0.9460605382919312
26,1156.8841552734375,322.8375244140625,0.7913453578948975,1140.1468505859375,401.85223388671875,0.7400460243225098,1105.8583984375,531.2813720703125,0.9452553987503052
27,1156.9952392578125,324.01116943359375,0.7179031372070312,1140.2821044921875,402.2839050292969,0.7134519815444946,1105.5343017578125,530.9763793945312,0.9372665882110596
28,1145.9722900390625,352.2435607910156,0.8232208490371704,1140.3038330078125,402.34039306640625,0.7304908037185669,1105.5020751953125,530.9517822265625,0.9464800357818604
29,1145.9644775390625,351.6009826660156,0.7919558882713318,1140.560791015625,401.59271240234375,0.7032555341720581,1105.872802734375,531.1098022460938,0.9475162029266357
30,1146.6748046875,351.68316650390625,0.7172865867614746,1140.893310546875,402.3418273925781,0.7836869955062866,1105.6575927734375,531.3319702148438,0.9473675489425659
31,1151.20947265625,345.0255126953125,0.6407716274261475,1140.358642578125,402.3586730957031,0.7761520147323608,1105.2667236328125,530.50830078125,0.936277449131012
32,1153.3546142578125,316.81988525390625,0.7705729007720947,1140.8125,402.31939697265625,0.722649872303009,1105.4481201171875,528.7894897460938,0.9401794075965881
33,1152.0047607421875,323.18359375,0.7535225749015808,1141.5362548828125,401.95001220703125,0.6590313911437988,1105.2408447265625,528.1793823242188,0.9478760957717896
34,1150.15673828125,332.6349792480469,0.8053367137908936,1142.326904296875,401.7969970703125,0.6467416882514954,1105.5380859375,528.6484985351562,0.9509514570236206
35,1147.603759765625,339.0167236328125,0.833665668964386,1142.19189453125,401.6617736816406,0.7100163102149963,1105.646484375,528.4526977539062,0.9488295316696167
