framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1699635569406132,393826,2778,75619,0,0,0.018
1,1699635569410111,393827,2778,79626,0,0,251.319
2,1699635569414133,393828,2778,83633,0,0,248.633
3,1699635569418146,393829,2778,87637,0,0,249.190
4,1699635569422142,393830,2778,91644,0,0,250.250
5,1699635569426156,393831,2778,95648,0,0,249.128
6,1699635569430140,393832,2778,99656,0,0,251.004
7,1699635569434140,393833,2778,103663,0,0,250.000
8,1699635569438144,393834,2778,107667,0,0,249.750
9,1699635569442202,393835,2778,111674,0,0,246.427
10,1699635569446055,393836,2778,115681,0,0,259.538
11,1699635569450218,393837,2778,119685,0,0,240.211
12,1699635569454215,393838,2778,123693,0,0,250.188
13,1699635569458178,393839,2778,127700,0,0,252.334
14,1699635569462049,393840,2778,131704,0,0,258.331
15,1699635569466209,393841,2778,135711,0,0,240.385
16,1699635569470215,393842,2778,139715,0,0,249.626
17,1699635569474237,393843,2778,143722,0,0,248.633
18,1699635569478205,393844,2778,147730,0,0,252.016
19,1699635569482225,393845,2778,151734,0,0,248.756
20,1699635569486223,393846,2778,155741,0,0,250.125
21,1699635569490148,393847,2778,159748,0,0,254.777
22,1699635569494225,393848,2778,163752,0,0,245.278
23,1699635569498256,393849,2778,167759,0,0,248.077
24,1699635569502135,393850,2778,171764,0,0,257.798
25,1699635569506265,393851,2778,175771,0,0,242.131
26,1699635569510271,393852,2778,179778,0,0,249.626
27,1699635569514295,393853,2778,183782,0,0,248.509
28,1699635569518160,393854,2778,187789,0,0,258.732
29,1699635569522286,393855,2778,191796,0,0,242.365
30,1699635569526175,393856,2778,195801,0,0,257.136
31,1699635569530292,393857,2778,199808,0,0,242.895
32,1699635569534187,393858,2778,203815,0,0,256.739
33,1699635569538296,393859,2778,207819,0,0,243.368
34,1699635569542209,393860,2778,211826,0,0,255.558
35,1699635569546225,393861,2778,215831,0,0,249.004
36,1699635569550217,393862,2778,219838,0,0,250.501
37,1699635569554340,393863,2778,223845,0,0,242.542
38,1699635569558225,393864,2778,227849,0,0,257.400
39,1699635569562198,393865,2778,231856,0,0,251.699
40,1699635569566248,393866,2778,235863,0,0,246.914
41,1699635569570251,393867,2778,239868,0,0,249.813
42,1699635569574263,393868,2778,243875,0,0,249.252
43,1699635569578367,393869,2778,247879,0,0,243.665
44,1699635569582265,393870,2778,251886,0,0,256.542
45,1699635569586384,393871,2778,255893,0,0,242.777
46,1699635569590288,393872,2778,259898,0,0,256.148
47,1699635569594385,393873,2778,263905,0,0,244.081
48,1699635569598303,393874,2778,267912,0,0,255.232
49,1699635569602406,393875,2778,271916,0,0,243.724
50,1699635569606294,393876,2778,275923,0,0,257.202
51,1699635569610416,393877,2778,279930,0,0,242.601
52,1699635569614345,393878,2778,283935,0,0,254.518
53,1699635569618427,393879,2778,287942,0,0,244.978
54,1699635569622336,393880,2778,291946,0,0,255.820
55,1699635569626443,393881,2778,295953,0,0,243.487
56,1699635569630443,393882,2778,299960,0,0,250.000
57,1699635569634455,393883,2778,303965,0,0,249.252
58,1699635569638369,393884,2778,307972,0,0,255.493
