framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1708634909296094,375922,5943,452647,0,0,0.022
1,1708634909300082,375923,5943,456654,0,0,250.752
2,1708634909304114,375924,5943,460658,0,0,248.016
3,1708634909308096,375925,5943,464665,0,0,251.130
4,1708634909312104,375926,5943,468672,0,0,249.501
5,1708634909316115,375927,5943,472677,0,0,249.314
6,1708634909320121,375928,5943,476684,0,0,249.626
7,1708634909324137,375929,5943,480688,0,0,249.004
8,1708634909328157,375930,5943,484695,0,0,248.756
9,1708634909332177,375931,5943,488702,0,0,248.756
10,1708634909336178,375932,5943,492707,0,0,249.938
11,1708634909340154,375933,5943,496714,0,0,251.509
12,1708634909344186,375934,5943,500721,0,0,248.016
13,1708634909348162,375935,5943,504725,0,0,251.509
14,1708634909352193,375936,5943,508732,0,0,248.077
15,1708634909356187,375937,5943,512737,0,0,250.376
16,1708634909360215,375938,5943,516744,0,0,248.262
17,1708634909364214,375939,5943,520751,0,0,250.063
18,1708634909368197,375940,5943,524755,0,0,251.067
19,1708634909372203,375941,5943,528762,0,0,249.626
20,1708634909376207,375942,5943,532769,0,0,249.750
21,1708634909380237,375943,5943,536774,0,0,248.139
22,1708634909384224,375944,5943,540781,0,0,250.815
23,1708634909388230,375945,5943,544788,0,0,249.626
24,1708634909392232,375946,5943,548792,0,0,249.875
25,1708634909396242,375947,5943,552799,0,0,249.377
26,1708634909400240,375948,5943,556804,0,0,250.125
27,1708634909404251,375949,5943,560811,0,0,249.314
28,1708634909408243,375950,5943,564818,0,0,250.501
29,1708634909412264,375951,5943,568822,0,0,248.694
30,1708634909416260,375952,5943,572829,0,0,250.250
31,1708634909420270,375953,5943,576836,0,0,249.377
32,1708634909424316,375954,5943,580841,0,0,247.158
33,1708634909428309,375955,5943,584848,0,0,250.438
34,1708634909432312,375956,5943,588852,0,0,249.813
35,1708634909436320,375957,5943,592859,0,0,249.501
36,1708634909440324,375958,5943,596866,0,0,249.750
37,1708634909444335,375959,5943,600871,0,0,249.314
38,1708634909448324,375960,5943,604878,0,0,250.689
39,1708634909452344,375961,5943,608885,0,0,248.756
40,1708634909456365,375962,5943,612889,0,0,248.694
41,1708634909460338,375963,5943,616896,0,0,251.699
42,1708634909464341,375964,5943,620901,0,0,249.813
43,1708634909468353,375965,5943,624908,0,0,249.252
44,1708634909472360,375966,5943,628915,0,0,249.563
45,1708634909476368,375967,5943,632919,0,0,249.501
46,1708634909480396,375968,5943,636926,0,0,248.262
47,1708634909484366,375969,5943,640933,0,0,251.889
48,1708634909488385,375970,5943,644938,0,0,248.818
49,1708634909492392,375971,5943,648945,0,0,249.563
50,1708634909496379,375972,5943,652952,0,0,250.815
51,1708634909500382,375973,5943,656956,0,0,249.813
52,1708634909504403,375974,5943,660963,0,0,248.694
53,1708634909508840,375975,5943,664967,0,0,225.378
54,1708634909512406,375976,5943,668975,0,0,280.426
55,1708634909517232,375977,5943,672982,0,0,207.211
56,1708634909520493,375978,5943,676986,0,0,306.654
57,1708634909524714,375979,5943,680993,0,0,236.911
58,1708634909528735,375980,5943,685000,0,0,248.694
59,1708634909532760,375981,5943,689004,0,0,248.447
60,1708634909536886,375982,5943,693012,0,0,242.365
61,1708634909541033,375983,5943,697016,0,0,241.138
62,1708634909545020,375984,5943,701023,0,0,250.815
63,1708634909548949,375985,5943,705030,0,0,254.518
64,1708634909553033,375986,5943,709034,0,0,244.858
65,1708634909556949,375987,5943,713041,0,0,255.363
66,1708634909561065,375988,5943,717049,0,0,242.954
67,1708634909565050,375989,5943,721053,0,0,250.941
68,1708634909568711,375990,5943,725060,0,0,273.149
69,1708634909572690,375991,5943,729067,0,0,251.319
70,1708634909576692,375992,5943,733071,0,0,249.875
71,1708634909580697,375993,5943,737078,0,0,249.688
72,1708634909584716,375994,5943,741083,0,0,248.818
73,1708634909588696,375995,5943,745090,0,0,251.256
74,1708634909592713,375996,5943,749097,0,0,248.942
75,1708634909596715,375997,5943,753101,0,0,249.875
76,1708634909600719,375998,5943,757108,0,0,249.750
77,1708634909604731,375999,5943,761115,0,0,249.252
78,1708634909609140,376000,5943,765120,0,0,226.809
79,1708634909613202,376001,5943,769127,0,0,246.184
80,1708634909616808,376002,5943,773131,0,0,277.316
81,1708634909621067,376003,5943,777138,0,0,234.797
82,1708634909625200,376004,5943,781145,0,0,241.955
83,1708634909629203,376005,5943,785150,0,0,249.813
84,1708634909632813,376006,5943,789157,0,0,277.008
85,1708634909636812,376007,5943,793164,0,0,250.063
86,1708634909640809,376008,5943,797168,0,0,250.188
87,1708634909645215,376009,5943,801175,0,0,226.963
88,1708634909649079,376010,5943,805182,0,0,258.799
89,1708634909653217,376011,5943,809187,0,0,241.663
90,1708634909657118,376012,5943,813194,0,0,256.345
91,1708634909661240,376013,5943,817198,0,0,242.601
92,1708634909665239,376014,5943,821205,0,0,250.063
93,1708634909668845,376015,5943,825212,0,0,277.316
94,1708634909672838,376016,5943,829217,0,0,250.438
95,1708634909676864,376017,5943,833224,0,0,248.385
96,1708634909680869,376018,5943,837231,0,0,249.688
97,1708634909684848,376019,5943,841235,0,0,251.319
98,1708634909688862,376020,5943,845242,0,0,249.128
99,1708634909692861,376021,5943,849247,0,0,250.063
100,1708634909696890,376022,5943,853254,0,0,248.201
101,1708634909700917,376023,5943,857261,0,0,248.324
102,1708634909704921,376024,5943,861265,0,0,249.750
103,1708634909709338,376025,5943,865272,0,0,226.398
104,1708634909713361,376026,5943,869279,0,0,248.571
105,1708634909716946,376027,5943,873284,0,0,278.940
106,1708634909721232,376028,5943,877291,0,0,233.318
107,1708634909725329,376029,5943,881295,0,0,244.081
108,1708634909729350,376030,5943,885302,0,0,248.694
109,1708634909732958,376031,5943,889309,0,0,277.162
110,1708634909736928,376032,5943,893314,0,0,251.889
111,1708634909740932,376033,5943,897321,0,0,249.750
112,1708634909745384,376034,5943,901328,0,0,224.618
113,1708634909748979,376035,5943,905332,0,0,278.164
114,1708634909753399,376036,5943,909339,0,0,226.244
115,1708634909757329,376037,5943,913346,0,0,254.453
116,1708634909761371,376038,5943,917351,0,0,247.402
117,1708634909765381,376039,5943,921358,0,0,249.377
118,1708634909769034,376040,5943,925362,0,0,273.748
119,1708634909772993,376041,5943,929369,0,0,252.589
120,1708634909776991,376042,5943,933376,0,0,250.125
121,1708634909781009,376043,5943,937381,0,0,248.880
122,1708634909784998,376044,5943,941388,0,0,250.689
123,1708634909789011,376045,5943,945395,0,0,249.190
124,1708634909793025,376046,5943,949399,0,0,249.128
125,1708634909797040,376047,5943,953406,0,0,249.066
126,1708634909801064,376048,5943,957410,0,0,248.509
