scorer,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1024.0980224609375,279.614990234375,0.0011418461799621582,1452.20458984375,700.9046020507812,0.00045680999755859375,1456.8721923828125,699.6693725585938,0.018786221742630005
1,1024.332763671875,279.3578796386719,0.0009792149066925049,1.9058234691619873,668.150390625,0.0003584921360015869,1456.8011474609375,699.8585815429688,0.017734050750732422
2,1024.098876953125,279.6218566894531,0.0007985830307006836,2.5697391033172607,668.0181884765625,0.0004227161407470703,1456.8912353515625,699.9265747070312,0.017884105443954468
3,1451.0936279296875,698.2908935546875,0.00047656893730163574,1.8208122253417969,1.6895859241485596,0.0003676414489746094,1456.8631591796875,699.8604125976562,0.017722904682159424
4,1008.1441040039062,395.60443115234375,0.0006586015224456787,1007.0867919921875,427.30072021484375,0.0006296038627624512,1456.991455078125,699.92822265625,0.015809625387191772
5,1009.0441284179688,394.51226806640625,0.0005594491958618164,1007.6177368164062,427.185791015625,0.0004481971263885498,1457.0516357421875,699.9700317382812,0.01952838897705078
6,1009.304443359375,394.86358642578125,0.0006881356239318848,1007.5770874023438,427.2381286621094,0.0006369054317474365,1457.157470703125,700.0780029296875,0.015884578227996826
7,1008.3897705078125,402.4571838378906,0.0009868144989013672,1007.7047119140625,426.5434265136719,0.0007213950157165527,1457.043212890625,699.8661499023438,0.01699584722518921
8,1005.273193359375,416.8805236816406,0.001080840826034546,1007.2841186523438,426.3705139160156,0.0011648833751678467,1457.0498046875,699.784423828125,0.01684632897377014
9,1010.6809692382812,381.89215087890625,0.0018598437309265137,1007.2559204101562,426.0011291503906,0.0011733770370483398,1457.0230712890625,699.8355712890625,0.01633325219154358
10,1008.2192993164062,409.0833740234375,0.0015406012535095215,1007.588623046875,426.1279602050781,0.0007190406322479248,1457.00390625,699.9833374023438,0.014191001653671265
11,1008.457763671875,408.79937744140625,0.0015549957752227783,1007.5131225585938,426.1233215332031,0.0010730326175689697,1457.19140625,699.6558837890625,0.022485554218292236
12,1011.35498046875,388.1247253417969,0.0023901760578155518,1007.6322021484375,425.822509765625,0.0021278858184814453,1457.0579833984375,699.95361328125,0.01857125759124756
13,1009.6998291015625,409.81622314453125,0.0020017623901367188,1007.4856567382812,426.4239501953125,0.0014415383338928223,1457.11376953125,700.1227416992188,0.013200700283050537
14,1011.87451171875,395.3727111816406,0.0011477768421173096,1007.6041870117188,426.72467041015625,0.0012193918228149414,1457.072998046875,700.2462158203125,0.013685643672943115
15,1011.8131103515625,395.6236572265625,0.003377377986907959,1011.5042114257812,398.97503662109375,0.0008560121059417725,1456.9073486328125,700.611083984375,0.0067140161991119385
16,1011.8445434570312,396.0126953125,0.004145830869674683,1008.8847045898438,426.54034423828125,0.0015015006065368652,1456.9459228515625,700.1876220703125,0.0059556663036346436
17,1012.2067260742188,396.5386962890625,0.005274713039398193,1009.5897827148438,426.6253356933594,0.0013041198253631592,1457.0506591796875,700.1863403320312,0.0062261223793029785
18,1012.2969970703125,396.55560302734375,0.005287498235702515,1009.538330078125,426.2102966308594,0.0012922286987304688,1457.0699462890625,700.0297241210938,0.007557302713394165
19,1012.4820556640625,396.498291015625,0.009403228759765625,1009.8075561523438,426.53125,0.0015723109245300293,1457.090087890625,700.1729125976562,0.008200526237487793
20,1012.4285278320312,396.481689453125,0.010924935340881348,1011.7721557617188,398.5470886230469,0.0019289255142211914,1457.02685546875,700.159423828125,0.007272571325302124
21,1012.246826171875,395.98504638671875,0.0045623779296875,1011.99365234375,398.4415588378906,0.0010010898113250732,1456.878173828125,700.0399780273438,0.008584022521972656
22,1012.4537353515625,396.1982116699219,0.005645394325256348,1010.37451171875,426.1641540527344,0.0013069212436676025,1456.9669189453125,700.1622314453125,0.008201539516448975
23,1012.7105712890625,396.284423828125,0.005528628826141357,1012.46484375,398.8119201660156,0.0015737712383270264,1456.9945068359375,700.1942749023438,0.008418023586273193
24,1012.3399047851562,395.057373046875,0.005262136459350586,1012.8998413085938,399.0761413574219,0.0028693974018096924,1457.071533203125,700.1358032226562,0.009641706943511963
25,1012.5582885742188,395.3465270996094,0.009943187236785889,1012.464599609375,398.6570129394531,0.0026513636112213135,1456.9844970703125,700.1720581054688,0.010397136211395264
26,1012.548095703125,395.20758056640625,0.005111515522003174,1012.545654296875,398.4972229003906,0.0012446045875549316,1456.912109375,700.1627807617188,0.013443946838378906
27,1012.3569946289062,394.5228271484375,0.002825021743774414,1012.7080078125,398.1891174316406,0.0008695125579833984,1456.9921875,700.037841796875,0.012448221445083618
28,1012.3799438476562,395.1432189941406,0.004161238670349121,1012.5027465820312,398.2941589355469,0.0011255741119384766,1456.96728515625,699.8239135742188,0.011280328035354614
29,1012.5064697265625,395.0870666503906,0.005765974521636963,1012.5764770507812,398.2575378417969,0.0013083219528198242,1457.1083984375,699.83544921875,0.01142585277557373
30,1012.460693359375,395.3290100097656,0.005004078149795532,1012.5838623046875,398.2961120605469,0.0012980103492736816,1457.02587890625,699.8406372070312,0.011227518320083618
31,1028.025390625,366.8711242675781,0.009324461221694946,1012.6961669921875,398.3106689453125,0.002081573009490967,1456.8863525390625,699.5952758789062,0.012067317962646484
32,1028.7667236328125,366.9415283203125,0.007174313068389893,1012.832275390625,398.3171081542969,0.0013724863529205322,1457.097412109375,699.7184448242188,0.011102288961410522
33,1028.5185546875,366.5831298828125,0.005630552768707275,1012.8562622070312,398.1507568359375,0.0013849735260009766,1457.003662109375,699.7560424804688,0.011555582284927368
34,1012.700927734375,395.556884765625,0.0038361847400665283,1012.6549682617188,398.13104248046875,0.0005973577499389648,1456.929931640625,699.7227783203125,0.011487483978271484
