framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1696006808708109,607157,4722,692661,0,0,0.020
1,1696006808712102,607158,4722,696665,0,0,250.438
2,1696006808716454,607159,4722,700672,0,0,229.779
3,1696006808720368,607160,4722,704677,0,0,255.493
4,1696006808724479,607161,4722,708684,0,0,243.250
5,1696006808728479,607162,4722,712691,0,0,250.000
6,1696006808732490,607163,4722,716695,0,0,249.314
7,1696006808736521,607164,4722,720702,0,0,248.077
8,1696006808740511,607165,4722,724709,0,0,250.627
9,1696006808744515,607166,4722,728714,0,0,249.750
10,1696006808748514,607167,4722,732721,0,0,250.063
11,1696006808752194,607168,4722,736728,0,0,271.739
12,1696006808756175,607169,4722,740732,0,0,251.193
13,1696006808760169,607170,4722,744739,0,0,250.376
14,1696006808764179,607171,4722,748744,0,0,249.377
15,1696006808768170,607172,4722,752751,0,0,250.564
16,1696006808772196,607173,4722,756758,0,0,248.385
17,1696006808776183,607174,4722,760762,0,0,250.815
18,1696006808780194,607175,4722,764769,0,0,249.314
19,1696006808784210,607176,4722,768776,0,0,249.004
20,1696006808788208,607177,4722,772781,0,0,250.125
21,1696006808792219,607178,4722,776788,0,0,249.314
22,1696006808796223,607179,4722,780795,0,0,249.750
23,1696006808800231,607180,4722,784799,0,0,249.501
24,1696006808804234,607181,4722,788806,0,0,249.813
25,1696006808808245,607182,4722,792813,0,0,249.314
26,1696006808812240,607183,4722,796818,0,0,250.313
27,1696006808816605,607184,4722,800825,0,0,229.095
28,1696006808820521,607185,4722,804829,0,0,255.363
29,1696006808824622,607186,4722,808836,0,0,243.843
30,1696006808828640,607187,4722,812843,0,0,248.880
31,1696006808832641,607188,4722,816847,0,0,249.938
32,1696006808836657,607189,4722,820855,0,0,249.004
33,1696006808840661,607190,4722,824862,0,0,249.750
34,1696006808844672,607191,4722,828866,0,0,249.314
35,1696006808848663,607192,4722,832873,0,0,250.564
36,1696006808852670,607193,4722,836880,0,0,249.563
37,1696006808856345,607194,4722,840884,0,0,272.109
38,1696006808860323,607195,4722,844892,0,0,251.383
39,1696006808864320,607196,4722,848896,0,0,250.188
40,1696006808868330,607197,4722,852903,0,0,249.377
41,1696006808872336,607198,4722,856910,0,0,249.626
42,1696006808876375,607199,4722,860914,0,0,247.586
43,1696006808880356,607200,4722,864921,0,0,251.193
44,1696006808884381,607201,4722,868929,0,0,248.447
45,1696006808888846,607202,4722,872933,0,0,223.964
46,1696006808892409,607203,4722,876940,0,0,280.662
47,1696006808896381,607204,4722,880947,0,0,251.762
48,1696006808900378,607205,4722,884951,0,0,250.188
49,1696006808904378,607206,4722,888958,0,0,250.000
50,1696006808908412,607207,4722,892966,0,0,247.893
51,1696006808912394,607208,4722,896970,0,0,251.130
52,1696006808916758,607209,4722,900977,0,0,229.148
53,1696006808920680,607210,4722,904981,0,0,254.972
54,1696006808924784,607211,4722,908988,0,0,243.665
55,1696006808928795,607212,4722,912995,0,0,249.314
56,1696006808932848,607213,4722,917000,0,0,246.731
57,1696006808936813,607214,4722,921007,0,0,252.207
58,1696006808940800,607215,4722,925014,0,0,250.815
59,1696006808944854,607216,4722,929018,0,0,246.670
60,1696006808948819,607217,4722,933025,0,0,252.207
61,1696006808952497,607218,4722,937032,0,0,271.887
62,1696006808956499,607219,4722,941037,0,0,249.875
63,1696006808960478,607220,4722,945044,0,0,251.319
64,1696006808964480,607221,4722,949048,0,0,249.875
65,1696006808968493,607222,4722,953055,0,0,249.190
66,1696006808972504,607223,4722,957062,0,0,249.314
67,1696006808976508,607224,4722,961067,0,0,249.750
68,1696006808980511,607225,4722,965074,0,0,249.813
69,1696006808984518,607226,4722,969081,0,0,249.563
70,1696006808988518,607227,4722,973085,0,0,250.000
71,1696006808992554,607228,4722,977092,0,0,247.770
72,1696006808996540,607229,4722,981099,0,0,250.878
73,1696006809000525,607230,4722,985104,0,0,250.941
74,1696006809004538,607231,4722,989111,0,0,249.190
75,1696006809008540,607232,4722,993118,0,0,249.875
76,1696006809012549,607233,4722,997122,0,0,249.439
77,1696006809016939,607234,4723,1129,0,0,227.790
78,1696006809020828,607235,4723,5134,0,0,257.136
79,1696006809024935,607236,4723,9141,0,0,243.487
80,1696006809028943,607237,4723,13148,0,0,249.501
81,1696006809032969,607238,4723,17152,0,0,248.385
82,1696006809036971,607239,4723,21159,0,0,249.875
83,1696006809040968,607240,4723,25166,0,0,250.188
84,1696006809044629,607241,4723,29171,0,0,273.149
85,1696006809048621,607242,4723,33178,0,0,250.501
86,1696006809052673,607243,4723,37185,0,0,246.792
87,1696006809056662,607244,4723,41189,0,0,250.689
88,1696006809060632,607245,4723,45196,0,0,251.889
89,1696006809064637,607246,4723,49201,0,0,249.688
90,1696006809068641,607247,4723,53208,0,0,249.750
91,1696006809073019,607248,4723,57215,0,0,228.415
92,1696006809076583,607249,4723,61219,0,0,280.584
93,1696006809080600,607250,4723,65226,0,0,248.942
94,1696006809084649,607251,4723,69233,0,0,246.975
95,1696006809088637,607252,4723,73238,0,0,250.752
96,1696006809092661,607253,4723,77245,0,0,248.509
97,1696006809096649,607254,4723,81252,0,0,250.752
98,1696006809100581,607255,4723,85256,0,0,254.323
99,1696006809104681,607256,4723,89263,0,0,243.902
100,1696006809108689,607257,4723,93268,0,0,249.501
101,1696006809112694,607258,4723,97275,0,0,249.688
102,1696006809116710,607259,4723,101282,0,0,249.004
103,1696006809120714,607260,4723,105286,0,0,249.750
104,1696006809124712,607261,4723,109293,0,0,250.125
105,1696006809128730,607262,4723,113300,0,0,248.880
106,1696006809132729,607263,4723,117305,0,0,250.063
107,1696006809136807,607264,4723,121312,0,0,245.218
108,1696006809140998,607265,4723,125319,0,0,238.607
109,1696006809144772,607266,4723,129323,0,0,264.971
110,1696006809148742,607267,4723,133330,0,0,251.889
111,1696006809152742,607268,4723,137337,0,0,250.000
112,1696006809156827,607269,4723,141342,0,0,244.798
113,1696006809160842,607270,4723,145349,0,0,249.066
114,1696006809164791,607271,4723,149353,0,0,253.229
115,1696006809168799,607272,4723,153360,0,0,249.501
116,1696006809172789,607273,4723,157367,0,0,250.627
117,1696006809176800,607274,4723,161372,0,0,249.314
118,1696006809180686,607275,4723,165379,0,0,257.334
119,1696006809184785,607276,4723,169386,0,0,243.962
120,1696006809188783,607277,4723,173390,0,0,250.125
121,1696006809192800,607278,4723,177397,0,0,248.942
122,1696006809196694,607279,4723,181404,0,0,256.805
123,1696006809200814,607280,4723,185409,0,0,242.718
124,1696006809205081,607281,4723,189416,0,0,234.357
125,1696006809208892,607282,4723,193420,0,0,262.398
126,1696006809212836,607283,4723,197427,0,0,253.550
127,1696006809216839,607284,4723,201434,0,0,249.813
128,1696006809221108,607285,4723,205438,0,0,234.247
129,1696006809224884,607286,4723,209446,0,0,264.831
130,1696006809229114,607287,4723,213453,0,0,236.407
131,1696006809233124,607288,4723,217457,0,0,249.377
132,1696006809236920,607289,4723,221464,0,0,263.435
133,1696006809241137,607290,4723,225471,0,0,237.135
134,1696006809244944,607291,4723,229475,0,0,262.674
135,1696006809248906,607292,4723,233483,0,0,252.398
136,1696006809253172,607293,4723,237490,0,0,234.412
137,1696006809256946,607294,4723,241494,0,0,264.971
138,1696006809260923,607295,4723,245501,0,0,251.446
139,1696006809265186,607296,4723,249505,0,0,234.577
140,1696006809268949,607297,4723,253512,0,0,265.745
141,1696006809272944,607298,4723,257520,0,0,250.313
142,1696006809277195,607299,4723,261524,0,0,235.239
143,1696006809280967,607300,4723,265531,0,0,265.111
144,1696006809284951,607301,4723,269538,0,0,251.004
145,1696006809289211,607302,4723,273542,0,0,234.742
146,1696006809292993,607303,4723,277549,0,0,264.410
147,1696006809296978,607304,4723,281557,0,0,250.941
148,1696006809301231,607305,4723,285561,0,0,235.128
149,1696006809304999,607306,4723,289568,0,0,265.393
150,1696006809309255,607307,4723,293572,0,0,234.962
151,1696006809313013,607308,4723,297579,0,0,266.099
152,1696006809317250,607309,4723,301586,0,0,236.016
153,1696006809321023,607310,4723,305591,0,0,265.041
154,1696006809325037,607311,4723,309598,0,0,249.128
155,1696006809329273,607312,4723,313605,0,0,236.072
156,1696006809333281,607313,4723,317609,0,0,249.501
157,1696006809337064,607314,4723,321616,0,0,264.340
158,1696006809341331,607315,4723,325623,0,0,234.357
159,1696006809345073,607316,4723,329628,0,0,267.237
160,1696006809349345,607317,4723,333635,0,0,234.082
161,1696006809353080,607318,4723,337639,0,0,267.738
162,1696006809357371,607319,4723,341646,0,0,233.046
163,1696006809361104,607320,4723,345653,0,0,267.881
164,1696006809365361,607321,4723,349658,0,0,234.907
165,1696006809369100,607322,4723,353665,0,0,267.451
166,1696006809373383,607323,4723,357672,0,0,233.481
167,1696006809377108,607324,4723,361676,0,0,268.456
168,1696006809381394,607325,4723,365683,0,0,233.318
169,1696006809385407,607326,4723,369690,0,0,249.190
170,1696006809389852,607327,4723,373695,0,0,224.972
171,1696006809393152,607328,4723,377702,0,0,303.030
172,1696006809397424,607329,4723,381709,0,0,234.082
173,1696006809401408,607330,4723,385713,0,0,251.004
174,1696006809405443,607331,4723,389720,0,0,247.831
175,1696006809409462,607332,4723,393725,0,0,248.818
176,1696006809413444,607333,4723,397732,0,0,251.130
177,1696006809417450,607334,4723,401739,0,0,249.626
178,1696006809421444,607335,4723,405743,0,0,250.376
179,1696006809425193,607336,4723,409750,0,0,266.738
180,1696006809429464,607337,4723,413757,0,0,234.137
181,1696006809433459,607338,4723,417762,0,0,250.313
182,1696006809437475,607339,4723,421769,0,0,249.004
183,1696006809441464,607340,4723,425776,0,0,250.689
184,1696006809445491,607341,4723,429780,0,0,248.324
185,1696006809449471,607342,4723,433787,0,0,251.256
186,1696006809453485,607343,4723,437792,0,0,249.128
187,1696006809457477,607344,4723,441799,0,0,250.501
188,1696006809461490,607345,4723,445806,0,0,249.190
189,1696006809465492,607346,4723,449810,0,0,249.875
190,1696006809469504,607347,4723,453817,0,0,249.252
191,1696006809473254,607348,4723,457824,0,0,266.667
192,1696006809477535,607349,4723,461829,0,0,233.590
193,1696006809481526,607350,4723,465836,0,0,250.564
194,1696006809485532,607351,4723,469843,0,0,249.626
195,1696006809489532,607352,4723,473847,0,0,250.000
196,1696006809493525,607353,4723,477854,0,0,250.438
197,1696006809497541,607354,4723,481861,0,0,249.004
198,1696006809501550,607355,4723,485866,0,0,249.439
199,1696006809505527,607356,4723,489873,0,0,251.446
200,1696006809509573,607357,4723,493877,0,0,247.158
201,1696006809513570,607358,4723,497884,0,0,250.188
202,1696006809517584,607359,4723,501891,0,0,249.128
203,1696006809521589,607360,4723,505896,0,0,249.688
204,1696006809525724,607361,4723,509903,0,0,241.838
205,1696006809529599,607362,4723,513910,0,0,258.065
206,1696006809533604,607363,4723,517914,0,0,249.688
207,1696006809537634,607364,4723,521921,0,0,248.139
208,1696006809541617,607365,4723,525928,0,0,251.067
209,1696006809545627,607366,4723,529933,0,0,249.377
210,1696006809549639,607367,4723,533940,0,0,249.252
211,1696006809553646,607368,4723,537944,0,0,249.563
212,1696006809557635,607369,4723,541951,0,0,250.689
213,1696006809561637,607370,4723,545958,0,0,249.875
214,1696006809565643,607371,4723,549963,0,0,249.626
215,1696006809569653,607372,4723,553970,0,0,249.377
216,1696006809573697,607373,4723,557977,0,0,247.280
217,1696006809577679,607374,4723,561981,0,0,251.130
218,1696006809581680,607375,4723,565988,0,0,249.938
219,1696006809585674,607376,4723,569995,0,0,250.376
220,1696006809589665,607377,4723,574000,0,0,250.564
221,1696006809593699,607378,4723,578007,0,0,247.893
222,1696006809597714,607379,4723,582011,0,0,249.066
223,1696006809601694,607380,4723,586018,0,0,251.256
224,1696006809605714,607381,4723,590025,0,0,248.756
225,1696006809609727,607382,4723,594029,0,0,249.190
226,1696006809613731,607383,4723,598037,0,0,249.750
227,1696006809617737,607384,4723,602044,0,0,249.626
228,1696006809621755,607385,4723,606048,0,0,248.880
229,1696006809625862,607386,4723,610055,0,0,243.487
230,1696006809629757,607387,4723,614062,0,0,256.739
231,1696006809633769,607388,4723,618066,0,0,249.252
232,1696006809637759,607389,4723,622074,0,0,250.627
233,1696006809641768,607390,4723,626081,0,0,249.439
234,1696006809645769,607391,4723,630085,0,0,249.938
235,1696006809649773,607392,4723,634092,0,0,249.750
236,1696006809653784,607393,4723,638096,0,0,249.314
237,1696006809657786,607394,4723,642103,0,0,249.875
238,1696006809661798,607395,4723,646111,0,0,249.252
239,1696006809665794,607396,4723,650115,0,0,250.250
240,1696006809669808,607397,4723,654122,0,0,249.128
241,1696006809673586,607398,4723,658129,0,0,264.690
242,1696006809677811,607399,4723,662133,0,0,236.686
243,1696006809681798,607400,4723,666140,0,0,250.815
244,1696006809685830,607401,4723,670148,0,0,248.016
