scorer,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,372.3999328613281,364.8062744140625,0.9226580262184143,324.0959777832031,461.4554138183594,0.8742961883544922,403.4941711425781,512.0521850585938,0.9423831701278687
1,374.5235595703125,369.1748962402344,0.8982027173042297,326.6923828125,465.2039489746094,0.8847224116325378,403.7512512207031,514.0372314453125,0.9723700284957886
2,377.9537048339844,373.2318115234375,0.9176322221755981,328.056396484375,470.59423828125,0.8605307340621948,405.6094665527344,518.5365600585938,0.9604604244232178
3,379.3454895019531,377.1715393066406,0.8720493316650391,331.1370544433594,474.70050048828125,0.8538527488708496,404.8008728027344,524.9257202148438,0.9591760635375977
4,379.1168518066406,378.26806640625,0.8745125532150269,330.5606994628906,479.6028137207031,0.8677461743354797,404.63555908203125,528.145263671875,0.9674288630485535
5,381.10308837890625,379.58245849609375,0.8831146955490112,329.4802551269531,483.318115234375,0.912832498550415,404.1925048828125,530.4929809570312,0.9764686822891235
6,379.4442138671875,383.6249694824219,0.8846942186355591,330.43499755859375,484.38104248046875,0.8586702346801758,403.8097839355469,532.73046875,0.9731124043464661
7,380.4508361816406,387.22802734375,0.9156577587127686,329.470947265625,485.079833984375,0.8692154884338379,403.83465576171875,535.048583984375,0.95843106508255
8,379.8417053222656,389.6004333496094,0.9250839948654175,328.8619689941406,486.16998291015625,0.8619766235351562,403.7394104003906,538.317626953125,0.9534000158309937
9,379.31817626953125,390.86138916015625,0.9007529020309448,329.7811584472656,489.1770935058594,0.8637409210205078,403.489501953125,538.3395385742188,0.9546940326690674
10,379.39947509765625,392.74017333984375,0.8727864027023315,329.6669921875,489.3631286621094,0.8639335036277771,403.2152404785156,538.6990966796875,0.9595059156417847
11,379.642822265625,393.2994384765625,0.8808050155639648,331.05413818359375,488.74676513671875,0.8465621471405029,403.47564697265625,538.9564819335938,0.9620152711868286
12,380.1354675292969,394.2938232421875,0.8753589391708374,331.8758850097656,489.2815856933594,0.8593360185623169,403.87322998046875,539.1558227539062,0.9638619422912598
13,380.545654296875,394.50177001953125,0.8840916752815247,332.20556640625,489.8358459472656,0.8643800020217896,403.7671813964844,539.3113403320312,0.9671847224235535
14,381.2141418457031,395.02301025390625,0.8933413028717041,331.8829040527344,490.6797790527344,0.8659412860870361,403.7145690917969,539.1838989257812,0.9688670635223389
15,382.3923645019531,396.82891845703125,0.8861748576164246,331.5390625,490.3208923339844,0.8542787432670593,403.8487548828125,539.5924682617188,0.9706264138221741
16,381.45001220703125,400.1778564453125,0.8954131007194519,331.6325988769531,490.1754455566406,0.8406673073768616,404.13507080078125,539.7588500976562,0.9713965058326721
17,383.68798828125,400.9202575683594,0.9032266736030579,332.116943359375,490.5487365722656,0.8740493059158325,404.0589599609375,539.7728271484375,0.970949649810791
18,384.09588623046875,402.3485412597656,0.8899606466293335,331.3767395019531,494.8094787597656,0.8663416504859924,404.2587890625,539.7327880859375,0.9713349342346191
19,384.51971435546875,404.2358093261719,0.9103399515151978,331.9543762207031,495.10382080078125,0.849625825881958,404.2305603027344,539.9653930664062,0.9707039594650269
20,385.15997314453125,405.57672119140625,0.8914968967437744,331.0219421386719,494.9926452636719,0.8658877015113831,404.413330078125,539.970458984375,0.9720420837402344
21,384.8263244628906,407.2190856933594,0.8869205713272095,332.6181640625,491.17681884765625,0.8291604518890381,404.49981689453125,540.2028198242188,0.9703092575073242
22,385.259521484375,407.8747863769531,0.8941417932510376,332.1165466308594,496.0132751464844,0.8474382162094116,404.54705810546875,540.053466796875,0.9715785980224609
23,384.9648742675781,408.2261657714844,0.9123318195343018,332.8086242675781,495.7618408203125,0.8549566864967346,404.674072265625,540.1194458007812,0.9715582132339478
24,385.8299560546875,408.9530944824219,0.9261437654495239,332.22393798828125,495.6842956542969,0.8679615259170532,404.6783142089844,540.1320190429688,0.9722611308097839
25,385.9708557128906,408.72906494140625,0.9293514490127563,332.4565124511719,495.8072204589844,0.8628724813461304,404.5408630371094,540.2346801757812,0.9731345772743225
26,386.4943542480469,409.05999755859375,0.9330707788467407,333.82305908203125,492.01629638671875,0.8259350657463074,404.4379577636719,540.3206176757812,0.973530650138855
27,386.6938171386719,409.12335205078125,0.9373213648796082,333.1133117675781,496.0952453613281,0.8580832481384277,404.55157470703125,540.4376220703125,0.9735231399536133
28,387.4267272949219,409.3535461425781,0.9327138662338257,333.10687255859375,496.23504638671875,0.8749524354934692,404.43231201171875,540.3455810546875,0.973678469657898
29,387.46575927734375,410.109130859375,0.938951849937439,333.16259765625,492.9216003417969,0.8623321652412415,404.41259765625,540.3843383789062,0.9741260409355164
30,388.62493896484375,409.306884765625,0.9271818995475769,333.3531799316406,496.5018615722656,0.875383734703064,404.4294738769531,540.221923828125,0.9743891954421997
31,389.1944274902344,409.44366455078125,0.9312698841094971,333.5620422363281,496.2015380859375,0.8618257641792297,404.47991943359375,539.9658813476562,0.9737809300422668
32,390.2136535644531,409.9334411621094,0.9228914976119995,336.4796142578125,495.2383728027344,0.8718374967575073,404.496337890625,539.7313842773438,0.9733253717422485
33,390.9811706542969,409.7080078125,0.9059964418411255,334.41693115234375,493.8291015625,0.861506462097168,404.5979309082031,539.82763671875,0.974992036819458
34,391.49554443359375,409.85076904296875,0.889585018157959,333.8603515625,496.9149475097656,0.8762818574905396,404.6493225097656,539.9593505859375,0.9766172170639038
35,395.1066589355469,409.9706726074219,0.8861180543899536,336.9555969238281,495.3258361816406,0.8792966604232788,404.540283203125,539.9933471679688,0.977489709854126
36,395.62713623046875,410.28533935546875,0.8894197940826416,338.0599670410156,495.34600830078125,0.8941284418106079,404.2114562988281,539.952392578125,0.978195309638977
