framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1699636213296810,10093,406,20787,0,0,-1.000
1,1699636213300640,10094,406,24791,0,0,261.097
2,1699636213304648,10095,406,28798,0,0,249.501
3,1699636213308608,10096,406,32803,0,0,252.525
4,1699636213312885,10097,406,36810,0,0,233.809
5,1699636213316655,10098,406,40817,0,0,265.252
6,1699636213320650,10099,406,44821,0,0,250.313
7,1699636213324904,10100,406,48828,0,0,235.073
8,1699636213328678,10101,406,52835,0,0,264.971
9,1699636213332667,10102,406,56840,0,0,250.689
10,1699636213336918,10103,406,60847,0,0,235.239
11,1699636213340699,10104,406,64854,0,0,264.480
12,1699636213344685,10105,406,68858,0,0,250.878
13,1699636213348946,10106,406,72865,0,0,234.687
14,1699636213352695,10107,406,76870,0,0,266.738
15,1699636213356701,10108,406,80877,0,0,249.626
16,1699636213360949,10109,406,84884,0,0,235.405
17,1699636213364754,10110,406,88888,0,0,262.812
18,1699636213368962,10111,406,92895,0,0,237.643
19,1699636213373122,10112,406,96902,0,0,240.385
20,1699636213376963,10113,406,100907,0,0,260.349
21,1699636213381132,10114,406,104914,0,0,239.866
22,1699636213384983,10115,406,108918,0,0,259.673
23,1699636213389146,10116,406,112925,0,0,240.211
24,1699636213392987,10117,406,116932,0,0,260.349
25,1699636213396967,10118,406,120937,0,0,251.256
26,1699636213401154,10119,406,124944,0,0,238.834
27,1699636213405178,10120,406,128951,0,0,248.509
28,1699636213409152,10121,406,132955,0,0,251.636
29,1699636213413168,10122,406,136962,0,0,249.004
30,1699636213417181,10123,406,140969,0,0,249.190
31,1699636213421203,10124,406,144974,0,0,248.633
32,1699636213425173,10125,406,148981,0,0,251.889
33,1699636213429193,10126,406,152985,0,0,248.756
34,1699636213433201,10127,406,156992,0,0,249.501
35,1699636213437227,10128,406,160999,0,0,248.385
36,1699636213441210,10129,406,165004,0,0,251.067
37,1699636213445219,10130,406,169011,0,0,249.439
38,1699636213449123,10131,406,173018,0,0,256.148
39,1699636213453226,10132,406,177022,0,0,243.724
40,1699636213457133,10133,406,181029,0,0,255.951
41,1699636213461246,10134,406,185036,0,0,243.132
42,1699636213465246,10135,406,189041,0,0,250.000
43,1699636213469245,10136,406,193048,0,0,250.063
44,1699636213473256,10137,406,197052,0,0,249.314
45,1699636213477279,10138,406,201059,0,0,248.571
46,1699636213481522,10139,406,205066,0,0,235.682
47,1699636213485299,10140,406,209071,0,0,264.760
48,1699636213489161,10141,406,213078,0,0,258.933
49,1699636213493290,10142,406,217085,0,0,242.189
50,1699636213497186,10143,406,221089,0,0,256.674
51,1699636213501315,10144,406,225096,0,0,242.189
52,1699636213505236,10145,406,229101,0,0,255.037
53,1699636213509313,10146,406,233108,0,0,245.278
54,1699636213513203,10147,406,237115,0,0,257.069
55,1699636213517297,10148,406,241119,0,0,244.260
56,1699636213521250,10149,406,245126,0,0,252.972
57,1699636213525330,10150,406,249133,0,0,245.098
58,1699636213529216,10151,406,253138,0,0,257.334
59,1699636213533346,10152,406,257145,0,0,242.131
60,1699636213537227,10153,406,261152,0,0,257.666
61,1699636213541355,10154,406,265156,0,0,242.248
62,1699636213545263,10155,406,269163,0,0,255.885
63,1699636213549265,10156,406,273167,0,0,249.875
64,1699636213553278,10157,406,277175,0,0,249.190
65,1699636213557402,10158,406,281182,0,0,242.483
66,1699636213561278,10159,406,285186,0,0,257.998
67,1699636213565410,10160,406,289193,0,0,242.014
68,1699636213569296,10161,406,293200,0,0,257.334
69,1699636213573406,10162,406,297204,0,0,243.309
70,1699636213577082,10163,406,301212,0,0,272.035
71,1699636213581415,10164,406,305219,0,0,230.787
72,1699636213585320,10165,406,309223,0,0,256.082
73,1699636213589410,10166,406,313230,0,0,244.499
74,1699636213593308,10167,406,317234,0,0,256.542
75,1699636213597341,10168,406,321241,0,0,247.954
76,1699636213601321,10169,406,325249,0,0,251.256
77,1699636213605456,10170,406,329253,0,0,241.838
78,1699636213609338,10171,406,333260,0,0,257.599
79,1699636213613451,10172,406,337267,0,0,243.132
80,1699636213617375,10173,406,341271,0,0,254.842
81,1699636213621506,10174,406,345278,0,0,242.072
82,1699636213625372,10175,406,349283,0,0,258.665
83,1699636213629473,10176,406,353290,0,0,243.843
84,1699636213633374,10177,406,357297,0,0,256.345
85,1699636213637481,10178,406,361301,0,0,243.487
86,1699636213641399,10179,406,365308,0,0,255.232
87,1699636213645495,10180,406,369315,0,0,244.141
88,1699636213649400,10181,406,373320,0,0,256.082
89,1699636213653516,10182,406,377327,0,0,242.954
90,1699636213657422,10183,406,381334,0,0,256.016
91,1699636213661530,10184,406,385338,0,0,243.427
92,1699636213665426,10185,406,389345,0,0,256.674
93,1699636213669533,10186,406,393350,0,0,243.487
94,1699636213673436,10187,406,397357,0,0,256.213
95,1699636213677569,10188,406,401364,0,0,241.955
96,1699636213681219,10189,406,405368,0,0,273.973
97,1699636213685562,10190,406,409375,0,0,230.256
98,1699636213689492,10191,406,413382,0,0,254.453
99,1699636213693575,10192,406,417387,0,0,244.918
100,1699636213697478,10193,406,421394,0,0,256.213
101,1699636213701573,10194,406,425401,0,0,244.200
102,1699636213705474,10195,406,429405,0,0,256.345
103,1699636213709593,10196,406,433412,0,0,242.777
104,1699636213713495,10197,406,437417,0,0,256.279
105,1699636213717610,10198,406,441424,0,0,243.013
106,1699636213721541,10199,406,445431,0,0,254.388
107,1699636213725623,10200,406,449435,0,0,244.978
108,1699636213729524,10201,406,453442,0,0,256.345
109,1699636213733640,10202,406,457449,0,0,242.954
110,1699636213737532,10203,406,461454,0,0,256.937
111,1699636213741656,10204,406,465461,0,0,242.483
112,1699636213745554,10205,406,469465,0,0,256.542
113,1699636213749544,10206,406,473472,0,0,250.627
114,1699636213753561,10207,406,477479,0,0,248.942
115,1699636213757679,10208,406,481484,0,0,242.836
116,1699636213761564,10209,406,485491,0,0,257.400
117,1699636213765686,10210,406,489498,0,0,242.601
118,1699636213769584,10211,406,493502,0,0,256.542
119,1699636213773719,10212,406,497509,0,0,241.838
120,1699636213777590,10213,406,501516,0,0,258.331
121,1699636213781374,10214,406,505521,0,0,264.271
122,1699636213785362,10215,406,509528,0,0,250.752
123,1699636213789647,10216,406,513532,0,0,233.372
124,1699636213793612,10217,406,517539,0,0,252.207
125,1699636213797633,10218,406,521546,0,0,248.694
126,1699636213801631,10219,406,525551,0,0,250.125
127,1699636213805789,10220,406,529558,0,0,240.500
128,1699636213809655,10221,406,533565,0,0,258.665
129,1699636213813759,10222,406,537569,0,0,243.665
130,1699636213817655,10223,406,541576,0,0,256.674
131,1699636213821796,10224,406,545583,0,0,241.488
132,1699636213825651,10225,406,549588,0,0,259.403
133,1699636213829793,10226,406,553595,0,0,241.429
134,1699636213833680,10227,406,557599,0,0,257.268
135,1699636213837797,10228,406,561606,0,0,242.895
136,1699636213841697,10229,406,565613,0,0,256.410
137,1699636213845811,10230,406,569618,0,0,243.072
138,1699636213849697,10231,406,573625,0,0,257.334
139,1699636213853826,10232,406,577632,0,0,242.189
140,1699636213857495,10233,406,581636,0,0,272.554
141,1699636213861841,10234,406,585643,0,0,230.097
142,1699636213865528,10235,406,589647,0,0,271.223
143,1699636213869844,10236,406,593655,0,0,231.696
144,1699636213873744,10237,406,597662,0,0,256.410
145,1699636213877854,10238,406,601666,0,0,243.309
146,1699636213881670,10239,406,605673,0,0,262.055
147,1699636213885883,10240,406,609680,0,0,237.361
148,1699636213889776,10241,406,613684,0,0,256.871
149,1699636213893882,10242,406,617692,0,0,243.546
150,1699636213897786,10243,406,621699,0,0,256.148
151,1699636213901887,10244,406,625703,0,0,243.843
152,1699636213905789,10245,406,629710,0,0,256.279
153,1699636213909901,10246,406,633714,0,0,243.191
154,1699636213913811,10247,406,637721,0,0,255.754
155,1699636213917904,10248,406,641729,0,0,244.320
156,1699636213921857,10249,406,645733,0,0,252.972
157,1699636213925927,10250,406,649740,0,0,245.700
158,1699636213929825,10251,406,653747,0,0,256.542
159,1699636213933923,10252,406,657751,0,0,244.021
160,1699636213937863,10253,406,661758,0,0,253.807
161,1699636213941949,10254,406,665766,0,0,244.738
162,1699636213945968,10255,406,669770,0,0,248.818
163,1699636213949873,10256,406,673777,0,0,256.082
164,1699636213953635,10257,406,677781,0,0,265.816
165,1699636213957613,10258,406,681788,0,0,251.383
166,1699636213961990,10259,406,685795,0,0,228.467
167,1699636213965665,10260,406,689800,0,0,272.109
168,1699636213969993,10261,406,693807,0,0,231.054
169,1699636213973907,10262,406,697814,0,0,255.493
170,1699636213977992,10263,406,701818,0,0,244.798
171,1699636213982261,10264,406,705825,0,0,234.247
172,1699636213985991,10265,406,709830,0,0,268.097
173,1699636213989902,10266,406,713837,0,0,255.689
174,1699636213994003,10267,406,717844,0,0,243.843
175,1699636213997925,10268,406,721848,0,0,254.972
176,1699636214001787,10269,406,725855,0,0,258.933
177,1699636214005954,10270,406,729862,0,0,239.981
178,1699636214009735,10271,406,733867,0,0,264.480
179,1699636214013717,10272,406,737874,0,0,251.130
180,1699636214017740,10273,406,741881,0,0,248.571
181,1699636214021724,10274,406,745885,0,0,251.004
182,1699636214025728,10275,406,749892,0,0,249.750
183,1699636214029728,10276,406,753897,0,0,250.000
184,1699636214033740,10277,406,757904,0,0,249.252
185,1699636214037748,10278,406,761911,0,0,249.501
186,1699636214041738,10279,406,765915,0,0,250.627
187,1699636214045762,10280,406,769922,0,0,248.509
188,1699636214049739,10281,406,773929,0,0,251.446
189,1699636214053773,10282,406,777934,0,0,247.893
190,1699636214057728,10283,406,781941,0,0,252.845
191,1699636214061737,10284,406,785948,0,0,249.439
192,1699636214066095,10285,406,789952,0,0,229.463
193,1699636214070139,10286,406,793959,0,0,247.280
194,1699636214074127,10287,406,797964,0,0,250.752
195,1699636214078127,10288,406,801971,0,0,250.000
196,1699636214082135,10289,406,805978,0,0,249.501
197,1699636214086162,10290,406,809982,0,0,248.324
198,1699636214090145,10291,406,813989,0,0,251.067
199,1699636214094171,10292,406,817996,0,0,248.385
200,1699636214098067,10293,406,822001,0,0,256.674
201,1699636214102166,10294,406,826008,0,0,243.962
202,1699636214106183,10295,406,830012,0,0,248.942
203,1699636214110203,10296,406,834019,0,0,248.756
204,1699636214114201,10297,406,838026,0,0,250.125
205,1699636214118189,10298,406,842031,0,0,250.752
206,1699636214122240,10299,406,846038,0,0,246.853
207,1699636214126224,10300,406,850045,0,0,251.004
208,1699636214130201,10301,406,854049,0,0,251.446
209,1699636214134311,10302,406,858056,0,0,243.309
210,1699636214137941,10303,406,862063,0,0,275.482
211,1699636214142360,10304,406,866068,0,0,226.296
212,1699636214145908,10305,406,870075,0,0,281.849
213,1699636214150145,10306,406,874079,0,0,236.016
214,1699636214154150,10307,406,878086,0,0,249.688
215,1699636214158332,10308,406,882093,0,0,239.120
216,1699636214161942,10309,406,886098,0,0,277.008
217,1699636214165902,10310,406,890105,0,0,252.525
218,1699636214169951,10311,406,894112,0,0,246.975
219,1699636214173963,10312,406,898116,0,0,249.252
220,1699636214177958,10313,406,902123,0,0,250.313
221,1699636214181960,10314,406,906127,0,0,249.875
222,1699636214185967,10315,406,910135,0,0,249.563
223,1699636214189956,10316,406,914142,0,0,250.689
224,1699636214193984,10317,406,918146,0,0,248.262
225,1699636214198009,10318,406,922153,0,0,248.447
226,1699636214201975,10319,406,926160,0,0,252.143
