framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1696006573011859,548323,4814,298612,0,0,0.005
1,1696006573015845,548324,4814,302619,0,0,250.878
2,1696006573019877,548325,4814,306626,0,0,248.016
3,1696006573023898,548326,4814,310630,0,0,248.694
4,1696006573027885,548327,4814,314637,0,0,250.815
5,1696006573031888,548328,4814,318645,0,0,249.813
6,1696006573035871,548329,4814,322649,0,0,251.067
7,1696006573039882,548330,4814,326656,0,0,249.314
8,1696006573043881,548331,4814,330660,0,0,250.063
9,1696006573047877,548332,4814,334667,0,0,250.250
10,1696006573051907,548333,4814,338674,0,0,248.139
11,1696006573055911,548334,4814,342679,0,0,249.750
12,1696006573059901,548335,4814,346686,0,0,250.627
13,1696006573063873,548336,4814,350693,0,0,251.762
14,1696006573067931,548337,4814,354697,0,0,246.427
15,1696006573071929,548338,4814,358704,0,0,250.125
16,1696006573075974,548339,4814,362711,0,0,247.219
17,1696006573079984,548340,4814,366716,0,0,249.377
18,1696006573083967,548341,4814,370723,0,0,251.067
19,1696006573087969,548342,4814,374730,0,0,249.875
20,1696006573091976,548343,4814,378734,0,0,249.563
21,1696006573095988,548344,4814,382741,0,0,249.252
22,1696006573099989,548345,4814,386748,0,0,249.938
23,1696006573103997,548346,4814,390753,0,0,249.501
24,1696006573107993,548347,4814,394760,0,0,250.250
25,1696006573112010,548348,4814,398764,0,0,248.942
26,1696006573116016,548349,4814,402771,0,0,249.626
27,1696006573120023,548350,4814,406778,0,0,249.563
28,1696006573124036,548351,4814,410783,0,0,249.190
29,1696006573128036,548352,4814,414790,0,0,250.000
30,1696006573132044,548353,4814,418797,0,0,249.501
31,1696006573136127,548354,4814,422801,0,0,244.918
32,1696006573140147,548355,4814,426808,0,0,248.756
33,1696006573144129,548356,4814,430815,0,0,251.130
34,1696006573148088,548357,4814,434820,0,0,252.589
35,1696006573152082,548358,4814,438827,0,0,250.376
36,1696006573156112,548359,4814,442834,0,0,248.139
37,1696006573160167,548360,4814,446838,0,0,246.609
38,1696006573164237,548361,4814,450845,0,0,245.700
39,1696006573168134,548362,4814,454852,0,0,256.608
40,1696006573172189,548363,4814,458857,0,0,246.609
41,1696006573176266,548364,4814,462864,0,0,245.278
42,1696006573180253,548365,4814,466868,0,0,250.815
43,1696006573184327,548366,4814,470875,0,0,245.459
44,1696006573188284,548367,4814,474882,0,0,252.717
45,1696006573192385,548368,4814,478887,0,0,243.843
46,1696006573196362,548369,4814,482894,0,0,251.446
47,1696006573200389,548370,4814,486901,0,0,248.324
48,1696006573204358,548371,4814,490905,0,0,251.953
49,1696006573208459,548372,4814,494912,0,0,243.843
50,1696006573212418,548373,4814,498919,0,0,252.589
51,1696006573216468,548374,4814,502924,0,0,246.914
52,1696006573220421,548375,4814,506931,0,0,252.972
53,1696006573224469,548376,4814,510938,0,0,247.036
54,1696006573228487,548377,4814,514942,0,0,248.880
55,1696006573232495,548378,4814,518949,0,0,249.501
56,1696006573236459,548379,4814,522954,0,0,252.270
57,1696006573240499,548380,4814,526961,0,0,247.525
58,1696006573244493,548381,4814,530968,0,0,250.376
59,1696006573248509,548382,4814,534972,0,0,249.004
60,1696006573252505,548383,4814,538979,0,0,250.250
61,1696006573256518,548384,4814,542986,0,0,249.190
62,1696006573260260,548385,4814,546991,0,0,267.237
63,1696006573264534,548386,4814,550998,0,0,233.973
64,1696006573268275,548387,4814,555005,0,0,267.308
65,1696006573272541,548388,4814,559009,0,0,234.412
66,1696006573276540,548389,4814,563016,0,0,250.063
67,1696006573280464,548390,4814,567023,0,0,254.842
68,1696006573284552,548391,4814,571028,0,0,244.618
69,1696006573288629,548392,4814,575035,0,0,245.278
70,1696006573292635,548393,4814,579042,0,0,249.626
71,1696006573296669,548394,4814,583046,0,0,247.893
