framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1708635119141274,428304,2123,281937,0,0,0.008
1,1708635119145216,428305,2123,285944,0,0,253.678
2,1708635119149164,428306,2123,289948,0,0,253.293
3,1708635119153173,428307,2123,293955,0,0,249.439
4,1708635119157221,428308,2123,297962,0,0,247.036
5,1708635119161233,428309,2123,301967,0,0,249.252
6,1708635119165185,428310,2123,305974,0,0,253.036
7,1708635119169202,428311,2123,309978,0,0,248.942
8,1708635119173491,428312,2123,313985,0,0,233.155
9,1708635119177543,428313,2123,317992,0,0,246.792
10,1708635119181565,428314,2123,321997,0,0,248.633
11,1708635119185258,428315,2123,326004,0,0,270.783
12,1708635119189231,428316,2123,330011,0,0,251.699
13,1708635119193487,428317,2123,334015,0,0,234.962
14,1708635119197213,428318,2123,338022,0,0,268.384
15,1708635119201621,428319,2123,342029,0,0,226.860
16,1708635119205601,428320,2123,346034,0,0,251.256
17,1708635119209286,428321,2123,350041,0,0,271.370
18,1708635119213550,428322,2123,354045,0,0,234.522
19,1708635119217288,428323,2123,358052,0,0,267.523
20,1708635119221564,428324,2123,362059,0,0,233.863
21,1708635119225302,428325,2123,366064,0,0,267.523
22,1708635119229586,428326,2123,370071,0,0,233.427
23,1708635119233544,428327,2123,374078,0,0,252.653
24,1708635119237325,428328,2123,378082,0,0,264.480
25,1708635119241308,428329,2123,382089,0,0,251.067
26,1708635119245591,428330,2123,386094,0,0,233.481
27,1708635119249659,428331,2123,390101,0,0,245.821
28,1708635119253660,428332,2123,394108,0,0,249.938
29,1708635119257669,428333,2123,398112,0,0,249.439
30,1708635119261674,428334,2123,402119,0,0,249.688
31,1708635119265688,428335,2123,406126,0,0,249.128
32,1708635119269691,428336,2123,410131,0,0,249.813
33,1708635119273704,428337,2123,414138,0,0,249.190
34,1708635119277706,428338,2123,418145,0,0,249.875
35,1708635119281709,428339,2123,422149,0,0,249.813
36,1708635119285480,428340,2123,426156,0,0,265.182
37,1708635119289394,428341,2123,430161,0,0,255.493
38,1708635119293672,428342,2123,434168,0,0,233.754
39,1708635119297730,428343,2123,438175,0,0,246.427
40,1708635119301459,428344,2123,442179,0,0,268.168
41,1708635119305682,428345,2123,446186,0,0,236.798
42,1708635119309436,428346,2123,450193,0,0,266.383
43,1708635119313778,428347,2123,454198,0,0,230.309
44,1708635119317792,428348,2123,458205,0,0,249.128
45,1708635119321780,428349,2123,462212,0,0,250.752
46,1708635119325457,428350,2123,466216,0,0,271.961
47,1708635119329820,428351,2123,470223,0,0,229.200
48,1708635119333788,428352,2123,474228,0,0,252.016
49,1708635119337465,428353,2123,478235,0,0,271.961
50,1708635119341456,428354,2123,482242,0,0,250.564
51,1708635119345752,428355,2123,486246,0,0,232.775
52,1708635119349480,428356,2123,490253,0,0,268.240
53,1708635119353865,428357,2123,494260,0,0,228.050
54,1708635119357497,428358,2123,498265,0,0,275.330
55,1708635119361845,428359,2123,502272,0,0,229.991
56,1708635119365509,428360,2123,506279,0,0,272.926
57,1708635119369768,428361,2123,510283,0,0,234.797
58,1708635119373519,428362,2123,514290,0,0,266.596
59,1708635119377870,428363,2123,518294,0,0,229.832
60,1708635119381543,428364,2123,522302,0,0,272.257
61,1708635119385814,428365,2123,526309,0,0,234.137
62,1708635119389549,428366,2123,530313,0,0,267.738
63,1708635119393825,428367,2123,534320,0,0,233.863
64,1708635119397556,428368,2123,538327,0,0,268.025
65,1708635119401895,428369,2123,542331,0,0,230.468
66,1708635119405570,428370,2123,546339,0,0,272.109
67,1708635119409554,428371,2123,550343,0,0,251.004
68,1708635119413855,428372,2123,554350,0,0,232.504
69,1708635119417936,428373,2123,558357,0,0,245.038
70,1708635119421925,428374,2123,562361,0,0,250.689
71,1708635119425935,428375,2123,566368,0,0,249.377
72,1708635119429960,428376,2123,570376,0,0,248.447
73,1708635119433617,428377,2123,574380,0,0,273.448
74,1708635119437611,428378,2123,578387,0,0,250.376
75,1708635119441609,428379,2123,582394,0,0,250.125
76,1708635119445609,428380,2123,586398,0,0,250.000
77,1708635119449617,428381,2123,590405,0,0,249.501
78,1708635119453619,428382,2123,594410,0,0,249.875
79,1708635119457624,428383,2123,598417,0,0,249.688
80,1708635119461634,428384,2123,602424,0,0,249.377
81,1708635119465636,428385,2123,606428,0,0,249.875
82,1708635119469640,428386,2123,610435,0,0,249.750
83,1708635119473647,428387,2123,614442,0,0,249.563
84,1708635119477939,428388,2123,618447,0,0,232.992
85,1708635119481690,428389,2123,622454,0,0,266.596
86,1708635119485917,428390,2123,626461,0,0,236.574
87,1708635119489774,428391,2123,630465,0,0,259.269
88,1708635119494060,428392,2123,634472,0,0,233.318
89,1708635119497835,428393,2123,638477,0,0,264.901
90,1708635119502047,428394,2123,642484,0,0,237.417
91,1708635119505884,428395,2123,646491,0,0,260.620
92,1708635119509745,428396,2123,650495,0,0,259.000
93,1708635119514064,428397,2123,654502,0,0,231.535
94,1708635119518091,428398,2123,658509,0,0,248.324
95,1708635119522098,428399,2123,662514,0,0,249.563
96,1708635119525765,428400,2123,666521,0,0,272.702
97,1708635119529751,428401,2123,670528,0,0,250.878
98,1708635119533745,428402,2123,674532,0,0,250.376
99,1708635119537738,428403,2123,678539,0,0,250.438
100,1708635119542046,428404,2123,682544,0,0,232.126
101,1708635119545782,428405,2123,686551,0,0,267.666
102,1708635119550125,428406,2123,690558,0,0,230.256
103,1708635119554479,428407,2123,694562,0,0,229.674
104,1708635119557773,428408,2123,698569,0,0,303.582
105,1708635119561789,428409,2123,702576,0,0,249.004
106,1708635119565786,428410,2123,706581,0,0,250.188
107,1708635119569796,428411,2123,710588,0,0,249.377
108,1708635119573798,428412,2123,714595,0,0,249.875
109,1708635119578100,428413,2123,718599,0,0,232.450
110,1708635119582059,428414,2123,722606,0,0,252.589
111,1708635119586080,428415,2123,726611,0,0,248.694
112,1708635119590097,428416,2123,730618,0,0,248.942
113,1708635119594224,428417,2123,734625,0,0,242.307
114,1708635119598095,428418,2123,738629,0,0,258.331
115,1708635119602196,428419,2123,742636,0,0,243.843
116,1708635119606103,428420,2123,746643,0,0,255.951
117,1708635119609890,428421,2123,750648,0,0,264.061
118,1708635119614241,428422,2123,754655,0,0,229.832
119,1708635119618259,428423,2123,758659,0,0,248.880
120,1708635119622236,428424,2123,762666,0,0,251.446
121,1708635119626240,428425,2123,766673,0,0,249.750
122,1708635119630252,428426,2123,770678,0,0,249.252
123,1708635119633930,428427,2123,774685,0,0,271.887
124,1708635119637911,428428,2123,778692,0,0,251.193
125,1708635119641910,428429,2123,782696,0,0,250.063
126,1708635119645913,428430,2123,786703,0,0,249.813
127,1708635119649926,428431,2123,790710,0,0,249.190
128,1708635119653919,428432,2123,794715,0,0,250.438
129,1708635119657922,428433,2123,798722,0,0,249.813
130,1708635119661927,428434,2123,802726,0,0,249.688
131,1708635119665932,428435,2123,806733,0,0,249.688
132,1708635119669947,428436,2123,810740,0,0,249.066
133,1708635119673952,428437,2123,814745,0,0,249.688
134,1708635119678256,428438,2123,818752,0,0,232.342
135,1708635119682003,428439,2123,822759,0,0,266.880
136,1708635119686249,428440,2123,826763,0,0,235.516
137,1708635119690236,428441,2123,830770,0,0,250.815
138,1708635119694372,428442,2123,834777,0,0,241.779
139,1708635119698248,428443,2123,838782,0,0,257.998
140,1708635119702370,428444,2123,842789,0,0,242.601
141,1708635119706258,428445,2123,846793,0,0,257.202
142,1708635119710041,428446,2123,850800,0,0,264.340
143,1708635119714419,428447,2123,854807,0,0,228.415
144,1708635119718411,428448,2123,858811,0,0,250.501
145,1708635119722384,428449,2123,862819,0,0,251.699
146,1708635119726399,428450,2123,866826,0,0,249.066
147,1708635119730406,428451,2123,870830,0,0,249.563
148,1708635119734061,428452,2123,874837,0,0,273.598
149,1708635119738065,428453,2123,878844,0,0,249.750
150,1708635119742068,428454,2123,882848,0,0,249.813
