scorer,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,728.4588012695312,327.1685791015625,0.9854575395584106,716.56689453125,483.5306091308594,0.8521466851234436,820.8418579101562,561.04736328125,0.9860720634460449
1,729.6167602539062,326.1161193847656,0.9881148934364319,720.417236328125,479.1004333496094,0.8758084774017334,820.6920166015625,560.415771484375,0.9851582646369934
2,731.038818359375,326.0043640136719,0.9882732629776001,720.25537109375,478.3533935546875,0.8839056491851807,820.3627319335938,560.4778442382812,0.9863858222961426
3,732.8209228515625,324.4609069824219,0.9848655462265015,719.7227172851562,478.4484558105469,0.875891923904419,820.5586547851562,560.2897338867188,0.9857591390609741
4,733.6901245117188,323.61968994140625,0.984176754951477,719.9439086914062,477.7331848144531,0.9065847396850586,820.8384399414062,559.849365234375,0.9859235286712646
5,731.9852905273438,323.004638671875,0.9821616411209106,721.28662109375,478.2205810546875,0.8937647938728333,820.9620971679688,559.5460815429688,0.9840885400772095
6,733.2938842773438,320.9895935058594,0.984093189239502,721.7200317382812,478.57562255859375,0.8968675136566162,821.5045166015625,559.6448974609375,0.9844014644622803
7,735.2562255859375,318.9521179199219,0.9825357794761658,723.1456909179688,476.5414123535156,0.9135454893112183,820.1761474609375,560.5347900390625,0.9814077019691467
8,736.9874267578125,318.5815124511719,0.9862627983093262,723.4257202148438,476.8396301269531,0.9243305921554565,820.7454223632812,559.9693603515625,0.9820714592933655
9,737.9453735351562,317.8442687988281,0.9878835678100586,724.4077758789062,476.5308837890625,0.9135477542877197,821.20556640625,558.5923461914062,0.9809563159942627
10,738.8421630859375,317.5957336425781,0.9890472888946533,725.8370361328125,476.5033264160156,0.9074581861495972,821.4076538085938,557.5723266601562,0.9808034896850586
11,739.3717041015625,317.64361572265625,0.9885092973709106,727.607177734375,476.8156433105469,0.9011667370796204,821.7512817382812,557.296875,0.9793076515197754
12,739.7752685546875,318.7983093261719,0.9873416423797607,726.4406127929688,476.3507385253906,0.8962497711181641,821.9264526367188,557.3673095703125,0.978834867477417
13,740.4674072265625,321.3852233886719,0.9913283586502075,728.5487060546875,477.2039794921875,0.9005931615829468,821.7000122070312,557.8200073242188,0.9790540337562561
14,740.3983764648438,323.6540222167969,0.9921828508377075,728.8312377929688,477.7900085449219,0.8830036520957947,821.6270141601562,557.7448120117188,0.978958010673523
15,740.4915771484375,325.7177734375,0.9908004403114319,728.9398803710938,477.5226135253906,0.8744882345199585,821.9031982421875,558.180908203125,0.9792464971542358
16,740.29736328125,328.07720947265625,0.9878951907157898,726.728759765625,479.2279052734375,0.8614076375961304,822.1364135742188,558.13720703125,0.9779331684112549
17,740.9691162109375,327.5967102050781,0.9863256216049194,728.9234619140625,478.21875,0.8455914258956909,821.7750854492188,558.3126831054688,0.979595959186554
18,741.2435913085938,328.11029052734375,0.9849289655685425,727.3687744140625,479.8705749511719,0.871137261390686,822.3499755859375,558.1007080078125,0.981788694858551
19,741.2205810546875,328.5527038574219,0.9869991540908813,727.4910888671875,480.867431640625,0.8711005449295044,822.5634765625,558.126220703125,0.9816056489944458
20,741.5714111328125,330.0563049316406,0.9892398118972778,727.69921875,481.9541015625,0.8922854661941528,822.6046752929688,558.3377685546875,0.9822704792022705
21,741.8081665039062,330.7507629394531,0.9887051582336426,727.8419799804688,482.9678955078125,0.8932268619537354,822.5584716796875,558.4530639648438,0.9831908941268921
22,742.3353881835938,330.8372497558594,0.9887242317199707,727.8414306640625,484.5415954589844,0.9010926485061646,822.5851440429688,558.3610229492188,0.9835228323936462
23,742.6271362304688,331.9695129394531,0.9890516996383667,728.8828735351562,484.04534912109375,0.8902298212051392,822.6482543945312,558.0875854492188,0.9827026128768921
24,742.4332885742188,333.6042175292969,0.9880610704421997,727.6632080078125,484.30316162109375,0.9010749459266663,822.6174926757812,557.5569458007812,0.982423722743988
25,742.7506713867188,333.132568359375,0.9888644218444824,727.8017578125,483.7732238769531,0.8984959125518799,823.1530151367188,556.427978515625,0.9808815121650696
26,743.033935546875,334.2708740234375,0.9870088696479797,729.0000610351562,483.3318786621094,0.8815357685089111,823.625244140625,555.6701049804688,0.980034589767456
27,743.7999267578125,334.8681640625,0.9840413928031921,728.9963989257812,483.306640625,0.8730888366699219,823.5087280273438,554.8391723632812,0.9775792360305786
28,742.1502685546875,334.1801452636719,0.9831753969192505,728.4630737304688,483.72906494140625,0.8727725744247437,823.6226806640625,554.206298828125,0.9728456735610962
29,742.1847534179688,335.58087158203125,0.9860845804214478,729.03662109375,483.5733947753906,0.8724927306175232,824.364990234375,552.2008666992188,0.9716267585754395
30,741.882080078125,336.88543701171875,0.9867885112762451,729.5576782226562,487.93414306640625,0.8798149824142456,824.7498779296875,552.0015869140625,0.972591757774353
31,742.6972045898438,336.3758850097656,0.9878826141357422,729.7928466796875,487.5736389160156,0.8854824900627136,825.320068359375,551.701904296875,0.9731825590133667
32,742.9485473632812,336.6477355957031,0.9873977303504944,730.6341552734375,487.385986328125,0.8746047019958496,825.4389038085938,551.261962890625,0.9747810959815979
33,742.8867797851562,337.38690185546875,0.9872540831565857,731.1184692382812,484.2765808105469,0.8719798922538757,825.9192504882812,551.1607666015625,0.971513569355011
34,743.0471801757812,338.0664367675781,0.9884607791900635,732.4134521484375,485.2101745605469,0.8730273246765137,824.4429321289062,551.2938842773438,0.9734710454940796
35,743.1835327148438,338.25421142578125,0.9880818128585815,731.3228759765625,487.8435974121094,0.8969711065292358,825.138427734375,551.2025146484375,0.972707211971283
36,743.0000610351562,338.80584716796875,0.9881904125213623,733.2227783203125,483.98614501953125,0.8576873540878296,826.6361694335938,549.4566040039062,0.975867748260498
