framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1696004889028749,127968,3130,308570,0,0,0.020
1,1696004889032395,127969,3130,312574,0,0,274.273
2,1696004889036753,127970,3130,316581,0,0,229.463
3,1696004889040737,127971,3130,320588,0,0,251.004
4,1696004889044721,127972,3130,324592,0,0,251.004
5,1696004889048741,127973,3130,328599,0,0,248.756
6,1696004889052448,127974,3130,332607,0,0,269.760
7,1696004889056338,127975,3130,336611,0,0,257.069
8,1696004889060805,127976,3130,340618,0,0,223.864
9,1696004889064764,127977,3130,344622,0,0,252.589
10,1696004889068792,127978,3130,348629,0,0,248.262
11,1696004889072789,127979,3130,352636,0,0,250.188
12,1696004889076799,127980,3130,356641,0,0,249.377
13,1696004889080459,127981,3130,360648,0,0,273.224
14,1696004889084823,127982,3130,364655,0,0,229.148
15,1696004889088813,127983,3130,368659,0,0,250.627
16,1696004889092814,127984,3130,372666,0,0,249.938
17,1696004889096836,127985,3130,376673,0,0,248.633
18,1696004889100828,127986,3130,380678,0,0,250.501
19,1696004889104834,127987,3130,384685,0,0,249.626
20,1696004889108834,127988,3130,388692,0,0,250.000
21,1696004889112827,127989,3130,392696,0,0,250.438
22,1696004889116842,127990,3130,396703,0,0,249.066
23,1696004889120844,127991,3130,400710,0,0,249.875
24,1696004889124526,127992,3130,404715,0,0,271.592
25,1696004889128866,127993,3130,408722,0,0,230.415
26,1696004889132528,127994,3130,412726,0,0,273.075
27,1696004889136622,127995,3130,416733,0,0,244.260
28,1696004889140609,127996,3130,420740,0,0,250.815
29,1696004889144537,127997,3130,424745,0,0,254.582
30,1696004889148831,127998,3130,428752,0,0,232.883
31,1696004889152640,127999,3130,432759,0,0,262.536
32,1696004889156645,128000,3130,436763,0,0,249.688
33,1696004889160650,128001,3130,440770,0,0,249.688
34,1696004889164882,128002,3130,444777,0,0,236.295
35,1696004889168983,128003,3130,448782,0,0,243.843
36,1696004889172950,128004,3130,452789,0,0,252.080
37,1696004889176964,128005,3130,456796,0,0,249.128
38,1696004889180660,128006,3130,460800,0,0,270.563
39,1696004889184997,128007,3130,464807,0,0,230.574
40,1696004889188968,128008,3130,468814,0,0,251.826
41,1696004889192971,128009,3130,472819,0,0,249.813
42,1696004889196964,128010,3130,476826,0,0,250.438
43,1696004889200988,128011,3130,480830,0,0,248.509
44,1696004889205007,128012,3130,484837,0,0,248.818
45,1696004889208996,128013,3130,488844,0,0,250.689
46,1696004889212670,128014,3130,492849,0,0,272.183
47,1696004889216932,128015,3130,496856,0,0,234.632
48,1696004889221010,128016,3130,500863,0,0,245.218
49,1696004889225021,128017,3130,504867,0,0,249.314
50,1696004889229014,128018,3130,508874,0,0,250.438
51,1696004889233029,128019,3130,512881,0,0,249.066
52,1696004889237031,128020,3130,516886,0,0,249.875
53,1696004889241035,128021,3130,520893,0,0,249.750
54,1696004889245417,128022,3130,524900,0,0,228.206
55,1696004889249069,128023,3130,528904,0,0,273.823
56,1696004889253088,128024,3130,532911,0,0,248.818
57,1696004889257063,128025,3130,536918,0,0,251.572
58,1696004889261088,128026,3130,540923,0,0,248.447
59,1696004889265074,128027,3130,544930,0,0,250.878
60,1696004889269102,128028,3130,548934,0,0,248.262
61,1696004889272767,128029,3130,552941,0,0,272.851
62,1696004889276748,128030,3130,556948,0,0,251.193
63,1696004889280766,128031,3130,560953,0,0,248.880
64,1696004889285127,128032,3130,564960,0,0,229.305
65,1696004889289108,128033,3130,568967,0,0,251.193
66,1696004889293119,128034,3130,572971,0,0,249.314
67,1696004889297133,128035,3130,576978,0,0,249.128
68,1696004889300812,128036,3130,580985,0,0,271.813
69,1696004889305167,128037,3130,584990,0,0,229.621
70,1696004889309162,128038,3130,588997,0,0,250.313
71,1696004889313176,128039,3130,593004,0,0,249.128
72,1696004889316841,128040,3130,597008,0,0,272.851
73,1696004889321183,128041,3130,601015,0,0,230.309
74,1696004889325173,128042,3130,605022,0,0,250.627
75,1696004889329184,128043,3130,609027,0,0,249.314
76,1696004889333173,128044,3130,613034,0,0,250.689
77,1696004889337191,128045,3130,617038,0,0,248.880
78,1696004889341199,128046,3130,621045,0,0,249.501
79,1696004889345214,128047,3130,625052,0,0,249.066
80,1696004889349203,128048,3130,629057,0,0,250.689
81,1696004889353223,128049,3130,633064,0,0,248.756
82,1696004889357232,128050,3130,637071,0,0,249.439
83,1696004889361229,128051,3130,641075,0,0,250.188
84,1696004889365235,128052,3130,645082,0,0,249.626
85,1696004889369257,128053,3130,649089,0,0,248.633
86,1696004889373246,128054,3130,653094,0,0,250.689
87,1696004889377240,128055,3130,657101,0,0,250.376
88,1696004889380944,128056,3130,661108,0,0,269.978
89,1696004889385293,128057,3130,665112,0,0,229.938
90,1696004889389280,128058,3130,669119,0,0,250.815
91,1696004889393279,128059,3130,673124,0,0,250.063
92,1696004889397290,128060,3130,677131,0,0,249.314
93,1696004889400953,128061,3130,681138,0,0,273.000
94,1696004889405314,128062,3130,685142,0,0,229.305
95,1696004889409307,128063,3130,689149,0,0,250.438
96,1696004889412982,128064,3130,693156,0,0,272.109
97,1696004889417319,128065,3130,697161,0,0,230.574
98,1696004889421308,128066,3130,701168,0,0,250.689
99,1696004889425315,128067,3130,705175,0,0,249.563
100,1696004889429342,128068,3130,709179,0,0,248.324
101,1696004889433358,128069,3130,713186,0,0,249.004
102,1696004889437366,128070,3130,717193,0,0,249.501
103,1696004889441384,128071,3130,721198,0,0,248.880
104,1696004889445365,128072,3130,725205,0,0,251.193
105,1696004889449371,128073,3130,729212,0,0,249.626
106,1696004889453373,128074,3130,733216,0,0,249.875
107,1696004889457402,128075,3130,737223,0,0,248.201
108,1696004889461414,128076,3130,741227,0,0,249.252
109,1696004889465393,128077,3130,745235,0,0,251.319
110,1696004889469414,128078,3130,749242,0,0,248.694
111,1696004889473407,128079,3130,753246,0,0,250.438
112,1696004889477410,128080,3130,757253,0,0,249.813
113,1696004889481324,128081,3130,761260,0,0,255.493
114,1696004889485433,128082,3130,765264,0,0,243.368
115,1696004889489434,128083,3130,769272,0,0,249.938
116,1696004889493456,128084,3130,773279,0,0,248.633
117,1696004889497448,128085,3130,777283,0,0,250.501
118,1696004889501132,128086,3130,781290,0,0,271.444
119,1696004889505448,128087,3130,785297,0,0,231.696
120,1696004889509457,128088,3130,789301,0,0,249.439
121,1696004889513360,128089,3130,793309,0,0,256.213
122,1696004889517459,128090,3130,797316,0,0,243.962
123,1696004889521484,128091,3130,801320,0,0,248.447
124,1696004889525467,128092,3130,805327,0,0,251.067
125,1696004889529494,128093,3130,809331,0,0,248.324
126,1696004889533495,128094,3130,813338,0,0,249.938
127,1696004889537394,128095,3130,817346,0,0,256.476
128,1696004889541506,128096,3130,821350,0,0,243.191
129,1696004889545511,128097,3130,825357,0,0,249.688
130,1696004889549520,128098,3130,829364,0,0,249.439
131,1696004889553504,128099,3130,833368,0,0,251.004
132,1696004889557540,128100,3130,837375,0,0,247.770
133,1696004889561534,128101,3130,841383,0,0,250.376
134,1696004889565539,128102,3130,845387,0,0,249.688
135,1696004889569563,128103,3130,849394,0,0,248.509
136,1696004889573545,128104,3130,853401,0,0,251.130
137,1696004889577555,128105,3130,857405,0,0,249.377
138,1696004889581472,128106,3130,861412,0,0,255.297
139,1696004889585577,128107,3130,865420,0,0,243.605
140,1696004889589562,128108,3130,869424,0,0,250.941
141,1696004889593581,128109,3130,873431,0,0,248.818
142,1696004889597576,128110,3130,877435,0,0,250.313
143,1696004889601590,128111,3130,881442,0,0,249.128
144,1696004889605599,128112,3130,885449,0,0,249.439
145,1696004889609598,128113,3130,889454,0,0,250.063
146,1696004889613602,128114,3130,893461,0,0,249.750
147,1696004889617612,128115,3130,897468,0,0,249.377
148,1696004889621620,128116,3130,901472,0,0,249.501
149,1696004889625309,128117,3130,905479,0,0,271.076
150,1696004889629640,128118,3130,909486,0,0,230.894
151,1696004889633545,128119,3130,913491,0,0,256.082
152,1696004889637652,128120,3130,917498,0,0,243.487
153,1696004889641661,128121,3130,921505,0,0,249.439
154,1696004889645647,128122,3130,925509,0,0,250.878
155,1696004889649658,128123,3130,929516,0,0,249.314
