framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1696006360817046,495355,4602,102682,0,0,0.002
1,1696006360821040,495356,4602,106689,0,0,250.376
2,1696006360825054,495357,4602,110696,0,0,249.128
3,1696006360828735,495358,4602,114701,0,0,271.665
4,1696006360833074,495359,4602,118708,0,0,230.468
5,1696006360837074,495360,4602,122715,0,0,250.000
6,1696006360841085,495361,4602,126719,0,0,249.314
7,1696006360845086,495362,4602,130726,0,0,249.938
8,1696006360849092,495363,4602,134733,0,0,249.626
9,1696006360853095,495364,4602,138738,0,0,249.813
10,1696006360857105,495365,4602,142745,0,0,249.377
11,1696006360861107,495366,4602,146752,0,0,249.875
12,1696006360865113,495367,4602,150756,0,0,249.626
13,1696006360869142,495368,4602,154763,0,0,248.201
14,1696006360873128,495369,4602,158770,0,0,250.878
15,1696006360876801,495370,4602,162775,0,0,272.257
16,1696006360881141,495371,4602,166782,0,0,230.415
17,1696006360885159,495372,4602,170786,0,0,248.880
18,1696006360889480,495373,4602,174793,0,0,231.428
19,1696006360893153,495374,4602,178800,0,0,272.257
20,1696006360897152,495375,4602,182805,0,0,250.063
21,1696006360901177,495376,4602,186812,0,0,248.447
22,1696006360905184,495377,4602,190819,0,0,249.563
23,1696006360909185,495378,4602,194823,0,0,249.938
24,1696006360913186,495379,4602,198830,0,0,249.938
25,1696006360917187,495380,4602,202837,0,0,249.938
26,1696006360921200,495381,4602,206842,0,0,249.190
27,1696006360925200,495382,4602,210849,0,0,250.000
28,1696006360928886,495383,4602,214856,0,0,271.297
29,1696006360933228,495384,4602,218860,0,0,230.309
30,1696006360937231,495385,4602,222867,0,0,249.813
31,1696006360941238,495386,4602,226874,0,0,249.563
32,1696006360945236,495387,4602,230879,0,0,250.125
33,1696006360949251,495388,4602,234886,0,0,249.066
34,1696006360953252,495389,4602,238890,0,0,249.938
35,1696006360957251,495390,4602,242897,0,0,250.063
36,1696006360961267,495391,4602,246904,0,0,249.004
37,1696006360965276,495392,4602,250909,0,0,249.439
38,1696006360969291,495393,4602,254916,0,0,249.066
39,1696006360973285,495394,4602,258923,0,0,250.376
40,1696006360976948,495395,4602,262927,0,0,273.000
41,1696006360981347,495396,4602,266934,0,0,227.324
42,1696006360985321,495397,4602,270941,0,0,251.636
43,1696006360989290,495398,4602,274946,0,0,251.953
44,1696006360993317,495399,4602,278953,0,0,248.324
45,1696006360997316,495400,4602,282960,0,0,250.063
46,1696006361001340,495401,4602,286964,0,0,248.509
47,1696006361005328,495402,4602,290971,0,0,250.752
48,1696006361009334,495403,4602,294978,0,0,249.626
49,1696006361013349,495404,4602,298983,0,0,249.066
50,1696006361017343,495405,4602,302990,0,0,250.376
51,1696006361021356,495406,4602,306994,0,0,249.190
52,1696006361025357,495407,4602,311001,0,0,249.938
53,1696006361029374,495408,4602,315008,0,0,248.942
54,1696006361033401,495409,4602,319013,0,0,248.324
55,1696006361037386,495410,4602,323020,0,0,250.941
56,1696006361041396,495411,4602,327027,0,0,249.377
57,1696006361045392,495412,4602,331031,0,0,250.250
58,1696006361049394,495413,4602,335038,0,0,249.875
59,1696006361053346,495414,4602,339045,0,0,253.036
60,1696006361057422,495415,4602,343050,0,0,245.339
61,1696006361061410,495416,4602,347057,0,0,250.752
62,1696006361065425,495417,4602,351064,0,0,249.066
63,1696006361069448,495418,4602,355068,0,0,248.571
64,1696006361073434,495419,4602,359075,0,0,250.878
65,1696006361077107,495420,4602,363082,0,0,272.257
66,1696006361081444,495421,4602,367087,0,0,230.574
67,1696006361085490,495422,4602,371094,0,0,247.158
68,1696006361089465,495423,4602,375098,0,0,251.572
69,1696006361093485,495424,4602,379105,0,0,248.756
70,1696006361097507,495425,4602,383112,0,0,248.633
71,1696006361101508,495426,4602,387116,0,0,249.938
72,1696006361105493,495427,4602,391124,0,0,250.941
73,1696006361109506,495428,4602,395131,0,0,249.190
74,1696006361113526,495429,4602,399135,0,0,248.756
75,1696006361117510,495430,4602,403142,0,0,251.004
76,1696006361121513,495431,4602,407149,0,0,249.813
77,1696006361125541,495432,4602,411153,0,0,248.262
78,1696006361129523,495433,4602,415161,0,0,251.130
79,1696006361133562,495434,4602,419168,0,0,247.586
80,1696006361137293,495435,4602,423172,0,0,268.025
81,1696006361141296,495436,4602,427179,0,0,249.813
82,1696006361145610,495437,4602,431186,0,0,231.803
83,1696006361149475,495438,4602,435190,0,0,258.732
84,1696006361153282,495439,4602,439198,0,0,262.674
85,1696006361157304,495440,4602,443202,0,0,248.633
86,1696006361161306,495441,4602,447209,0,0,249.875
87,1696006361165506,495442,4602,451216,0,0,238.095
88,1696006361169550,495443,4602,455220,0,0,247.280
89,1696006361173276,495444,4602,459227,0,0,268.384
90,1696006361177518,495445,4602,463235,0,0,235.738
91,1696006361181274,495446,4602,467239,0,0,266.241
92,1696006361185319,495447,4602,471246,0,0,247.219
93,1696006361189545,495448,4602,475253,0,0,236.630
94,1696006361193543,495449,4602,479257,0,0,250.125
95,1696006361197334,495450,4602,483264,0,0,263.783
96,1696006361201321,495451,4602,487272,0,0,250.815
97,1696006361205570,495452,4602,491276,0,0,235.349
98,1696006361209333,495453,4602,495283,0,0,265.745
99,1696006361213583,495454,4602,499290,0,0,235.294
100,1696006361217349,495455,4602,503294,0,0,265.534
101,1696006361221344,495456,4602,507301,0,0,250.313
102,1696006361225343,495457,4602,511306,0,0,250.063
103,1696006361229593,495458,4602,515313,0,0,235.294
104,1696006361233381,495459,4602,519320,0,0,263.992
105,1696006361237376,495460,4602,523324,0,0,250.313
106,1696006361241370,495461,4602,527331,0,0,250.376
107,1696006361245376,495462,4602,531338,0,0,249.626
108,1696006361249371,495463,4602,535343,0,0,250.313
109,1696006361253376,495464,4602,539350,0,0,249.688
110,1696006361257387,495465,4602,543357,0,0,249.314
111,1696006361261397,495466,4602,547361,0,0,249.377
112,1696006361265402,495467,4602,551368,0,0,249.688
113,1696006361269420,495468,4602,555375,0,0,248.880
114,1696006361273406,495469,4602,559380,0,0,250.878
115,1696006361277439,495470,4602,563387,0,0,247.954
116,1696006361281426,495471,4602,567394,0,0,250.815
117,1696006361285458,495472,4602,571398,0,0,248.016
118,1696006361289427,495473,4602,575405,0,0,251.953
119,1696006361293449,495474,4602,579410,0,0,248.633
120,1696006361297434,495475,4602,583417,0,0,250.941
121,1696006361301449,495476,4602,587424,0,0,249.066
122,1696006361305465,495477,4602,591428,0,0,249.004
123,1696006361309473,495478,4602,595435,0,0,249.501
124,1696006361313475,495479,4602,599442,0,0,249.875
