scorer,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,2004.985595703125,419.73663330078125,0.3336002826690674,1.4788429737091064,269.4185791015625,0.0058127641677856445,6.210622787475586,260.8611755371094,0.06402215361595154
1,2001.990234375,419.1142272949219,0.1420682966709137,1.2881712913513184,269.6131286621094,0.003565758466720581,5.57936954498291,261.1379089355469,0.0411338210105896
2,2001.8092041015625,419.3728332519531,0.1312987208366394,1.4926905632019043,269.46868896484375,0.006304025650024414,5.807163238525391,261.154296875,0.06946957111358643
3,2002.493408203125,419.5285339355469,0.1458008587360382,1.4411990642547607,269.4732666015625,0.007153302431106567,6.125464916229248,260.6484069824219,0.10742765665054321
4,2004.55615234375,419.746826171875,0.3377552628517151,1.6464548110961914,269.544189453125,0.0071731507778167725,6.184788227081299,260.63507080078125,0.07359948754310608
5,2002.3348388671875,420.2720642089844,0.1824767291545868,31.35126304626465,206.25123596191406,0.0053133368492126465,5.397859573364258,261.2713317871094,0.05926614999771118
6,2002.0411376953125,420.0762634277344,0.1473541259765625,31.356843948364258,206.47457885742188,0.004975438117980957,5.491118431091309,260.7184143066406,0.08088451623916626
7,2000.6781005859375,418.92547607421875,0.17167794704437256,31.76396942138672,206.33267211914062,0.006256401538848877,5.8729658126831055,260.40740966796875,0.09411630034446716
8,2004.2469482421875,419.4932861328125,0.34780216217041016,31.97104263305664,206.7332000732422,0.0050605833530426025,5.778402328491211,260.57177734375,0.07855474948883057
9,1859.882080078125,426.0057373046875,0.09060487151145935,1.2739849090576172,269.5052185058594,0.003847569227218628,5.395325660705566,260.9770202636719,0.07281118631362915
10,2002.109130859375,419.40838623046875,0.11174353957176208,1.6737043857574463,269.5626220703125,0.005848824977874756,5.738439559936523,260.91864013671875,0.09588399529457092
11,2001.6319580078125,419.18109130859375,0.14601939916610718,2.328530788421631,252.76467895507812,0.004511028528213501,5.9263176918029785,260.3267517089844,0.08633899688720703
12,2005.02001953125,420.70550537109375,0.214077889919281,2.6571850776672363,252.55108642578125,0.006131291389465332,6.153205871582031,260.13568115234375,0.11407476663589478
13,2004.3660888671875,419.9287414550781,0.272041380405426,2.6502583026885986,252.5260772705078,0.010374307632446289,11.760730743408203,261.8080749511719,0.17473113536834717
14,1860.025634765625,425.22662353515625,0.18468838930130005,3.0203769207000732,275.4503479003906,0.01413831114768982,11.305259704589844,261.31695556640625,0.20889410376548767
15,2002.3388671875,419.6446838378906,0.16057682037353516,1.9413082599639893,269.4385986328125,0.010368257761001587,11.348421096801758,261.5967102050781,0.21318387985229492
16,2004.61279296875,419.8962707519531,0.16062968969345093,2.9602813720703125,275.45001220703125,0.007213711738586426,6.156062126159668,260.15020751953125,0.13150858879089355
17,1860.2799072265625,426.9495544433594,0.07361495494842529,2.791809558868408,275.5773620605469,0.004735499620437622,6.125412464141846,259.578857421875,0.08396077156066895
18,2003.141845703125,420.0486145019531,0.12942221760749817,1.7218739986419678,252.78314208984375,0.00471043586730957,6.043086051940918,259.29913330078125,0.0899297297000885
19,2004.26953125,418.4171447753906,0.20384496450424194,2.1368021965026855,269.4202880859375,0.009188055992126465,12.057381629943848,260.7343444824219,0.15630927681922913
20,2004.447265625,420.0921936035156,0.1790529191493988,2.3004393577575684,269.5618591308594,0.010544240474700928,10.713399887084961,260.280517578125,0.17206203937530518
21,2004.4737548828125,419.6803283691406,0.16489458084106445,3.023275375366211,275.5039978027344,0.006216078996658325,6.0630388259887695,259.40655517578125,0.11436015367507935
22,2002.337646484375,419.3358459472656,0.06988131999969482,3.1250786781311035,275.5213623046875,0.007332950830459595,5.929602146148682,259.2894287109375,0.13884654641151428
23,1859.8619384765625,426.5484313964844,0.15411582589149475,3.0305063724517822,275.3587341308594,0.006447792053222656,5.968923568725586,259.2863464355469,0.12019965052604675
24,2004.7535400390625,420.4051513671875,0.2355521321296692,3.077665090560913,275.3963623046875,0.007925629615783691,6.300625801086426,259.4150085449219,0.1583392322063446
25,2004.4705810546875,420.4156188964844,0.2400851547718048,3.0254440307617188,275.2746276855469,0.007836848497390747,6.177691459655762,259.5987548828125,0.15648970007896423
26,2002.5760498046875,420.11126708984375,0.1021508276462555,2.2018566131591797,269.4429626464844,0.006353497505187988,6.560389995574951,259.2231140136719,0.1696309745311737
27,2002.3409423828125,420.0964660644531,0.10911744832992554,2.127356767654419,269.3687438964844,0.007888704538345337,6.457266807556152,259.65576171875,0.16682890057563782
28,1859.3209228515625,427.2054748535156,0.13761761784553528,1.8647658824920654,269.71905517578125,0.002947688102722168,5.856631278991699,259.69976806640625,0.07521975040435791
29,2002.3798828125,420.50921630859375,0.09455892443656921,3.0706570148468018,275.40716552734375,0.0053584277629852295,5.76731538772583,259.76739501953125,0.108914315700531
30,2002.4281005859375,420.45916748046875,0.10366827249526978,3.061149835586548,275.290283203125,0.0049915611743927,5.766872406005859,259.5275573730469,0.09962829947471619
31,1860.336669921875,427.27935791015625,0.15425077080726624,1.8325059413909912,269.6629638671875,0.0034284591674804688,6.232883453369141,259.7908020019531,0.08182781934738159
32,2004.7152099609375,420.7470703125,0.2330874502658844,1.908313512802124,269.52313232421875,0.003986984491348267,6.452286243438721,260.0442199707031,0.0747327208518982
33,2004.240478515625,421.0866394042969,0.14551714062690735,3.698118209838867,141.66180419921875,0.005124092102050781,6.207324981689453,260.2237243652344,0.0943135917186737
34,1859.3419189453125,426.8369140625,0.1768849492073059,3.7714641094207764,141.60765075683594,0.004600167274475098,6.2591376304626465,259.91082763671875,0.08376967906951904
35,2001.4151611328125,420.4605712890625,0.06681567430496216,1.8444404602050781,269.6968078613281,0.00414547324180603,6.2077131271362305,260.1195373535156,0.08880162239074707
